카테고리,경상남도,경상남도 창원시,경상남도 창원시 의창구,경상남도 창원시 성산구,경상남도 창원시 마산합포구,경상남도 창원시 마산회원구,경상남도 창원시 진해구,경상남도 진주시,경상남도 통영시,경상남도 사천시,경상남도 김해시,경상남도 밀양시,경상남도 거제시,경상남도 양산시,경상남도 의령군,경상남도 함안군,경상남도 창녕군,경상남도 고성군,경상남도 남해군,경상남도 하동군,경상남도 산청군,경상남도 함양군,경상남도 거창군,경상남도 합천군
2020년09월_계_총인구수,"3,343,770","1,038,101","263,271","215,811","174,916","191,582","192,521","347,598","129,064","111,442","542,435","104,932","246,231","351,874","26,839","64,438","61,478","51,539","42,889","45,132","34,978","39,150","61,455","44,195"
2020년09월_계_연령구간인구수,"3,343,770","1,038,101","263,271","215,811","174,916","191,582","192,521","347,598","129,064","111,442","542,435","104,932","246,231","351,874","26,839","64,438","61,478","51,539","42,889","45,132","34,978","39,150","61,455","44,195"
2020년09월_계_0~9세,"273,672","84,717","21,894","16,906","12,592","13,614","19,711","28,710","9,983","8,342","50,136","5,704","27,314","35,212","1,110","4,232","3,349","2,676","1,576","1,943","1,388","1,842","3,783","1,655"
2020년09월_계_10~19세,"325,743","100,404","23,819","23,448","13,780","18,408","20,949","35,408","12,896","10,347","61,675","7,915","27,960","34,297","1,548","6,006","4,145","4,073","2,934","2,912","2,114","2,989","5,664","2,456"
2020년09월_계_20~29세,"378,908","130,723","36,340","32,615","18,963","22,429","20,376","44,888","11,287","10,852","68,980","9,191","24,410","40,762","2,039","5,497","4,946","3,950","3,255","3,526","2,464","3,119","5,954","3,065"
2020년09월_계_30~39세,"405,864","135,620","35,778","29,742","20,527","22,065","27,508","41,970","14,278","12,156","70,518","9,001","37,598","50,129","1,768","5,771","5,198","3,972","2,486","2,839","2,192","2,664","5,062","2,642"
2020년09월_계_40~49세,"538,219","168,514","41,270","36,220","25,603","30,417","35,004","54,437","21,505","17,873","98,936","13,042","47,575","60,494","2,924","9,447","7,137","6,495","4,608","5,089","3,561","4,453","7,782","4,347"
2020년09월_계_50~59세,"582,532","186,814","50,731","43,625","29,484","34,705","28,269","57,865","22,565","18,471","96,275","18,901","38,953","58,586","4,641","11,355","11,037","9,184","7,398","8,553","6,602","6,963","10,607","7,762"
2020년09월_계_60~69세,"453,754","139,082","33,808","23,103","29,555","29,470","23,146","44,751","20,179","16,244","57,028","20,837","25,955","41,829","5,320","10,854","11,918","9,571","8,200","8,767","7,154","7,186","9,975","8,904"
2020년09월_계_70~79세,"244,267","62,758","13,177","6,771","16,470","14,635","11,705","25,536","11,051","10,666","26,146","12,547","10,730","20,822","4,037","6,700","8,114","6,789","6,750","6,399","5,312","5,532","7,074","7,304"
2020년09월_계_80~89세,"123,107","25,907","5,643","2,923","6,902","5,230","5,209","12,234","4,675","5,672","11,271","6,844","4,902","8,635","3,007","4,023","4,958","4,188","4,834","4,361","3,629","3,818","4,813","5,336"
2020년09월_계_90~99세,"16,902","3,380",774,438,975,569,624,"1,705",619,787,"1,388",905,789,"1,049",436,542,647,623,831,720,543,553,699,686
2020년09월_계_100세 이상,802,182,37,20,65,40,20,94,26,32,82,45,45,59,9,11,29,18,17,23,19,31,42,38
2020년09월_남_총인구수,"1,683,263","526,005","133,962","110,319","87,047","96,105","98,572","171,950","64,870","56,183","274,295","51,425","129,325","176,549","13,129","32,687","30,533","25,847","20,641","22,512","17,179","18,879","29,993","21,261"
2020년09월_남_연령구간인구수,"1,683,263","526,005","133,962","110,319","87,047","96,105","98,572","171,950","64,870","56,183","274,295","51,425","129,325","176,549","13,129","32,687","30,533","25,847","20,641","22,512","17,179","18,879","29,993","21,261"
2020년09월_남_0~9세,"140,778","43,787","11,245","8,674","6,546","7,067","10,255","14,905","5,021","4,365","25,557","2,898","14,119","18,004",569,"2,129","1,733","1,358",837,"1,020",736,929,"1,954",857
2020년09월_남_10~19세,"170,537","52,602","12,535","12,365","7,176","9,649","10,877","18,683","6,679","5,327","32,139","4,166","14,729","17,645",829,"3,197","2,238","2,213","1,557","1,547","1,138","1,557","3,023","1,268"
2020년09월_남_20~29세,"210,474","72,717","20,195","18,186","10,494","12,324","11,518","24,695","6,241","6,462","37,414","5,291","13,738","21,832","1,146","3,197","2,853","2,325","1,999","2,108","1,406","1,787","3,485","1,778"
2020년09월_남_30~39세,"212,123","71,695","18,876","15,858","10,908","11,679","14,374","21,426","7,374","6,499","36,306","4,776","19,932","25,709",931,"2,939","2,853","2,181","1,299","1,572","1,188","1,387","2,596","1,460"
2020년09월_남_40~49세,"277,115","85,470","20,787","17,341","13,458","15,405","18,479","27,130","11,602","9,524","49,133","6,891","25,961","30,741","1,691","5,139","3,968","3,621","2,485","2,849","1,987","2,437","4,005","2,481"
2020년09월_남_50~59세,"297,280","92,883","25,023","21,332","14,643","17,336","14,549","28,505","11,548","9,736","49,576","9,574","20,713","29,547","2,558","6,219","5,860","4,999","3,917","4,664","3,554","3,690","5,478","4,259"
2020년09월_남_60~69세,"225,508","68,899","17,166","12,419","14,010","14,002","11,302","21,400","9,858","7,839","29,061","10,135","13,482","20,533","2,791","5,621","5,950","4,776","4,016","4,533","3,682","3,575","4,870","4,487"
2020년09월_남_70~79세,"107,673","28,773","6,255","3,231","7,336","6,677","5,274","11,147","4,976","4,551","11,307","5,427","5,040","9,334","1,651","2,922","3,482","2,975","2,922","2,744","2,311","2,239","2,913","2,959"
2020년09월_남_80~89세,"38,407","8,505","1,742",826,"2,276","1,847","1,814","3,738","1,440","1,748","3,511","2,090","1,481","2,972",871,"1,210","1,484","1,277","1,460","1,323","1,063","1,151","1,508","1,575"
2020년09월_남_90~99세,"3,200",633,132,81,184,111,125,299,123,124,267,170,122,221,90,111,110,118,148,148,112,120,151,133
2020년09월_남_100세 이상,168,41,6,6,16,8,5,22,8,8,24,7,8,11,2,3,2,4,1,4,2,7,10,4
2020년09월_여_총인구수,"1,660,507","512,096","129,309","105,492","87,869","95,477","93,949","175,648","64,194","55,259","268,140","53,507","116,906","175,325","13,710","31,751","30,945","25,692","22,248","22,620","17,799","20,271","31,462","22,934"
2020년09월_여_연령구간인구수,"1,660,507","512,096","129,309","105,492","87,869","95,477","93,949","175,648","64,194","55,259","268,140","53,507","116,906","175,325","13,710","31,751","30,945","25,692","22,248","22,620","17,799","20,271","31,462","22,934"
2020년09월_여_0~9세,"132,894","40,930","10,649","8,232","6,046","6,547","9,456","13,805","4,962","3,977","24,579","2,806","13,195","17,208",541,"2,103","1,616","1,318",739,923,652,913,"1,829",798
2020년09월_여_10~19세,"155,206","47,802","11,284","11,083","6,604","8,759","10,072","16,725","6,217","5,020","29,536","3,749","13,231","16,652",719,"2,809","1,907","1,860","1,377","1,365",976,"1,432","2,641","1,188"
2020년09월_여_20~29세,"168,434","58,006","16,145","14,429","8,469","10,105","8,858","20,193","5,046","4,390","31,566","3,900","10,672","18,930",893,"2,300","2,093","1,625","1,256","1,418","1,058","1,332","2,469","1,287"
2020년09월_여_30~39세,"193,741","63,925","16,902","13,884","9,619","10,386","13,134","20,544","6,904","5,657","34,212","4,225","17,666","24,420",837,"2,832","2,345","1,791","1,187","1,267","1,004","1,277","2,466","1,182"
2020년09월_여_40~49세,"261,104","83,044","20,483","18,879","12,145","15,012","16,525","27,307","9,903","8,349","49,803","6,151","21,614","29,753","1,233","4,308","3,169","2,874","2,123","2,240","1,574","2,016","3,777","1,866"
2020년09월_여_50~59세,"285,252","93,931","25,708","22,293","14,841","17,369","13,720","29,360","11,017","8,735","46,699","9,327","18,240","29,039","2,083","5,136","5,177","4,185","3,481","3,889","3,048","3,273","5,129","3,503"
2020년09월_여_60~69세,"228,246","70,183","16,642","10,684","15,545","15,468","11,844","23,351","10,321","8,405","27,967","10,702","12,473","21,296","2,529","5,233","5,968","4,795","4,184","4,234","3,472","3,611","5,105","4,417"
2020년09월_여_70~79세,"136,594","33,985","6,922","3,540","9,134","7,958","6,431","14,389","6,075","6,115","14,839","7,120","5,690","11,488","2,386","3,778","4,632","3,814","3,828","3,655","3,001","3,293","4,161","4,345"
2020년09월_여_80~89세,"84,700","17,402","3,901","2,097","4,626","3,383","3,395","8,496","3,235","3,924","7,760","4,754","3,421","5,663","2,136","2,813","3,474","2,911","3,374","3,038","2,566","2,667","3,305","3,761"
2020년09월_여_90~99세,"13,702","2,747",642,357,791,458,499,"1,406",496,663,"1,121",735,667,828,346,431,537,505,683,572,431,433,548,553
