카테고리,경상남도 거제시,경상남도 거제시 일운면,경상남도 거제시 동부면,경상남도 거제시 남부면,경상남도 거제시 거제면,경상남도 거제시 둔덕면,경상남도 거제시 사등면,경상남도 거제시 사등면가조출장소,경상남도 거제시 연초면,경상남도 거제시 하청면,경상남도 거제시 하청면칠천출장소,경상남도 거제시 장목면,경상남도 거제시 장목면외포출장소,경상남도 거제시 장승포동,경상남도 거제시 능포동,경상남도 거제시 아주동,경상남도 거제시 옥포1동,경상남도 거제시 옥포2동,경상남도 거제시 장평동,경상남도 거제시 고현동,경상남도 거제시 상문동,경상남도 거제시 수양동
2021년02월_계_총인구수,"245,008","8,010","3,137","1,620","7,297","2,971","12,086","1,134","8,309","3,627","1,101","3,158","1,415","6,248","9,381","27,271","7,366","26,434","20,487","35,616","34,569","23,771"
2021년02월_계_연령구간인구수,"245,008","8,010","3,137","1,620","7,297","2,971","12,086","1,134","8,309","3,627","1,101","3,158","1,415","6,248","9,381","27,271","7,366","26,434","20,487","35,616","34,569","23,771"
2021년02월_계_0~9세,"26,188",565,79,29,403,67,"1,425",43,508,187,31,78,54,404,526,"4,496",597,"2,487","1,548","3,467","5,710","3,484"
2021년02월_계_10~19세,"27,868",642,121,61,592,154,"1,119",55,679,273,27,110,66,637,955,"3,427",643,"3,043","2,238","4,293","5,001","3,732"
2021년02월_계_20~29세,"24,082",667,236,89,557,220,941,68,775,293,49,202,75,676,989,"2,323",868,"2,886","2,761","4,145","3,018","2,244"
2021년02월_계_30~39세,"35,930",852,220,87,628,156,"1,794",84,877,296,62,178,103,654,899,"5,855","1,071","3,620","3,299","4,995","6,560","3,640"
2021년02월_계_40~49세,"47,653","1,263",355,155,993,314,"2,199",112,"1,394",462,110,383,175,"1,224","1,608","6,114","1,332","4,969","4,398","7,008","7,599","5,486"
2021년02월_계_50~59세,"39,392","1,588",631,344,"1,300",584,"1,883",234,"1,697",676,209,592,268,"1,224","1,932","2,952","1,375","4,875","3,792","6,048","4,102","3,086"
2021년02월_계_60~69세,"27,110","1,417",714,394,"1,400",730,"1,490",299,"1,363",727,277,716,319,874,"1,632","1,487","1,052","3,303","1,812","3,955","1,751","1,398"
2021년02월_계_70~79세,"10,879",619,497,283,808,450,813,159,607,422,203,517,213,362,595,420,300,893,451,"1,203",596,468
