카테고리,경상남도 고성군,경상남도 고성군 고성읍,경상남도 고성군 삼산면,경상남도 고성군 하일면,경상남도 고성군 하이면,경상남도 고성군 상리면,경상남도 고성군 대가면,경상남도 고성군 영현면,경상남도 고성군 영오면,경상남도 고성군 개천면,경상남도 고성군 구만면,경상남도 고성군 회화면,경상남도 고성군 마암면,경상남도 고성군 동해면,경상남도 고성군 거류면
2020년07월_계_총인구수,"51,737","24,633","1,792","1,862","2,789","1,612","1,664",881,"1,444","1,137","1,012","3,644","1,779","3,129","4,359"
2020년07월_계_연령구간인구수,"51,737","24,633","1,792","1,862","2,789","1,612","1,664",881,"1,444","1,137","1,012","3,644","1,779","3,129","4,359"
2020년07월_계_0~9세,"2,713","1,974",49,29,107,27,25,19,34,30,28,155,21,64,151
2020년07월_계_10~19세,"4,123","2,669",92,88,184,70,58,33,64,70,33,272,51,147,292
2020년07월_계_20~29세,"3,974","2,259",83,98,253,91,88,47,100,69,54,284,92,177,279
2020년07월_계_30~39세,"4,083","2,528",93,92,190,74,82,37,85,47,40,254,76,175,310
2020년07월_계_40~49세,"6,556","3,826",183,154,328,139,130,53,131,80,71,431,169,297,564
2020년07월_계_50~59세,"9,222","4,318",306,306,505,286,308,130,270,188,183,643,366,584,829
2020년07월_계_60~69세,"9,456","3,624",448,441,571,346,383,197,298,255,230,779,382,709,793
2020년07월_계_70~79세,"6,823","2,196",328,382,392,311,312,207,232,187,205,504,351,573,643
2020년07월_계_80~89세,"4,162","1,082",183,235,218,237,240,137,199,176,142,280,238,350,445
2020년07월_계_90~99세,608,148,27,37,41,30,38,21,30,34,24,42,32,52,52
2020년07월_계_100세 이상,17,9,0,0,0,1,0,0,1,1,2,0,1,1,1
2020년07월_남_총인구수,"25,971","12,348",920,911,"1,467",789,846,389,703,555,508,"1,794",893,"1,607","2,241"
2020년07월_남_연령구간인구수,"25,971","12,348",920,911,"1,467",789,846,389,703,555,508,"1,794",893,"1,607","2,241"
2020년07월_남_0~9세,"1,370","1,004",26,17,53,14,12,10,11,16,11,73,10,30,83
2020년07월_남_10~19세,"2,251","1,479",54,48,93,39,28,16,30,38,17,140,28,82,159
2020년07월_남_20~29세,"2,347","1,304",51,60,167,56,53,24,65,41,37,159,52,104,174
2020년07월_남_30~39세,"2,244","1,297",63,57,111,38,52,20,54,30,28,132,51,121,190
2020년07월_남_40~49세,"3,669","2,013",112,98,194,83,78,30,85,51,42,233,101,200,349
2020년07월_남_50~59세,"4,997","2,217",175,177,290,146,187,68,151,102,112,341,218,332,481
2020년07월_남_60~69세,"4,723","1,742",231,200,293,191,201,92,155,131,132,403,204,368,380
2020년07월_남_70~79세,"2,984",931,149,168,181,136,155,88,92,81,83,229,153,264,274
2020년07월_남_80~89세,"1,269",335,55,78,74,79,67,39,57,57,40,77,73,96,142
2020년07월_남_90~99세,113,23,4,8,11,7,13,2,3,8,5,7,3,10,9
2020년07월_남_100세 이상,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0
2020년07월_여_총인구수,"25,766","12,285",872,951,"1,322",823,818,492,741,582,504,"1,850",886,"1,522","2,118"
2020년07월_여_연령구간인구수,"25,766","12,285",872,951,"1,322",823,818,492,741,582,504,"1,850",886,"1,522","2,118"
2020년07월_여_0~9세,"1,343",970,23,12,54,13,13,9,23,14,17,82,11,34,68
2020년07월_여_10~19세,"1,872","1,190",38,40,91,31,30,17,34,32,16,132,23,65,133
2020년07월_여_20~29세,"1,627",955,32,38,86,35,35,23,35,28,17,125,40,73,105
2020년07월_여_30~39세,"1,839","1,231",30,35,79,36,30,17,31,17,12,122,25,54,120
2020년07월_여_40~49세,"2,887","1,813",71,56,134,56,52,23,46,29,29,198,68,97,215
2020년07월_여_50~59세,"4,225","2,101",131,129,215,140,121,62,119,86,71,302,148,252,348
2020년07월_여_60~69세,"4,733","1,882",217,241,278,155,182,105,143,124,98,376,178,341,413
2020년07월_여_70~79세,"3,839","1,265",179,214,211,175,157,119,140,106,122,275,198,309,369
2020년07월_여_80~89세,"2,893",747,128,157,144,158,173,98,142,119,102,203,165,254,303
2020년07월_여_90~99세,495,125,23,29,30,23,25,19,27,26,19,35,29,42,43
2020년07월_여_100세 이상,13,6,0,0,0,1,0,0,1,1,1,0,1,1,1
