,경상남도 김해시,경상남도 김해시 진영읍,경상남도 김해시 주촌면,경상남도 김해시 진례면,경상남도 김해시 한림면,경상남도 김해시 생림면,경상남도 김해시 상동면,경상남도 김해시 대동면,경상남도 김해시 동상동,경상남도 김해시 회현동,경상남도 김해시 부원동,경상남도 김해시 내외동,경상남도 김해시 북부동,경상남도 김해시 칠산서부동,경상남도 김해시 활천동,경상남도 김해시 삼안동,경상남도 김해시 불암동,경상남도 김해시 장유1동,경상남도 김해시 장유2동,경상남도 김해시 장유3동
2020년08월_계_총인구수,"542,538","55,709","18,124","6,664","7,759","3,820","3,236","6,236","10,010","9,528","10,139","74,178","80,520","9,601","41,009","34,007","7,841","56,319","36,676","71,162"
2020년08월_계_연령구간인구수,"542,538","55,709","18,124","6,664","7,759","3,820","3,236","6,236","10,010","9,528","10,139","74,178","80,520","9,601","41,009","34,007","7,841","56,319","36,676","71,162"
2020년08월_계_0~9세,"50,425","6,610","2,779",230,213,78,90,176,584,653,626,"4,928","7,518",556,"2,688","1,661",571,"5,587","3,801","11,076"
2020년08월_계_10~19세,"61,758","5,967","1,273",348,364,125,160,220,718,587,676,"7,983","10,673",713,"3,933","3,252",790,"8,106","5,229","10,641"
2020년08월_계_20~29세,"69,067","5,440","2,237",629,657,322,278,474,"1,311","1,148","1,459","12,399","10,866","1,281","6,246","5,821","1,011","6,806","4,345","6,337"
2020년08월_계_30~39세,"70,947","9,072","4,132",561,605,250,244,440,"1,303","1,260","1,250","8,382","9,677",998,"4,524","3,107",817,"7,048","4,829","12,448"
2020년08월_계_40~49세,"99,055","10,698","2,816",833,748,351,352,605,"1,418","1,279","1,464","12,197","15,623","1,367","6,628","5,199","1,286","12,032","7,866","16,293"
2020년08월_계_50~59세,"96,050","8,243","2,696","1,519","1,665",860,751,"1,166","2,036","1,784","2,117","16,160","14,506","2,023","8,724","7,636","1,551","8,970","5,878","7,765"
2020년08월_계_60~69세,"56,522","5,755","1,420","1,339","1,807",921,792,"1,691","1,563","1,564","1,544","7,361","7,190","1,566","5,071","4,474","1,104","4,428","2,816","4,116"
2020년08월_계_70~79세,"26,059","2,608",468,756,"1,035",594,382,954,731,875,702,"3,138","3,023",740,"2,232","1,904",493,"2,278","1,339","1,807"
2020년08월_계_80~89세,"11,201","1,152",268,382,594,284,149,436,306,333,265,"1,447","1,289",325,862,861,193,953,507,595
2020년08월_계_90~99세,"1,375",154,35,66,70,34,34,72,35,40,30,174,149,31,90,88,20,105,66,82
2020년08월_계_100세 이상,79,10,0,1,1,1,4,2,5,5,6,9,6,1,11,4,5,6,0,2
2020년08월_남_총인구수,"274,363","28,668","9,253","3,620","4,222","2,023","1,778","3,225","5,109","4,806","5,199","36,959","40,355","5,054","20,823","17,419","3,969","28,086","18,410","35,385"
2020년08월_남_연령구간인구수,"274,363","28,668","9,253","3,620","4,222","2,023","1,778","3,225","5,109","4,806","5,199","36,959","40,355","5,054","20,823","17,419","3,969","28,086","18,410","35,385"
2020년08월_남_0~9세,"25,706","3,394","1,395",135,117,51,54,80,300,343,347,"2,573","3,831",282,"1,358",862,302,"2,784","1,903","5,595"
2020년08월_남_10~19세,"32,191","3,122",653,189,216,66,87,125,361,319,357,"4,149","5,636",379,"2,085","1,713",386,"4,177","2,700","5,471"
2020년08월_남_20~29세,"37,460","2,992","1,128",378,418,195,161,293,730,642,790,"6,690","5,891",706,"3,341","3,265",548,"3,649","2,334","3,309"
2020년08월_남_30~39세,"36,486","4,684","2,152",314,388,153,146,257,743,656,685,"4,370","4,832",569,"2,454","1,740",437,"3,501","2,467","5,938"
2020년08월_남_40~49세,"49,200","5,748","1,461",523,484,214,214,348,724,677,749,"5,663","7,415",738,"3,320","2,538",631,"5,853","3,819","8,081"
2020년08월_남_50~59세,"49,521","4,266","1,370",880,953,476,434,621,"1,035",888,"1,074","8,015","7,431","1,093","4,404","3,865",800,"4,708","3,116","4,092"
2020년08월_남_60~69세,"28,783","2,881",792,721,984,495,430,892,797,778,775,"3,846","3,641",848,"2,617","2,360",566,"2,110","1,355","1,895"
2020년08월_남_70~79세,"11,246","1,186",220,329,480,280,195,452,322,373,317,"1,218","1,255",327,964,791,222,962,547,806
2020년08월_남_80~89세,"3,477",366,73,140,171,85,48,139,89,121,99,396,391,109,256,270,69,315,154,186
2020년08월_남_90~99세,270,27,9,11,11,8,8,17,5,8,5,36,32,3,19,14,6,24,15,12
2020년08월_남_100세 이상,23,2,0,0,0,0,1,1,3,1,1,3,0,0,5,1,2,3,0,0
2020년08월_여_총인구수,"268,175","27,041","8,871","3,044","3,537","1,797","1,458","3,011","4,901","4,722","4,940","37,219","40,165","4,547","20,186","16,588","3,872","28,233","18,266","35,777"
2020년08월_여_연령구간인구수,"268,175","27,041","8,871","3,044","3,537","1,797","1,458","3,011","4,901","4,722","4,940","37,219","40,165","4,547","20,186","16,588","3,872","28,233","18,266","35,777"
2020년08월_여_0~9세,"24,719","3,216","1,384",95,96,27,36,96,284,310,279,"2,355","3,687",274,"1,330",799,269,"2,803","1,898","5,481"
2020년08월_여_10~19세,"29,567","2,845",620,159,148,59,73,95,357,268,319,"3,834","5,037",334,"1,848","1,539",404,"3,929","2,529","5,170"
2020년08월_여_20~29세,"31,607","2,448","1,109",251,239,127,117,181,581,506,669,"5,709","4,975",575,"2,905","2,556",463,"3,157","2,011","3,028"
2020년08월_여_30~39세,"34,461","4,388","1,980",247,217,97,98,183,560,604,565,"4,012","4,845",429,"2,070","1,367",380,"3,547","2,362","6,510"
2020년08월_여_40~49세,"49,855","4,950","1,355",310,264,137,138,257,694,602,715,"6,534","8,208",629,"3,308","2,661",655,"6,179","4,047","8,212"
2020년08월_여_50~59세,"46,529","3,977","1,326",639,712,384,317,545,"1,001",896,"1,043","8,145","7,075",930,"4,320","3,771",751,"4,262","2,762","3,673"
2020년08월_여_60~69세,"27,739","2,874",628,618,823,426,362,799,766,786,769,"3,515","3,549",718,"2,454","2,114",538,"2,318","1,461","2,221"
2020년08월_여_70~79세,"14,813","1,422",248,427,555,314,187,502,409,502,385,"1,920","1,768",413,"1,268","1,113",271,"1,316",792,"1,001"
2020년08월_여_80~89세,"7,724",786,195,242,423,199,101,297,217,212,166,"1,051",898,216,606,591,124,638,353,409
2020년08월_여_90~99세,"1,105",127,26,55,59,26,26,55,30,32,25,138,117,28,71,74,14,81,51,70
2020년08월_여_100세 이상,56,8,0,1,1,1,3,1,2,4,5,6,6,1,6,3,3,3,0,2
