,경상남도 김해시,경상남도 김해시 진영읍,경상남도 김해시 주촌면,경상남도 김해시 진례면,경상남도 김해시 한림면,경상남도 김해시 생림면,경상남도 김해시 상동면,경상남도 김해시 대동면,경상남도 김해시 동상동,경상남도 김해시 회현동,경상남도 김해시 부원동,경상남도 김해시 내외동,경상남도 김해시 북부동,경상남도 김해시 칠산서부동,경상남도 김해시 활천동,경상남도 김해시 삼안동,경상남도 김해시 불암동,경상남도 김해시 장유1동,경상남도 김해시 장유2동,경상남도 김해시 장유3동
2021년09월_계_총인구수,"538,781","55,797","18,433","6,391","7,369","3,802","3,147","5,769","9,687","9,053","9,858","73,427","80,120","9,524","40,043","32,817","7,559","56,961","36,250","72,774"
2021년09월_계_연령구간인구수,"538,781","55,797","18,433","6,391","7,369","3,802","3,147","5,769","9,687","9,053","9,858","73,427","80,120","9,524","40,043","32,817","7,559","56,961","36,250","72,774"
2021년09월_계_0~9세,"46,605","6,226","2,845",199,180,84,74,136,530,580,554,"4,524","6,965",524,"2,396","1,424",473,"5,091","3,376","10,424"
2021년09월_계_10~19세,"60,361","6,212","1,275",305,314,120,139,205,649,542,627,"7,287","10,311",717,"3,761","2,913",727,"7,971","5,117","11,169"
2021년09월_계_20~29세,"67,442","5,234","2,053",559,564,288,259,363,"1,284","1,021","1,370","12,127","10,696","1,196","5,895","5,636",986,"6,961","4,343","6,607"
2021년09월_계_30~39세,"67,038","8,409","3,961",502,550,246,226,368,"1,198","1,170","1,185","8,443","9,253",943,"4,239","2,885",750,"6,813","4,340","11,557"
2021년09월_계_40~49세,"96,468","10,933","3,043",773,697,341,321,520,"1,316","1,181","1,361","11,335","14,963","1,322","6,138","4,683","1,171","11,825","7,656","16,889"
2021년09월_계_50~59세,"98,164","8,418","2,788","1,373","1,501",789,711,"1,022","1,943","1,651","2,078","16,235","15,155","1,977","8,680","7,392","1,561","9,772","6,290","8,828"
2021년09월_계_60~69세,"62,309","6,298","1,640","1,448","1,867","1,012",835,"1,675","1,694","1,623","1,641","8,516","8,013","1,702","5,616","4,896","1,168","4,990","3,078","4,597"
2021년09월_계_70~79세,"26,877","2,666",515,755,"1,012",582,379,947,726,874,734,"3,199","3,198",776,"2,287","1,956",501,"2,384","1,433","1,953"
2021년09월_계_80~89세,"11,989","1,234",278,404,605,308,167,456,310,356,282,"1,588","1,393",333,931,929,193,"1,029",533,660
2021년09월_계_90~99세,"1,475",163,35,73,78,32,33,75,36,49,25,164,166,33,99,101,24,118,83,88
2021년09월_계_100세 이상,53,4,0,0,1,0,3,2,1,6,1,9,7,1,1,2,5,7,1,2
2021년09월_남_총인구수,"272,581","28,741","9,426","3,507","4,021","2,019","1,738","2,994","4,958","4,521","5,054","36,601","40,112","5,047","20,373","16,828","3,850","28,372","18,273","36,146"
2021년09월_남_연령구간인구수,"272,581","28,741","9,426","3,507","4,021","2,019","1,738","2,994","4,958","4,521","5,054","36,601","40,112","5,047","20,373","16,828","3,850","28,372","18,273","36,146"
2021년09월_남_0~9세,"23,823","3,236","1,442",115,91,54,44,64,279,307,292,"2,373","3,562",283,"1,244",729,251,"2,499","1,688","5,270"
2021년09월_남_10~19세,"31,267","3,205",650,165,184,65,73,115,313,289,331,"3,762","5,416",377,"1,960","1,536",357,"4,097","2,642","5,730"
2021년09월_남_20~29세,"36,856","2,921","1,046",368,361,173,154,227,712,562,748,"6,583","5,829",656,"3,203","3,174",549,"3,736","2,408","3,446"
2021년09월_남_30~39세,"34,624","4,340","2,020",289,358,148,142,219,680,594,649,"4,459","4,680",551,"2,308","1,611",409,"3,428","2,227","5,512"
2021년09월_남_40~49세,"47,974","5,848","1,605",486,457,206,202,307,670,626,720,"5,329","7,076",720,"3,121","2,342",583,"5,706","3,694","8,276"
2021년09월_남_50~59세,"50,339","4,415","1,388",802,871,444,407,547,"1,010",823,"1,051","7,878","7,671","1,075","4,324","3,690",788,"5,144","3,329","4,682"
2021년09월_남_60~69세,"31,841","3,137",929,783,"1,019",546,459,890,862,803,822,"4,472","4,072",906,"2,912","2,598",614,"2,384","1,504","2,129"
2021년09월_남_70~79세,"11,820","1,206",260,343,496,274,193,461,325,372,334,"1,277","1,353",357,"1,005",841,222,"1,021",593,887
2021년09월_남_80~89세,"3,761",407,80,146,177,106,58,149,99,135,104,437,419,117,275,286,68,328,173,197
2021년09월_남_90~99세,263,26,6,10,7,3,6,15,7,9,3,29,34,5,21,20,7,25,14,16
2021년09월_남_100세 이상,13,0,0,0,0,0,0,0,1,1,0,2,0,0,0,1,2,4,1,1
2021년09월_여_총인구수,"266,200","27,056","9,007","2,884","3,348","1,783","1,409","2,775","4,729","4,532","4,804","36,826","40,008","4,477","19,670","15,989","3,709","28,589","17,977","36,628"
2021년09월_여_연령구간인구수,"266,200","27,056","9,007","2,884","3,348","1,783","1,409","2,775","4,729","4,532","4,804","36,826","40,008","4,477","19,670","15,989","3,709","28,589","17,977","36,628"
2021년09월_여_0~9세,"22,782","2,990","1,403",84,89,30,30,72,251,273,262,"2,151","3,403",241,"1,152",695,222,"2,592","1,688","5,154"
2021년09월_여_10~19세,"29,094","3,007",625,140,130,55,66,90,336,253,296,"3,525","4,895",340,"1,801","1,377",370,"3,874","2,475","5,439"
2021년09월_여_20~29세,"30,586","2,313","1,007",191,203,115,105,136,572,459,622,"5,544","4,867",540,"2,692","2,462",437,"3,225","1,935","3,161"
2021년09월_여_30~39세,"32,414","4,069","1,941",213,192,98,84,149,518,576,536,"3,984","4,573",392,"1,931","1,274",341,"3,385","2,113","6,045"
2021년09월_여_40~49세,"48,494","5,085","1,438",287,240,135,119,213,646,555,641,"6,006","7,887",602,"3,017","2,341",588,"6,119","3,962","8,613"
2021년09월_여_50~59세,"47,825","4,003","1,400",571,630,345,304,475,933,828,"1,027","8,357","7,484",902,"4,356","3,702",773,"4,628","2,961","4,146"
2021년09월_여_60~69세,"30,468","3,161",711,665,848,466,376,785,832,820,819,"4,044","3,941",796,"2,704","2,298",554,"2,606","1,574","2,468"
2021년09월_여_70~79세,"15,057","1,460",255,412,516,308,186,486,401,502,400,"1,922","1,845",419,"1,282","1,115",279,"1,363",840,"1,066"
2021년09월_여_80~89세,"8,228",827,198,258,428,202,109,307,211,221,178,"1,151",974,216,656,643,125,701,360,463
2021년09월_여_90~99세,"1,212",137,29,63,71,29,27,60,29,40,22,135,132,28,78,81,17,93,69,72
2021년09월_여_100세 이상,40,4,0,0,1,0,3,2,0,5,1,7,7,1,1,1,3,3,0,1
