카테고리,경상남도 남해군,경상남도 남해군 남해읍,경상남도 남해군 이동면,경상남도 남해군 상주면,경상남도 남해군 삼동면,경상남도 남해군 미조면,경상남도 남해군 남면,경상남도 남해군 서면,경상남도 남해군 고현면,경상남도 남해군 설천면,경상남도 남해군 창선면
2020년09월_계_총인구수,"42,889","13,068","3,773","1,627","3,924","2,363","3,560","2,648","3,465","2,876","5,585"
2020년09월_계_연령구간인구수,"42,889","13,068","3,773","1,627","3,924","2,363","3,560","2,648","3,465","2,876","5,585"
2020년09월_계_0~9세,"1,576",871,80,35,124,90,69,54,71,48,134
2020년09월_계_10~19세,"2,934","1,384",221,99,181,176,211,94,169,115,284
2020년09월_계_20~29세,"3,255","1,490",237,104,207,188,193,133,218,166,319
2020년09월_계_30~39세,"2,486","1,156",162,74,204,131,153,99,155,111,241
2020년09월_계_40~49세,"4,608","1,923",343,145,378,259,324,233,298,211,494
2020년09월_계_50~59세,"7,398","2,209",638,313,673,490,584,430,576,478,"1,007"
2020년09월_계_60~69세,"8,200","1,936",770,313,845,496,711,540,685,663,"1,241"
2020년09월_계_70~79세,"6,750","1,225",707,280,703,322,702,529,656,550,"1,076"
2020년09월_계_80~89세,"4,834",748,528,231,505,175,526,464,529,437,691
2020년09월_계_90~99세,831,125,87,33,101,35,82,71,106,94,97
2020년09월_계_100세 이상,17,1,0,0,3,1,5,1,2,3,1
2020년09월_남_총인구수,"20,641","6,382","1,808",793,"1,887","1,214","1,674","1,268","1,619","1,365","2,631"
2020년09월_남_연령구간인구수,"20,641","6,382","1,808",793,"1,887","1,214","1,674","1,268","1,619","1,365","2,631"
2020년09월_남_0~9세,837,448,38,20,71,42,44,31,38,28,77
2020년09월_남_10~19세,"1,557",718,133,53,102,88,103,55,104,54,147
2020년09월_남_20~29세,"1,999",894,148,65,124,132,121,95,117,110,193
2020년09월_남_30~39세,"1,299",572,88,40,111,71,84,58,84,58,133
2020년09월_남_40~49세,"2,485",918,191,82,214,148,189,142,182,123,296
2020년09월_남_50~59세,"3,917","1,117",357,177,369,265,320,248,295,252,517
2020년09월_남_60~69세,"4,016",923,367,152,421,251,338,267,335,342,620
2020년09월_남_70~79세,"2,922",533,304,121,311,156,315,225,283,242,432
2020년09월_남_80~89세,"1,460",243,159,78,147,56,142,137,157,140,201
2020년09월_남_90~99세,148,16,23,5,16,5,18,10,24,16,15
2020년09월_남_100세 이상,1,0,0,0,1,0,0,0,0,0,0
2020년09월_여_총인구수,"22,248","6,686","1,965",834,"2,037","1,149","1,886","1,380","1,846","1,511","2,954"
2020년09월_여_연령구간인구수,"22,248","6,686","1,965",834,"2,037","1,149","1,886","1,380","1,846","1,511","2,954"
2020년09월_여_0~9세,739,423,42,15,53,48,25,23,33,20,57
2020년09월_여_10~19세,"1,377",666,88,46,79,88,108,39,65,61,137
2020년09월_여_20~29세,"1,256",596,89,39,83,56,72,38,101,56,126
2020년09월_여_30~39세,"1,187",584,74,34,93,60,69,41,71,53,108
2020년09월_여_40~49세,"2,123","1,005",152,63,164,111,135,91,116,88,198
2020년09월_여_50~59세,"3,481","1,092",281,136,304,225,264,182,281,226,490
2020년09월_여_60~69세,"4,184","1,013",403,161,424,245,373,273,350,321,621
2020년09월_여_70~79세,"3,828",692,403,159,392,166,387,304,373,308,644
2020년09월_여_80~89세,"3,374",505,369,153,358,119,384,327,372,297,490
2020년09월_여_90~99세,683,109,64,28,85,30,64,61,82,78,82
2020년09월_여_100세 이상,16,1,0,0,2,1,5,1,2,3,1
