,경상남도 산청군,경상남도 산청군 산청읍,경상남도 산청군 차황면,경상남도 산청군 오부면,경상남도 산청군 생초면,경상남도 산청군 금서면,경상남도 산청군 삼장면,경상남도 산청군 시천면,경상남도 산청군 단성면,경상남도 산청군 신안면,경상남도 산청군 생비량면,경상남도 산청군 신등면
2021년01월_계_총인구수,"34,809","6,847","1,409","1,067","2,031","2,882","1,831","4,147","5,597","5,715","1,182","2,101"
2021년01월_계_연령구간인구수,"34,809","6,847","1,409","1,067","2,031","2,882","1,831","4,147","5,597","5,715","1,182","2,101"
2021년01월_계_0~9세,"1,316",376,46,40,52,86,34,123,166,323,34,36
2021년01월_계_10~19세,"2,064",531,40,46,94,154,76,287,200,487,45,104
2021년01월_계_20~29세,"2,459",643,70,41,101,168,107,306,363,506,54,100
2021년01월_계_30~39세,"2,116",626,54,43,87,185,69,210,297,420,50,75
2021년01월_계_40~49세,"3,486",824,112,90,131,268,148,450,525,666,97,175
2021년01월_계_50~59세,"6,504","1,164",230,170,321,522,399,886,"1,152","1,106",178,376
2021년01월_계_60~69세,"7,342","1,177",337,212,444,587,432,913,"1,355","1,092",310,483
2021년01월_계_70~79세,"5,272",844,260,209,441,503,331,575,891,596,223,399
2021년01월_계_80~89세,"3,683",555,227,186,319,345,207,344,568,460,162,310
2021년01월_계_90~99세,549,103,33,29,39,62,27,51,77,58,29,41
2021년01월_계_100세 이상,18,4,0,1,2,2,1,2,3,1,0,2
2021년01월_남_총인구수,"17,085","3,304",690,512,981,"1,421",903,"2,045","2,821","2,807",563,"1,038"
2021년01월_남_연령구간인구수,"17,085","3,304",690,512,981,"1,421",903,"2,045","2,821","2,807",563,"1,038"
2021년01월_남_0~9세,696,193,24,19,35,48,23,59,105,160,15,15
2021년01월_남_10~19세,"1,103",274,26,29,57,83,45,158,106,242,21,62
2021년01월_남_20~29세,"1,399",370,38,18,61,90,62,162,212,298,32,56
2021년01월_남_30~39세,"1,142",317,33,21,52,106,45,106,171,222,28,41
2021년01월_남_40~49세,"1,932",419,67,58,91,159,80,238,310,340,60,110
2021년01월_남_50~59세,"3,512",607,140,103,184,286,209,475,612,559,111,226
2021년01월_남_60~69세,"3,791",583,176,113,225,307,224,444,711,588,162,258
2021년01월_남_70~79세,"2,317",366,115,84,174,213,140,268,427,257,92,181
2021년01월_남_80~89세,"1,083",156,62,61,95,114,70,120,159,131,37,78
2021년01월_남_90~99세,108,19,9,6,6,15,5,14,8,10,5,11
2021년01월_남_100세 이상,2,0,0,0,1,0,0,1,0,0,0,0
2021년01월_여_총인구수,"17,724","3,543",719,555,"1,050","1,461",928,"2,102","2,776","2,908",619,"1,063"
2021년01월_여_연령구간인구수,"17,724","3,543",719,555,"1,050","1,461",928,"2,102","2,776","2,908",619,"1,063"
2021년01월_여_0~9세,620,183,22,21,17,38,11,64,61,163,19,21
2021년01월_여_10~19세,961,257,14,17,37,71,31,129,94,245,24,42
2021년01월_여_20~29세,"1,060",273,32,23,40,78,45,144,151,208,22,44
2021년01월_여_30~39세,974,309,21,22,35,79,24,104,126,198,22,34
2021년01월_여_40~49세,"1,554",405,45,32,40,109,68,212,215,326,37,65
2021년01월_여_50~59세,"2,992",557,90,67,137,236,190,411,540,547,67,150
2021년01월_여_60~69세,"3,551",594,161,99,219,280,208,469,644,504,148,225
2021년01월_여_70~79세,"2,955",478,145,125,267,290,191,307,464,339,131,218
2021년01월_여_80~89세,"2,600",399,165,125,224,231,137,224,409,329,125,232
2021년01월_여_90~99세,441,84,24,23,33,47,22,37,69,48,24,30
2021년01월_여_100세 이상,16,4,0,1,1,2,1,1,3,1,0,2
