카테고리,경상남도 산청군,경상남도 산청군 산청읍,경상남도 산청군 차황면,경상남도 산청군 오부면,경상남도 산청군 생초면,경상남도 산청군 금서면,경상남도 산청군 삼장면,경상남도 산청군 시천면,경상남도 산청군 단성면,경상남도 산청군 신안면,경상남도 산청군 생비량면,경상남도 산청군 신등면
2021년03월_계_총인구수,"34,686","6,808","1,392","1,073","2,031","2,886","1,828","4,152","5,587","5,669","1,184","2,076"
2021년03월_계_연령구간인구수,"34,686","6,808","1,392","1,073","2,031","2,886","1,828","4,152","5,587","5,669","1,184","2,076"
2021년03월_계_0~9세,"1,295",372,43,39,53,84,32,121,162,318,36,35
2021년03월_계_10~19세,"2,085",537,40,47,95,159,73,285,206,497,43,103
2021년03월_계_20~29세,"2,391",632,60,45,99,155,103,308,350,492,52,95
2021년03월_계_30~39세,"2,088",604,55,45,86,183,67,210,292,415,56,75
2021년03월_계_40~49세,"3,436",817,109,91,134,267,148,446,513,651,92,168
2021년03월_계_50~59세,"6,399","1,149",225,169,314,521,391,878,"1,141","1,072",174,365
2021년03월_계_60~69세,"7,479","1,190",346,214,453,603,445,930,"1,370","1,124",319,485
2021년03월_계_70~79세,"5,232",849,256,204,427,498,324,572,896,587,222,397
2021년03월_계_80~89세,"3,698",551,224,189,324,351,219,344,570,454,159,313
2021년03월_계_90~99세,569,104,34,29,44,64,25,56,84,59,31,39
2021년03월_계_100세 이상,14,3,0,1,2,1,1,2,3,0,0,1
2021년03월_남_총인구수,"17,058","3,298",682,516,980,"1,433",903,"2,050","2,811","2,793",564,"1,028"
2021년03월_남_연령구간인구수,"17,058","3,298",682,516,980,"1,433",903,"2,050","2,811","2,793",564,"1,028"
2021년03월_남_0~9세,684,191,22,19,36,47,23,59,99,157,16,15
2021년03월_남_10~19세,"1,122",280,26,29,59,86,46,157,110,246,21,62
2021년03월_남_20~29세,"1,370",366,33,22,59,88,59,165,205,289,30,54
2021년03월_남_30~39세,"1,119",304,33,21,50,104,42,108,167,216,32,42
2021년03월_남_40~49세,"1,897",412,64,57,90,160,81,235,301,332,60,105
2021년03월_남_50~59세,"3,477",598,140,104,183,294,206,469,607,547,106,223
2021년03월_남_60~69세,"3,868",598,180,112,230,313,229,453,723,608,164,258
2021년03월_남_70~79세,"2,314",371,114,83,170,210,138,266,428,260,93,181
2021년03월_남_80~89세,"1,095",158,61,63,96,115,75,122,162,128,37,78
2021년03월_남_90~99세,110,20,9,6,6,16,4,15,9,10,5,10
2021년03월_남_100세 이상,2,0,0,0,1,0,0,1,0,0,0,0
2021년03월_여_총인구수,"17,628","3,510",710,557,"1,051","1,453",925,"2,102","2,776","2,876",620,"1,048"
2021년03월_여_연령구간인구수,"17,628","3,510",710,557,"1,051","1,453",925,"2,102","2,776","2,876",620,"1,048"
2021년03월_여_0~9세,611,181,21,20,17,37,9,62,63,161,20,20
2021년03월_여_10~19세,963,257,14,18,36,73,27,128,96,251,22,41
2021년03월_여_20~29세,"1,021",266,27,23,40,67,44,143,145,203,22,41
2021년03월_여_30~39세,969,300,22,24,36,79,25,102,125,199,24,33
2021년03월_여_40~49세,"1,539",405,45,34,44,107,67,211,212,319,32,63
2021년03월_여_50~59세,"2,922",551,85,65,131,227,185,409,534,525,68,142
2021년03월_여_60~69세,"3,611",592,166,102,223,290,216,477,647,516,155,227
2021년03월_여_70~79세,"2,918",478,142,121,257,288,186,306,468,327,129,216
2021년03월_여_80~89세,"2,603",393,163,126,228,236,144,222,408,326,122,235
2021년03월_여_90~99세,459,84,25,23,38,48,21,41,75,49,26,29
2021년03월_여_100세 이상,12,3,0,1,1,1,1,1,3,0,0,1
