,경상남도 의령군,경상남도 의령군 의령읍,경상남도 의령군 가례면,경상남도 의령군 칠곡면,경상남도 의령군 대의면,경상남도 의령군 화정면,경상남도 의령군 용덕면,경상남도 의령군 정곡면,경상남도 의령군 지정면,경상남도 의령군 낙서면,경상남도 의령군 부림면,경상남도 의령군 봉수면,경상남도 의령군 궁류면,경상남도 의령군 유곡면
2021년04월_계_총인구수,"26,624","9,540","1,695","1,182","1,030","1,517","1,540","1,435","1,846",752,"2,807",990,"1,126","1,164"
2021년04월_계_연령구간인구수,"26,624","9,540","1,695","1,182","1,030","1,517","1,540","1,435","1,846",752,"2,807",990,"1,126","1,164"
2021년04월_계_0~9세,"1,043",672,30,18,29,25,35,43,39,17,80,25,12,18
2021년04월_계_10~19세,"1,482",909,51,28,23,51,54,38,56,29,154,31,32,26
2021년04월_계_20~29세,"1,990",989,100,78,68,119,87,85,113,28,199,45,37,42
2021년04월_계_30~39세,"1,713",940,83,57,49,62,99,52,80,29,134,50,35,43
2021년04월_계_40~49세,"2,800","1,470",127,81,67,132,126,110,150,53,277,73,55,79
2021년04월_계_50~59세,"4,533","1,616",308,214,176,266,281,249,303,100,514,127,194,185
2021년04월_계_60~69세,"5,567","1,467",433,310,244,360,363,342,481,221,563,231,262,290
2021년04월_계_70~79세,"3,946",878,281,208,188,255,245,260,340,138,505,205,223,220
2021년04월_계_80~89세,"3,078",530,241,156,159,218,214,222,255,121,325,175,239,223
2021년04월_계_90~99세,466,68,39,32,27,29,36,34,29,15,56,28,37,36
2021년04월_계_100세 이상,6,1,2,0,0,0,0,0,0,1,0,0,0,2
2021년04월_남_총인구수,"13,069","4,711",844,579,492,744,760,692,938,356,"1,351",520,526,556
2021년04월_남_연령구간인구수,"13,069","4,711",844,579,492,744,760,692,938,356,"1,351",520,526,556
2021년04월_남_0~9세,529,348,17,12,10,11,16,19,21,11,36,16,5,7
2021년04월_남_10~19세,795,487,27,16,16,25,24,18,29,19,81,20,19,14
2021년04월_남_20~29세,"1,127",519,55,50,44,80,46,44,67,17,123,30,28,24
2021년04월_남_30~39세,908,450,48,37,27,28,61,32,42,20,86,33,14,30
2021년04월_남_40~49세,"1,616",778,84,49,43,82,74,68,92,37,166,60,34,49
2021년04월_남_50~59세,"2,527",878,176,110,106,149,160,147,164,53,284,73,115,112
2021년04월_남_60~69세,"2,929",708,249,161,127,196,205,184,275,110,275,143,141,155
2021년04월_남_70~79세,"1,640",374,117,87,77,94,106,102,161,52,209,82,87,92
2021년04월_남_80~89세,902,152,61,50,38,74,62,66,82,36,86,57,77,61
2021년04월_남_90~99세,95,17,10,7,4,5,6,12,5,1,5,6,6,11
2021년04월_남_100세 이상,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2021년04월_여_총인구수,"13,555","4,829",851,603,538,773,780,743,908,396,"1,456",470,600,608
2021년04월_여_연령구간인구수,"13,555","4,829",851,603,538,773,780,743,908,396,"1,456",470,600,608
2021년04월_여_0~9세,514,324,13,6,19,14,19,24,18,6,44,9,7,11
2021년04월_여_10~19세,687,422,24,12,7,26,30,20,27,10,73,11,13,12
2021년04월_여_20~29세,863,470,45,28,24,39,41,41,46,11,76,15,9,18
2021년04월_여_30~39세,805,490,35,20,22,34,38,20,38,9,48,17,21,13
2021년04월_여_40~49세,"1,184",692,43,32,24,50,52,42,58,16,111,13,21,30
2021년04월_여_50~59세,"2,006",738,132,104,70,117,121,102,139,47,230,54,79,73
2021년04월_여_60~69세,"2,638",759,184,149,117,164,158,158,206,111,288,88,121,135
2021년04월_여_70~79세,"2,306",504,164,121,111,161,139,158,179,86,296,123,136,128
2021년04월_여_80~89세,"2,176",378,180,106,121,144,152,156,173,85,239,118,162,162
2021년04월_여_90~99세,371,51,29,25,23,24,30,22,24,14,51,22,31,25
2021년04월_여_100세 이상,5,1,2,0,0,0,0,0,0,1,0,0,0,1
