,경상남도 진주시,경상남도 진주시 문산읍,경상남도 진주시 내동면,경상남도 진주시 정촌면,경상남도 진주시 금곡면,경상남도 진주시 진성면,경상남도 진주시 일반성면,경상남도 진주시 이반성면,경상남도 진주시 사봉면,경상남도 진주시 지수면,경상남도 진주시 대곡면,경상남도 진주시 금산면,경상남도 진주시 집현면,경상남도 진주시 미천면,경상남도 진주시 명석면,경상남도 진주시 대평면,경상남도 진주시 수곡면,경상남도 진주시 천전동,경상남도 진주시 성북동,경상남도 진주시 중앙동,경상남도 진주시 상봉동,경상남도 진주시 상대동,경상남도 진주시 하대동,경상남도 진주시 상평동,경상남도 진주시 초장동,경상남도 진주시 평거동,경상남도 진주시 신안동,경상남도 진주시 이현동,경상남도 진주시 판문동,경상남도 진주시 가호동,경상남도 진주시 충무공동
2021년11월_계_총인구수,"347,380","8,088","4,024","8,767","2,189","1,884","2,568","1,581","1,473","1,427","3,192","20,984","4,666","1,583","4,004","1,040","2,195","27,779","10,349","11,064","13,855","19,336","24,205","11,538","26,849","27,461","11,605","11,920","21,023","27,693","33,038"
2021년11월_계_연령구간인구수,"347,380","8,088","4,024","8,767","2,189","1,884","2,568","1,581","1,473","1,427","3,192","20,984","4,666","1,583","4,004","1,040","2,195","27,779","10,349","11,064","13,855","19,336","24,205","11,538","26,849","27,461","11,605","11,920","21,023","27,693","33,038"
2021년11월_계_0~9세,"26,914",603,320,984,35,41,94,20,27,37,53,"2,038",212,16,121,21,48,"1,469",402,306,510,889,"1,239",679,"3,208","1,989",617,630,"2,261","2,383","5,662"
2021년11월_계_10~19세,"34,705",638,449,522,101,47,180,44,46,69,122,"2,722",405,45,181,43,87,"2,419",684,633,"1,019","1,555","2,362","1,010","4,011","3,376","1,073","1,230","2,981","2,586","4,065"
2021년11월_계_20~29세,"44,776",745,437,"1,075",136,117,207,68,57,100,193,"2,280",407,79,321,88,139,"4,320","1,402","1,118","1,778","2,835","3,666","1,465","3,286","4,076","1,561","1,497","2,306","5,604","3,413"
2021년11월_계_30~39세,"40,835",880,381,"1,739",120,120,161,62,74,60,155,"2,358",357,55,226,44,96,"2,728","1,100",866,"1,221","1,959","2,450","1,346","3,573","2,959","1,139","1,082","2,337","4,251","6,936"
2021년11월_계_40~49세,"53,256","1,010",645,"1,210",176,136,260,94,138,130,245,"3,652",617,101,400,89,201,"3,848","1,475","1,293","1,779","2,670","3,477","1,678","5,248","4,508","1,572","1,715","4,047","4,102","6,740"
2021년11월_계_50~59세,"57,259","1,363",677,"1,290",354,333,485,254,204,236,562,"3,392",877,278,752,178,385,"4,569","1,689","1,846","2,545","3,530","4,889","2,026","4,187","5,129","2,013","2,286","3,271","4,028","3,631"
2021년11월_계_60~69세,"48,739","1,455",590,"1,159",499,491,525,452,370,313,754,"2,620",861,387,"1,021",259,559,"4,254","1,892","2,461","2,584","3,313","3,765","1,930","2,046","3,140","1,994","2,025","2,315","2,873","1,832"
2021년11월_계_70~79세,"25,825",817,309,475,397,297,357,301,292,248,558,"1,222",547,323,565,155,335,"2,700","1,109","1,686","1,615","1,810","1,621",989,875,"1,386","1,034",989,"1,004","1,278",531
2021년11월_계_80~89세,"13,153",483,185,263,310,259,268,248,230,195,477,626,333,259,358,138,307,"1,305",506,762,701,707,652,363,362,769,531,402,446,519,189
2021년11월_계_90~99세,"1,861",92,29,48,59,42,29,38,34,38,71,74,50,39,56,23,36,161,89,92,101,66,81,51,48,127,68,60,54,69,36
2021년11월_계_100세 이상,57,2,2,2,2,1,2,0,1,1,2,0,0,1,3,2,2,6,1,1,2,2,3,1,5,2,3,4,1,0,3
2021년11월_남_총인구수,"171,710","4,100","2,017","4,464","1,044",930,"1,255",794,722,712,"1,594","10,533","2,333",779,"1,966",500,"1,073","13,621","5,106","5,337","6,841","9,560","12,101","5,854","13,592","13,122","5,487","5,867","10,010","14,043","16,353"
2021년11월_남_연령구간인구수,"171,710","4,100","2,017","4,464","1,044",930,"1,255",794,722,712,"1,594","10,533","2,333",779,"1,966",500,"1,073","13,621","5,106","5,337","6,841","9,560","12,101","5,854","13,592","13,122","5,487","5,867","10,010","14,043","16,353"
2021년11월_남_0~9세,"13,944",330,179,485,17,24,48,15,13,16,31,"1,065",110,7,64,11,29,787,209,166,282,434,670,335,"1,725","1,001",322,335,"1,145","1,274","2,815"
2021년11월_남_10~19세,"18,285",347,236,265,54,23,96,29,25,29,69,"1,458",202,29,88,19,47,"1,337",364,355,542,811,"1,285",487,"2,274","1,735",554,699,"1,429","1,338","2,059"
2021년11월_남_20~29세,"24,559",411,231,608,87,68,124,45,35,65,123,"1,302",236,47,172,53,78,"2,343",729,611,934,"1,543","2,056",819,"1,836","2,189",812,852,"1,234","3,183","1,733"
2021년11월_남_30~39세,"21,040",459,179,927,68,68,83,44,44,36,97,"1,202",185,27,127,26,46,"1,477",609,499,665,"1,082","1,335",733,"1,648","1,475",589,561,"1,069","2,307","3,373"
2021년11월_남_40~49세,"26,517",555,321,661,116,87,146,61,97,85,161,"1,752",324,72,224,52,134,"1,909",796,726,990,"1,375","1,688",904,"2,456","1,971",751,806,"1,891","1,998","3,408"
2021년11월_남_50~59세,"28,299",720,350,612,195,189,259,158,127,138,326,"1,677",476,165,386,98,227,"2,207",843,969,"1,295","1,690","2,337","1,026","2,115","2,396",920,"1,076","1,605","1,936","1,781"
2021년11월_남_60~69세,"23,234",770,309,595,258,248,276,233,182,164,381,"1,296",461,213,522,139,288,"1,910",867,"1,062","1,174","1,508","1,773",943,"1,038","1,522",857,942,"1,088","1,334",881
2021년11월_남_70~79세,"11,317",362,151,234,155,134,149,135,135,120,261,555,233,145,251,65,140,"1,150",487,709,700,824,743,454,381,558,454,464,410,511,247
2021년11월_남_80~89세,"4,161",130,55,71,87,79,66,66,58,52,134,217,93,66,120,33,78,460,181,223,241,279,201,142,110,250,214,120,129,155,51
2021년11월_남_90~99세,344,16,6,6,7,10,6,8,6,7,11,9,13,8,11,4,6,39,21,17,18,14,11,11,7,25,14,11,10,7,5
2021년11월_남_100세 이상,10,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,2,0,0,1,0,0,0
2021년11월_여_총인구수,"175,670","3,988","2,007","4,303","1,145",954,"1,313",787,751,715,"1,598","10,451","2,333",804,"2,038",540,"1,122","14,158","5,243","5,727","7,014","9,776","12,104","5,684","13,257","14,339","6,118","6,053","11,013","13,650","16,685"
2021년11월_여_연령구간인구수,"175,670","3,988","2,007","4,303","1,145",954,"1,313",787,751,715,"1,598","10,451","2,333",804,"2,038",540,"1,122","14,158","5,243","5,727","7,014","9,776","12,104","5,684","13,257","14,339","6,118","6,053","11,013","13,650","16,685"
2021년11월_여_0~9세,"12,970",273,141,499,18,17,46,5,14,21,22,973,102,9,57,10,19,682,193,140,228,455,569,344,"1,483",988,295,295,"1,116","1,109","2,847"
2021년11월_여_10~19세,"16,420",291,213,257,47,24,84,15,21,40,53,"1,264",203,16,93,24,40,"1,082",320,278,477,744,"1,077",523,"1,737","1,641",519,531,"1,552","1,248","2,006"
2021년11월_여_20~29세,"20,217",334,206,467,49,49,83,23,22,35,70,978,171,32,149,35,61,"1,977",673,507,844,"1,292","1,610",646,"1,450","1,887",749,645,"1,072","2,421","1,680"
2021년11월_여_30~39세,"19,795",421,202,812,52,52,78,18,30,24,58,"1,156",172,28,99,18,50,"1,251",491,367,556,877,"1,115",613,"1,925","1,484",550,521,"1,268","1,944","3,563"
2021년11월_여_40~49세,"26,739",455,324,549,60,49,114,33,41,45,84,"1,900",293,29,176,37,67,"1,939",679,567,789,"1,295","1,789",774,"2,792","2,537",821,909,"2,156","2,104","3,332"
2021년11월_여_50~59세,"28,960",643,327,678,159,144,226,96,77,98,236,"1,715",401,113,366,80,158,"2,362",846,877,"1,250","1,840","2,552","1,000","2,072","2,733","1,093","1,210","1,666","2,092","1,850"
2021년11월_여_60~69세,"25,505",685,281,564,241,243,249,219,188,149,373,"1,324",400,174,499,120,271,"2,344","1,025","1,399","1,410","1,805","1,992",987,"1,008","1,618","1,137","1,083","1,227","1,539",951
2021년11월_여_70~79세,"14,508",455,158,241,242,163,208,166,157,128,297,667,314,178,314,90,195,"1,550",622,977,915,986,878,535,494,828,580,525,594,767,284
2021년11월_여_80~89세,"8,992",353,130,192,223,180,202,182,172,143,343,409,240,193,238,105,229,845,325,539,460,428,451,221,252,519,317,282,317,364,138
2021년11월_여_90~99세,"1,517",76,23,42,52,32,23,30,28,31,60,65,37,31,45,19,30,122,68,75,83,52,70,40,41,102,54,49,44,62,31
2021년11월_여_100세 이상,47,2,2,2,2,1,0,0,1,1,2,0,0,1,2,2,2,4,1,1,2,2,1,1,3,2,3,3,1,0,3
