,경상남도 창녕군,경상남도 창녕군 창녕읍,경상남도 창녕군 남지읍,경상남도 창녕군 고암면,경상남도 창녕군 성산면,경상남도 창녕군 대합면,경상남도 창녕군 이방면,경상남도 창녕군 유어면,경상남도 창녕군 대지면,경상남도 창녕군 계성면,경상남도 창녕군 영산면,경상남도 창녕군 장마면,경상남도 창녕군 도천면,경상남도 창녕군 길곡면,경상남도 창녕군 부곡면
2021년07월_계_총인구수,"60,592","16,765","12,045","1,972","1,577","3,892","2,514","1,772","2,543","2,377","5,476","1,867","2,742","1,531","3,519"
2021년07월_계_연령구간인구수,"60,592","16,765","12,045","1,972","1,577","3,892","2,514","1,772","2,543","2,377","5,476","1,867","2,742","1,531","3,519"
2021년07월_계_0~9세,"3,026","1,229",879,60,36,101,72,38,126,62,189,38,88,29,79
2021년07월_계_10~19세,"4,135","1,547",954,132,32,193,265,49,173,85,343,64,132,46,120
2021년07월_계_20~29세,"4,640","1,657",888,111,89,261,123,88,198,160,466,95,201,80,223
2021년07월_계_30~39세,"4,864","1,792","1,108",104,92,251,136,102,189,116,408,95,178,78,215
2021년07월_계_40~49세,"6,921","2,285","1,711",131,112,370,185,131,274,225,642,146,281,125,303
2021년07월_계_50~59세,"10,681","2,848","2,089",316,291,715,387,282,441,477,"1,052",325,495,286,677
2021년07월_계_60~69세,"12,527","2,785","2,256",421,409,849,583,429,505,546,"1,207",450,668,435,984
2021년07월_계_70~79세,"8,010","1,577","1,324",374,277,659,402,383,363,383,718,358,390,255,547
2021년07월_계_80~89세,"5,097",916,732,272,212,441,333,238,237,287,397,263,265,171,333
2021년07월_계_90~99세,676,127,104,50,27,52,27,31,32,34,53,33,42,26,38
2021년07월_계_100세 이상,15,2,0,1,0,0,1,1,5,2,1,0,2,0,0
2021년07월_남_총인구수,"30,156","8,291","6,052",990,741,"2,003","1,176",864,"1,326","1,192","2,778",921,"1,341",768,"1,713"
2021년07월_남_연령구간인구수,"30,156","8,291","6,052",990,741,"2,003","1,176",864,"1,326","1,192","2,778",921,"1,341",768,"1,713"
2021년07월_남_0~9세,"1,573",634,453,27,15,51,42,26,70,35,96,23,46,15,40
2021년07월_남_10~19세,"2,216",791,520,89,21,131,96,22,109,45,190,42,67,26,67
2021년07월_남_20~29세,"2,683",927,499,65,49,168,73,51,124,99,281,63,99,56,129
2021년07월_남_30~39세,"2,663",932,587,55,54,139,81,70,102,71,241,52,110,50,119
2021년07월_남_40~49세,"3,852","1,195",954,82,69,214,118,74,165,132,358,94,155,77,165
2021년07월_남_50~59세,"5,749","1,475","1,128",174,146,435,199,171,263,273,561,180,264,131,349
2021년07월_남_60~69세,"6,263","1,339","1,093",242,205,441,287,214,259,286,613,227,340,233,484
2021년07월_남_70~79세,"3,497",691,574,161,127,276,181,156,149,152,317,156,175,130,252
2021년07월_남_80~89세,"1,546",280,225,86,50,139,93,75,80,98,113,76,79,48,104
2021년07월_남_90~99세,113,27,19,9,5,9,6,5,5,1,7,8,6,2,4
2021년07월_남_100세 이상,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2021년07월_여_총인구수,"30,436","8,474","5,993",982,836,"1,889","1,338",908,"1,217","1,185","2,698",946,"1,401",763,"1,806"
2021년07월_여_연령구간인구수,"30,436","8,474","5,993",982,836,"1,889","1,338",908,"1,217","1,185","2,698",946,"1,401",763,"1,806"
2021년07월_여_0~9세,"1,453",595,426,33,21,50,30,12,56,27,93,15,42,14,39
2021년07월_여_10~19세,"1,919",756,434,43,11,62,169,27,64,40,153,22,65,20,53
2021년07월_여_20~29세,"1,957",730,389,46,40,93,50,37,74,61,185,32,102,24,94
2021년07월_여_30~39세,"2,201",860,521,49,38,112,55,32,87,45,167,43,68,28,96
2021년07월_여_40~49세,"3,069","1,090",757,49,43,156,67,57,109,93,284,52,126,48,138
2021년07월_여_50~59세,"4,932","1,373",961,142,145,280,188,111,178,204,491,145,231,155,328
2021년07월_여_60~69세,"6,264","1,446","1,163",179,204,408,296,215,246,260,594,223,328,202,500
2021년07월_여_70~79세,"4,513",886,750,213,150,383,221,227,214,231,401,202,215,125,295
2021년07월_여_80~89세,"3,551",636,507,186,162,302,240,163,157,189,284,187,186,123,229
2021년07월_여_90~99세,563,100,85,41,22,43,21,26,27,33,46,25,36,24,34
2021년07월_여_100세 이상,14,2,0,1,0,0,1,1,5,2,0,0,2,0,0
