카테고리,경상남도 통영시,경상남도 통영시 산양읍,경상남도 통영시 용남면,경상남도 통영시 도산면,경상남도 통영시 광도면,경상남도 통영시 욕지면,경상남도 통영시 한산면,경상남도 통영시 사량면,경상남도 통영시 도천동,경상남도 통영시 명정동,경상남도 통영시 중앙동,경상남도 통영시 정량동,경상남도 통영시 북신동,경상남도 통영시 미수동,경상남도 통영시 봉평동,경상남도 통영시 무전동
2020년06월_계_총인구수,"129,711","4,773","12,831","2,954","31,224","2,048","2,051","1,517","9,056","3,086","4,144","9,143","10,791","11,541","10,538","14,014"
2020년06월_계_연령구간인구수,"129,711","4,773","12,831","2,954","31,224","2,048","2,051","1,517","9,056","3,086","4,144","9,143","10,791","11,541","10,538","14,014"
2020년06월_계_0~9세,"10,251",133,"1,335",72,"4,014",49,36,20,437,103,140,523,740,973,550,"1,126"
2020년06월_계_10~19세,"12,922",216,"1,436",133,"3,959",103,58,38,831,191,244,664,996,"1,411",981,"1,661"
2020년06월_계_20~29세,"11,433",331,"1,096",177,"2,717",117,92,72,919,232,301,725,"1,007","1,072",976,"1,599"
2020년06월_계_30~39세,"14,689",336,"1,555",163,"4,961",127,93,78,781,197,303,932,"1,183","1,236","1,037","1,707"
2020년06월_계_40~49세,"21,587",569,"2,269",283,"6,439",273,186,121,"1,317",386,569,"1,385","1,629","2,008","1,534","2,619"
2020년06월_계_50~59세,"22,779",962,"2,145",530,"4,500",418,349,323,"1,743",614,851,"1,832","1,867","2,055","2,089","2,501"
2020년06월_계_60~69세,"19,706","1,028","1,560",738,"2,795",467,456,369,"1,600",660,899,"1,752","1,970","1,756","1,858","1,798"
2020년06월_계_70~79세,"11,090",729,921,539,"1,259",309,464,282,"1,006",494,583,964,"1,009",737,"1,047",747
2020년06월_계_80~89세,"4,613",409,439,282,503,167,287,191,373,183,230,326,336,259,403,225
2020년06월_계_90~99세,614,58,74,37,77,18,28,21,46,24,23,37,49,33,59,30
2020년06월_계_100세 이상,27,2,1,0,0,0,2,2,3,2,1,3,5,1,4,1
2020년06월_남_총인구수,"65,214","2,519","6,424","1,522","15,800","1,129","1,044",756,"4,505","1,525","2,044","4,674","5,205","5,676","5,394","6,997"
2020년06월_남_연령구간인구수,"65,214","2,519","6,424","1,522","15,800","1,129","1,044",756,"4,505","1,525","2,044","4,674","5,205","5,676","5,394","6,997"
2020년06월_남_0~9세,"5,158",64,649,39,"2,049",25,16,10,208,41,63,263,373,505,255,598
2020년06월_남_10~19세,"6,709",111,734,75,"2,055",65,28,18,396,93,120,345,520,731,526,892
2020년06월_남_20~29세,"6,292",203,584,109,"1,433",63,56,51,544,137,168,408,559,577,562,838
2020년06월_남_30~39세,"7,581",191,747,92,"2,427",88,55,51,432,104,179,522,629,592,573,899
2020년06월_남_40~49세,"11,684",369,"1,228",191,"3,418",172,125,72,715,233,347,837,820,"1,034",849,"1,274"
2020년06월_남_50~59세,"11,616",571,"1,107",304,"2,300",246,228,183,879,332,435,904,829,988,"1,101","1,209"
2020년06월_남_60~69세,"9,646",552,806,361,"1,394",240,243,202,769,321,413,836,863,873,918,855
2020년06월_남_70~79세,"4,983",332,398,256,563,169,202,117,434,199,240,451,473,311,471,367
2020년06월_남_80~89세,"1,423",119,152,89,148,59,85,49,123,59,72,102,127,57,121,61
2020년06월_남_90~99세,114,7,18,6,13,2,6,3,4,6,7,6,9,7,17,3
2020년06월_남_100세 이상,8,0,1,0,0,0,0,0,1,0,0,0,3,1,1,1
2020년06월_여_총인구수,"64,497","2,254","6,407","1,432","15,424",919,"1,007",761,"4,551","1,561","2,100","4,469","5,586","5,865","5,144","7,017"
2020년06월_여_연령구간인구수,"64,497","2,254","6,407","1,432","15,424",919,"1,007",761,"4,551","1,561","2,100","4,469","5,586","5,865","5,144","7,017"
2020년06월_여_0~9세,"5,093",69,686,33,"1,965",24,20,10,229,62,77,260,367,468,295,528
2020년06월_여_10~19세,"6,213",105,702,58,"1,904",38,30,20,435,98,124,319,476,680,455,769
2020년06월_여_20~29세,"5,141",128,512,68,"1,284",54,36,21,375,95,133,317,448,495,414,761
2020년06월_여_30~39세,"7,108",145,808,71,"2,534",39,38,27,349,93,124,410,554,644,464,808
2020년06월_여_40~49세,"9,903",200,"1,041",92,"3,021",101,61,49,602,153,222,548,809,974,685,"1,345"
2020년06월_여_50~59세,"11,163",391,"1,038",226,"2,200",172,121,140,864,282,416,928,"1,038","1,067",988,"1,292"
2020년06월_여_60~69세,"10,060",476,754,377,"1,401",227,213,167,831,339,486,916,"1,107",883,940,943
2020년06월_여_70~79세,"6,107",397,523,283,696,140,262,165,572,295,343,513,536,426,576,380
2020년06월_여_80~89세,"3,190",290,287,193,355,108,202,142,250,124,158,224,209,202,282,164
2020년06월_여_90~99세,500,51,56,31,64,16,22,18,42,18,16,31,40,26,42,27
2020년06월_여_100세 이상,19,2,0,0,0,0,2,2,2,2,1,3,2,0,3,0
