,경상남도 통영시,경상남도 통영시 산양읍,경상남도 통영시 용남면,경상남도 통영시 도산면,경상남도 통영시 광도면,경상남도 통영시 욕지면,경상남도 통영시 한산면,경상남도 통영시 사량면,경상남도 통영시 도천동,경상남도 통영시 명정동,경상남도 통영시 중앙동,경상남도 통영시 정량동,경상남도 통영시 북신동,경상남도 통영시 미수동,경상남도 통영시 봉평동,경상남도 통영시 무전동
2020년08월_계_총인구수,"129,226","4,746","12,765","2,934","31,141","2,042","2,036","1,518","9,038","3,049","4,121","9,095","10,730","11,457","10,549","14,005"
2020년08월_계_연령구간인구수,"129,226","4,746","12,765","2,934","31,141","2,042","2,036","1,518","9,038","3,049","4,121","9,095","10,730","11,457","10,549","14,005"
2020년08월_계_0~9세,"10,063",128,"1,290",68,"3,986",48,30,21,421,96,138,515,722,943,540,"1,117"
2020년08월_계_10~19세,"12,887",207,"1,435",128,"3,960",101,58,39,823,188,237,674,991,"1,392",989,"1,665"
2020년08월_계_20~29세,"11,331",323,"1,090",173,"2,694",114,92,71,936,225,290,709,990,"1,062",976,"1,586"
2020년08월_계_30~39세,"14,414",328,"1,513",168,"4,886",127,89,76,767,190,296,894,"1,155","1,201","1,033","1,691"
2020년08월_계_40~49세,"21,552",568,"2,277",275,"6,461",269,177,122,"1,309",384,560,"1,381","1,625","1,983","1,535","2,626"
2020년08월_계_50~59세,"22,611",953,"2,140",528,"4,480",416,349,315,"1,722",605,842,"1,822","1,836","2,046","2,075","2,482"
2020년08월_계_60~69세,"20,006","1,041","1,582",736,"2,827",473,463,379,"1,625",663,923,"1,777","2,008","1,793","1,883","1,833"
2020년08월_계_70~79세,"11,085",725,929,542,"1,264",309,462,282,"1,008",490,585,951,"1,013",736,"1,046",743
2020년08월_계_80~89세,"4,640",413,437,282,499,168,289,189,379,184,227,335,338,265,407,228
2020년08월_계_90~99세,611,58,71,34,84,17,25,22,45,22,22,34,48,35,61,33
2020년08월_계_100세 이상,26,2,1,0,0,0,2,2,3,2,1,3,4,1,4,1
2020년08월_남_총인구수,"64,957","2,502","6,389","1,514","15,748","1,129","1,043",754,"4,507","1,507","2,039","4,641","5,174","5,637","5,400","6,973"
2020년08월_남_연령구간인구수,"64,957","2,502","6,389","1,514","15,748","1,129","1,043",754,"4,507","1,507","2,039","4,641","5,174","5,637","5,400","6,973"
2020년08월_남_0~9세,"5,063",61,617,37,"2,048",26,13,9,196,38,61,262,364,493,251,587
2020년08월_남_10~19세,"6,678",105,737,72,"2,039",64,29,19,400,90,117,348,515,723,529,891
2020년08월_남_20~29세,"6,258",197,582,105,"1,424",62,55,51,555,135,167,404,551,572,562,836
2020년08월_남_30~39세,"7,443",188,732,96,"2,395",84,54,51,430,100,180,496,611,576,570,880
2020년08월_남_40~49세,"11,626",367,"1,225",182,"3,414",170,120,70,709,233,336,832,822,"1,016",849,"1,281"
2020년08월_남_50~59세,"11,546",564,"1,111",313,"2,291",246,228,176,867,326,434,899,820,986,"1,093","1,192"
2020년08월_남_60~69세,"9,800",562,814,359,"1,411",246,249,209,787,321,423,842,877,892,930,878
2020년08월_남_70~79세,"4,983",330,401,256,562,169,205,117,433,200,243,445,476,312,475,359
2020년08월_남_80~89세,"1,431",121,151,89,147,60,84,49,125,58,70,105,126,59,124,63
2020년08월_남_90~99세,121,7,18,5,17,2,6,3,4,6,8,8,9,7,16,5
2020년08월_남_100세 이상,8,0,1,0,0,0,0,0,1,0,0,0,3,1,1,1
2020년08월_여_총인구수,"64,269","2,244","6,376","1,420","15,393",913,993,764,"4,531","1,542","2,082","4,454","5,556","5,820","5,149","7,032"
2020년08월_여_연령구간인구수,"64,269","2,244","6,376","1,420","15,393",913,993,764,"4,531","1,542","2,082","4,454","5,556","5,820","5,149","7,032"
2020년08월_여_0~9세,"5,000",67,673,31,"1,938",22,17,12,225,58,77,253,358,450,289,530
2020년08월_여_10~19세,"6,209",102,698,56,"1,921",37,29,20,423,98,120,326,476,669,460,774
2020년08월_여_20~29세,"5,073",126,508,68,"1,270",52,37,20,381,90,123,305,439,490,414,750
2020년08월_여_30~39세,"6,971",140,781,72,"2,491",43,35,25,337,90,116,398,544,625,463,811
2020년08월_여_40~49세,"9,926",201,"1,052",93,"3,047",99,57,52,600,151,224,549,803,967,686,"1,345"
2020년08월_여_50~59세,"11,065",389,"1,029",215,"2,189",170,121,139,855,279,408,923,"1,016","1,060",982,"1,290"
2020년08월_여_60~69세,"10,206",479,768,377,"1,416",227,214,170,838,342,500,935,"1,131",901,953,955
2020년08월_여_70~79세,"6,102",395,528,286,702,140,257,165,575,290,342,506,537,424,571,384
2020년08월_여_80~89세,"3,209",292,286,193,352,108,205,140,254,126,157,230,212,206,283,165
2020년08월_여_90~99세,490,51,53,29,67,15,19,19,41,16,14,26,39,28,45,28
2020년08월_여_100세 이상,18,2,0,0,0,0,2,2,2,2,1,3,1,0,3,0
