카테고리,경상남도 하동군,경상남도 하동군 하동읍,경상남도 하동군 화개면,경상남도 하동군 악양면,경상남도 하동군 적량면,경상남도 하동군 횡천면,경상남도 하동군 고전면,경상남도 하동군 금남면,경상남도 하동군 진교면,경상남도 하동군 양보면,경상남도 하동군 북천면,경상남도 하동군 청암면,경상남도 하동군 옥종면,경상남도 하동군 금성면
2020년12월_계_총인구수,"44,785","10,021","3,058","3,527","1,945","1,904","2,293","3,494","6,041","1,764","1,747","1,527","4,344","3,120"
2020년12월_계_연령구간인구수,"44,785","10,021","3,058","3,527","1,945","1,904","2,293","3,494","6,041","1,764","1,747","1,527","4,344","3,120"
2020년12월_계_0~9세,"1,829",574,85,99,50,52,70,94,367,21,65,69,156,127
2020년12월_계_10~19세,"2,883",887,214,188,91,75,120,144,462,71,87,151,234,159
2020년12월_계_20~29세,"3,460","1,027",220,204,130,122,161,276,475,93,90,76,274,312
2020년12월_계_30~39세,"2,784",840,124,156,95,102,119,182,443,72,104,78,234,235
2020년12월_계_40~49세,"4,970","1,368",362,346,184,159,225,341,782,135,155,139,394,380
2020년12월_계_50~59세,"8,429","1,831",706,729,339,359,400,666,"1,078",307,283,261,842,628
2020년12월_계_60~69세,"8,921","1,659",598,754,437,424,499,756,"1,100",390,384,385,971,564
2020년12월_계_70~79세,"6,372","1,134",457,580,305,301,356,579,735,345,302,222,643,413
2020년12월_계_80~89세,"4,384",609,249,398,278,264,283,387,508,275,239,123,504,267
2020년12월_계_90~99세,730,90,41,70,36,44,59,67,88,52,37,22,89,35
2020년12월_계_100세 이상,23,2,2,3,0,2,1,2,3,3,1,1,3,0
2020년12월_남_총인구수,"22,364","4,949","1,549","1,740",948,929,"1,139","1,778","3,000",860,853,806,"2,174","1,639"
2020년12월_남_연령구간인구수,"22,364","4,949","1,549","1,740",948,929,"1,139","1,778","3,000",860,853,806,"2,174","1,639"
2020년12월_남_0~9세,954,298,40,61,31,24,42,51,170,11,27,44,82,73
2020년12월_남_10~19세,"1,546",445,117,107,57,40,56,72,250,27,52,103,128,92
2020년12월_남_20~29세,"2,064",584,122,128,72,69,107,182,287,62,51,42,157,201
2020년12월_남_30~39세,"1,554",442,72,84,51,59,72,123,230,45,61,42,128,145
2020년12월_남_40~49세,"2,783",717,190,194,105,99,130,199,439,78,88,82,236,226
2020년12월_남_50~59세,"4,597",954,400,389,182,186,226,387,575,171,165,140,463,359
2020년12월_남_60~69세,"4,635",831,320,397,232,222,261,371,558,208,210,205,523,297
2020년12월_남_70~79세,"2,756",475,191,240,125,142,151,254,324,162,125,113,288,166
2020년12월_남_80~89세,"1,316",184,88,132,78,75,84,126,150,83,64,31,151,70
2020년12월_남_90~99세,155,19,8,8,15,11,10,13,17,12,10,4,18,10
2020년12월_남_100세 이상,4,0,1,0,0,2,0,0,0,1,0,0,0,0
2020년12월_여_총인구수,"22,421","5,072","1,509","1,787",997,975,"1,154","1,716","3,041",904,894,721,"2,170","1,481"
2020년12월_여_연령구간인구수,"22,421","5,072","1,509","1,787",997,975,"1,154","1,716","3,041",904,894,721,"2,170","1,481"
2020년12월_여_0~9세,875,276,45,38,19,28,28,43,197,10,38,25,74,54
2020년12월_여_10~19세,"1,337",442,97,81,34,35,64,72,212,44,35,48,106,67
2020년12월_여_20~29세,"1,396",443,98,76,58,53,54,94,188,31,39,34,117,111
2020년12월_여_30~39세,"1,230",398,52,72,44,43,47,59,213,27,43,36,106,90
2020년12월_여_40~49세,"2,187",651,172,152,79,60,95,142,343,57,67,57,158,154
2020년12월_여_50~59세,"3,832",877,306,340,157,173,174,279,503,136,118,121,379,269
2020년12월_여_60~69세,"4,286",828,278,357,205,202,238,385,542,182,174,180,448,267
2020년12월_여_70~79세,"3,616",659,266,340,180,159,205,325,411,183,177,109,355,247
2020년12월_여_80~89세,"3,068",425,161,266,200,189,199,261,358,192,175,92,353,197
2020년12월_여_90~99세,575,71,33,62,21,33,49,54,71,40,27,18,71,25
2020년12월_여_100세 이상,19,2,1,3,0,0,1,2,3,2,1,1,3,0
