카테고리,경상남도 함양군,경상남도 함양군 함양읍,경상남도 함양군 마천면,경상남도 함양군 휴천면,경상남도 함양군 유림면,경상남도 함양군 수동면,경상남도 함양군 지곡면,경상남도 함양군 안의면,경상남도 함양군 서하면,경상남도 함양군 서상면,경상남도 함양군 백전면,경상남도 함양군 병곡면
2020년02월_계_총인구수,"39,499","18,621","2,194","1,604","1,701","2,428","2,081","4,617","1,467","1,862","1,567","1,357"
2020년02월_계_연령구간인구수,"39,499","18,621","2,194","1,604","1,701","2,428","2,081","4,617","1,467","1,862","1,567","1,357"
2020년02월_계_0~9세,"1,940","1,398",41,35,25,70,63,152,28,49,46,33
2020년02월_계_10~19세,"3,077","1,975",117,71,78,149,101,260,51,110,79,86
2020년02월_계_20~29세,"3,254","1,947",117,82,103,211,121,279,90,126,85,93
2020년02월_계_30~39세,"2,758","1,724",96,67,75,144,119,265,61,85,67,55
2020년02월_계_40~49세,"4,607","2,730",206,152,111,237,184,453,106,167,134,127
2020년02월_계_50~59세,"7,063","3,261",471,325,286,404,363,746,287,328,319,273
2020년02월_계_60~69세,"6,915","2,585",470,317,345,495,415,942,365,371,350,260
2020년02월_계_70~79세,"5,593","1,812",394,316,369,396,409,813,241,352,272,219
2020년02월_계_80~89세,"3,730","1,048",238,205,251,285,275,606,209,244,187,182
2020년02월_계_90~99세,529,132,41,33,52,36,31,93,29,28,27,27
2020년02월_계_100세 이상,33,9,3,1,6,1,0,8,0,2,1,2
2020년02월_남_총인구수,"19,055","9,042","1,045",801,790,"1,198","1,004","2,189",700,869,770,647
2020년02월_남_연령구간인구수,"19,055","9,042","1,045",801,790,"1,198","1,004","2,189",700,869,770,647
2020년02월_남_0~9세,988,713,19,19,10,36,30,77,15,25,26,18
2020년02월_남_10~19세,"1,578","1,011",58,34,35,74,47,141,31,53,43,51
2020년02월_남_20~29세,"1,865","1,094",69,45,66,129,82,157,56,65,47,55
2020년02월_남_30~39세,"1,434",850,53,40,45,85,69,145,33,44,41,29
2020년02월_남_40~49세,"2,528","1,401",116,97,69,145,101,281,65,102,77,74
2020년02월_남_50~59세,"3,736","1,690",254,204,151,223,200,392,137,172,159,154
2020년02월_남_60~69세,"3,418","1,202",250,170,180,256,218,450,190,189,181,132
2020년02월_남_70~79세,"2,267",743,151,122,163,151,163,327,101,145,124,77
2020년02월_남_80~89세,"1,120",314,68,65,60,88,87,194,66,64,63,51
2020년02월_남_90~99세,114,23,7,5,10,11,7,22,6,8,9,6
2020년02월_남_100세 이상,7,1,0,0,1,0,0,3,0,2,0,0
2020년02월_여_총인구수,"20,444","9,579","1,149",803,911,"1,230","1,077","2,428",767,993,797,710
2020년02월_여_연령구간인구수,"20,444","9,579","1,149",803,911,"1,230","1,077","2,428",767,993,797,710
2020년02월_여_0~9세,952,685,22,16,15,34,33,75,13,24,20,15
2020년02월_여_10~19세,"1,499",964,59,37,43,75,54,119,20,57,36,35
2020년02월_여_20~29세,"1,389",853,48,37,37,82,39,122,34,61,38,38
2020년02월_여_30~39세,"1,324",874,43,27,30,59,50,120,28,41,26,26
2020년02월_여_40~49세,"2,079","1,329",90,55,42,92,83,172,41,65,57,53
2020년02월_여_50~59세,"3,327","1,571",217,121,135,181,163,354,150,156,160,119
2020년02월_여_60~69세,"3,497","1,383",220,147,165,239,197,492,175,182,169,128
2020년02월_여_70~79세,"3,326","1,069",243,194,206,245,246,486,140,207,148,142
2020년02월_여_80~89세,"2,610",734,170,140,191,197,188,412,143,180,124,131
2020년02월_여_90~99세,415,109,34,28,42,25,24,71,23,20,18,21
2020년02월_여_100세 이상,26,8,3,1,5,1,0,5,0,0,1,2
