카테고리,경상북도,경상북도 포항시,경상북도 포항시 남구,경상북도 포항시 북구,경상북도 경주시,경상북도 김천시,경상북도 안동시,경상북도 구미시,경상북도 영주시,경상북도 영천시,경상북도 상주시,경상북도 문경시,경상북도 경산시,경상북도 군위군,경상북도 의성군,경상북도 청송군,경상북도 영양군,경상북도 영덕군,경상북도 청도군,경상북도 고령군,경상북도 성주군,경상북도 칠곡군,경상북도 예천군,경상북도 봉화군,경상북도 울진군,경상북도 울릉군
2020년02월_계_총인구수,"2,658,956","506,162","233,846","272,316","254,853","140,863","159,645","419,296","104,795","101,967","99,438","71,778","263,075","23,800","52,516","25,430","16,946","37,096","42,852","32,220","43,904","116,456","55,401","31,957","49,049","9,457"
2020년02월_계_연령구간인구수,"2,658,956","506,162","233,846","272,316","254,853","140,863","159,645","419,296","104,795","101,967","99,438","71,778","263,075","23,800","52,516","25,430","16,946","37,096","42,852","32,220","43,904","116,456","55,401","31,957","49,049","9,457"
2020년02월_계_0~9세,"198,214","41,568","18,598","22,970","16,775","10,851","11,116","43,126","6,518","5,865","5,417","4,134","21,501",744,"1,997","1,036",784,"1,796","1,600","1,569","2,008","10,230","4,668","1,488","2,989",434
2020년02월_계_10~19세,"233,506","48,046","21,841","26,205","21,799","12,115","14,086","46,504","9,278","6,879","8,010","5,917","23,331","1,028","2,463","1,299","1,006","2,190","2,406","2,168","2,456","11,796","4,368","1,927","3,935",499
2020년02월_계_20~29세,"291,097","57,814","27,053","30,761","27,647","14,962","16,887","58,043","10,010","10,463","8,788","6,237","35,601","1,668","3,366","1,854","1,191","2,609","3,011","2,761","3,750","12,777","4,147","2,157","4,481",873
2020년02월_계_30~39세,"303,472","61,629","28,468","33,161","26,302","15,843","15,989","67,784","9,050","9,663","7,900","6,074","34,327","1,466","3,455","1,806","1,102","2,667","3,010","2,504","3,491","16,197","5,656","2,098","4,507",952
2020년02월_계_40~49세,"390,995","78,577","36,390","42,187","37,746","19,636","22,731","73,740","14,335","13,002","12,034","8,921","41,895","2,303","4,904","2,512","1,822","4,095","4,613","4,055","4,956","20,842","7,034","3,387","6,493","1,362"
2020년02월_계_50~59세,"464,427","91,531","42,504","49,027","47,046","24,072","26,957","69,117","18,354","18,408","17,406","12,284","44,645","4,515","9,099","4,844","3,060","6,385","7,636","6,103","8,809","19,290","8,172","5,952","8,780","1,962"
2020년02월_계_60~69세,"389,498","74,450","35,035","39,415","39,192","21,006","24,470","36,430","17,777","17,895","17,720","12,907","33,023","5,164","11,421","5,326","3,301","7,185","9,320","6,071","8,871","12,885","8,971","6,541","7,794","1,778"
2020년02월_계_70~79세,"238,482","35,758","16,635","19,123","24,002","13,366","16,660","15,599","11,830","12,259","12,720","9,238","18,853","4,047","9,025","4,074","2,757","6,022","6,488","4,072","5,699","7,554","6,925","4,790","5,732","1,012"
2020년02월_계_80~89세,"130,716","14,658","6,419","8,239","12,641","7,879","9,305","7,781","6,632","6,763","8,189","5,247","8,839","2,551","5,981","2,361","1,673","3,640","4,171","2,601","3,389","4,255","4,801","3,120","3,737",502
2020년02월_계_90~99세,"17,589","2,028",851,"1,177","1,612","1,080","1,380","1,125",955,731,"1,201",761,988,300,761,298,224,479,575,309,452,585,623,469,581,72
2020년02월_계_100세 이상,960,103,52,51,91,53,64,47,56,39,53,58,72,14,44,20,26,28,22,7,23,45,36,28,20,11
2020년02월_남_총인구수,"1,338,907","255,773","120,418","135,355","127,687","70,589","79,090","215,001","51,927","51,828","48,785","35,156","132,513","12,151","25,734","12,708","8,385","17,635","21,019","16,474","22,704","60,763","27,207","16,082","24,536","5,160"
2020년02월_남_연령구간인구수,"1,338,907","255,773","120,418","135,355","127,687","70,589","79,090","215,001","51,927","51,828","48,785","35,156","132,513","12,151","25,734","12,708","8,385","17,635","21,019","16,474","22,704","60,763","27,207","16,082","24,536","5,160"
2020년02월_남_0~9세,"102,185","21,509","9,616","11,893","8,578","5,604","5,855","22,267","3,378","2,984","2,801","2,153","10,954",403,"1,042",537,409,899,828,798,"1,013","5,283","2,361",787,"1,515",227
2020년02월_남_10~19세,"123,159","25,312","11,537","13,775","11,413","6,450","7,389","24,329","4,843","3,718","4,284","3,212","12,205",563,"1,279",701,520,"1,144","1,218","1,165","1,387","6,241","2,338","1,044","2,157",247
2020년02월_남_20~29세,"163,777","32,926","15,743","17,183","15,648","8,379","9,251","31,863","5,850","6,210","5,019","3,473","19,544",995,"1,957","1,093",689,"1,509","1,778","1,565","2,186","7,128","2,330","1,236","2,624",524
2020년02월_남_30~39세,"161,599","32,379","15,293","17,086","13,967","8,395","8,273","36,025","4,826","5,281","4,301","3,245","18,367",827,"1,915","1,066",595,"1,381","1,603","1,367","1,909","8,896","2,824","1,132","2,460",565
2020년02월_남_40~49세,"204,213","39,451","18,783","20,668","19,753","10,384","11,843","37,155","7,424","7,125","6,396","4,789","21,388","1,370","2,871","1,445","1,087","2,302","2,585","2,281","2,978","11,274","3,876","1,985","3,601",850
2020년02월_남_50~59세,"239,749","45,883","22,012","23,871","24,275","12,511","13,750","35,420","9,314","9,744","9,117","6,281","22,478","2,525","4,931","2,525","1,653","3,348","4,001","3,393","4,805","10,520","4,274","3,178","4,705","1,118"
2020년02월_남_60~69세,"192,745","36,643","17,371","19,272","19,196","10,300","11,853","18,568","8,527","8,958","8,617","6,213","16,114","2,687","5,682","2,671","1,634","3,404","4,666","3,186","4,609","6,667","4,387","3,411","3,809",943
2020년02월_남_70~79세,"104,923","16,555","7,852","8,703","10,548","5,726","7,353","6,786","5,237","5,398","5,389","3,983","8,223","1,843","3,907","1,764","1,199","2,397","2,931","1,776","2,608","3,212","3,066","2,110","2,446",466
2020년02월_남_80~89세,"42,709","4,724","2,057","2,667","3,963","2,600","3,198","2,374","2,307","2,229","2,615","1,635","3,009",874,"1,971",839,537,"1,147","1,284",866,"1,098","1,400","1,624","1,087","1,132",196
2020년02월_남_90~99세,"3,647",363,138,225,325,230,310,208,209,168,237,158,218,63,171,62,56,97,124,73,106,135,123,107,85,19
2020년02월_남_100세 이상,201,28,16,12,21,10,15,6,12,13,9,14,13,1,8,5,6,7,1,4,5,7,4,5,2,5
2020년02월_여_총인구수,"1,320,049","250,389","113,428","136,961","127,166","70,274","80,555","204,295","52,868","50,139","50,653","36,622","130,562","11,649","26,782","12,722","8,561","19,461","21,833","15,746","21,200","55,693","28,194","15,875","24,513","4,297"
2020년02월_여_연령구간인구수,"1,320,049","250,389","113,428","136,961","127,166","70,274","80,555","204,295","52,868","50,139","50,653","36,622","130,562","11,649","26,782","12,722","8,561","19,461","21,833","15,746","21,200","55,693","28,194","15,875","24,513","4,297"
2020년02월_여_0~9세,"96,029","20,059","8,982","11,077","8,197","5,247","5,261","20,859","3,140","2,881","2,616","1,981","10,547",341,955,499,375,897,772,771,995,"4,947","2,307",701,"1,474",207
2020년02월_여_10~19세,"110,347","22,734","10,304","12,430","10,386","5,665","6,697","22,175","4,435","3,161","3,726","2,705","11,126",465,"1,184",598,486,"1,046","1,188","1,003","1,069","5,555","2,030",883,"1,778",252
2020년02월_여_20~29세,"127,320","24,888","11,310","13,578","11,999","6,583","7,636","26,180","4,160","4,253","3,769","2,764","16,057",673,"1,409",761,502,"1,100","1,233","1,196","1,564","5,649","1,817",921,"1,857",349
2020년02월_여_30~39세,"141,873","29,250","13,175","16,075","12,335","7,448","7,716","31,759","4,224","4,382","3,599","2,829","15,960",639,"1,540",740,507,"1,286","1,407","1,137","1,582","7,301","2,832",966,"2,047",387
2020년02월_여_40~49세,"186,782","39,126","17,607","21,519","17,993","9,252","10,888","36,585","6,911","5,877","5,638","4,132","20,507",933,"2,033","1,067",735,"1,793","2,028","1,774","1,978","9,568","3,158","1,402","2,892",512
2020년02월_여_50~59세,"224,678","45,648","20,492","25,156","22,771","11,561","13,207","33,697","9,040","8,664","8,289","6,003","22,167","1,990","4,168","2,319","1,407","3,037","3,635","2,710","4,004","8,770","3,898","2,774","4,075",844
2020년02월_여_60~69세,"196,753","37,807","17,664","20,143","19,996","10,706","12,617","17,862","9,250","8,937","9,103","6,694","16,909","2,477","5,739","2,655","1,667","3,781","4,654","2,885","4,262","6,218","4,584","3,130","3,985",835
2020년02월_여_70~79세,"133,559","19,203","8,783","10,420","13,454","7,640","9,307","8,813","6,593","6,861","7,331","5,255","10,630","2,204","5,118","2,310","1,558","3,625","3,557","2,296","3,091","4,342","3,859","2,680","3,286",546
2020년02월_여_80~89세,"88,007","9,934","4,362","5,572","8,678","5,279","6,107","5,407","4,325","4,534","5,574","3,612","5,830","1,677","4,010","1,522","1,136","2,493","2,887","1,735","2,291","2,855","3,177","2,033","2,605",306
2020년02월_여_90~99세,"13,942","1,665",713,952,"1,287",850,"1,070",917,746,563,964,603,770,237,590,236,168,382,451,236,346,450,500,362,496,53
2020년02월_여_100세 이상,759,75,36,39,70,43,49,41,44,26,44,44,59,13,36,15,20,21,21,3,18,38,32,23,18,6
