카테고리,경상북도 경산시,경상북도 경산시 하양읍,경상북도 경산시 진량읍,경상북도 경산시 압량읍,경상북도 경산시 와촌면,경상북도 경산시 자인면,경상북도 경산시 용성면,경상북도 경산시 남산면,경상북도 경산시 압량면,경상북도 경산시 남천면,경상북도 경산시 중방동,경상북도 경산시 중앙동,경상북도 경산시 남부동,경상북도 경산시 서부1동,경상북도 경산시 서부2동,경상북도 경산시 북부동,경상북도 경산시 동부동
2020년01월_계_총인구수,"263,229","26,042","36,323","20,872","6,203","5,639","3,443","3,831",0,"3,108","10,150","6,733","20,398","37,457","30,197","15,690","37,143"
2020년01월_계_연령구간인구수,"263,229","26,042","36,323","20,872","6,203","5,639","3,443","3,831",0,"3,108","10,150","6,733","20,398","37,457","30,197","15,690","37,143"
2020년01월_계_0~9세,"21,599","1,832","2,586","2,470",197,154,80,116,0,110,605,246,"2,153","3,163","3,354","1,073","3,460"
2020년01월_계_10~19세,"23,398","2,903","3,797","1,155",325,271,126,170,0,130,626,448,"2,037","4,146","2,351",843,"4,070"
2020년01월_계_20~29세,"35,844","3,807","5,308","3,183",572,505,238,289,0,278,"1,635","1,051","2,172","4,612","3,916","3,345","4,933"
2020년01월_계_30~39세,"34,476","2,719","4,130","4,239",513,450,215,259,0,216,"1,256",699,"2,944","4,371","4,750","2,793","4,922"
2020년01월_계_40~49세,"41,872","4,209","6,598","2,920",699,655,292,421,0,322,"1,343",891,"3,503","6,635","4,590","2,267","6,527"
2020년01월_계_50~59세,"44,592","4,206","6,745","2,842","1,255","1,107",659,765,0,615,"1,992","1,343","3,050","6,289","5,127","2,394","6,203"
2020년01월_계_60~69세,"32,815","3,199","3,754","2,208","1,353","1,213",823,835,0,676,"1,634","1,074","2,404","4,551","3,431","1,700","3,960"
2020년01월_계_70~79세,"18,822","2,062","2,214","1,193",789,805,594,553,0,478,721,647,"1,465","2,508","1,882",853,"2,058"
2020년01월_계_80~89세,"8,774",990,"1,096",591,444,425,367,370,0,239,302,297,593,"1,069",717,374,900
2020년01월_계_90~99세,967,102,87,66,50,51,47,52,0,41,34,34,69,107,76,44,107
2020년01월_계_100세 이상,70,13,8,5,6,3,2,1,0,3,2,3,8,6,3,4,3
2020년01월_남_총인구수,"132,584","13,113","18,818","11,077","3,318","2,879","1,807","1,992",0,"1,584","4,909","3,338","10,035","18,019","14,560","8,531","18,604"
2020년01월_남_연령구간인구수,"132,584","13,113","18,818","11,077","3,318","2,879","1,807","1,992",0,"1,584","4,909","3,338","10,035","18,019","14,560","8,531","18,604"
2020년01월_남_0~9세,"11,017",972,"1,316","1,313",114,78,39,62,0,55,278,131,"1,084","1,547","1,676",565,"1,787"
2020년01월_남_10~19세,"12,238","1,537","1,965",621,167,136,65,95,0,78,331,235,"1,097","2,059","1,184",463,"2,205"
2020년01월_남_20~29세,"19,680","2,138","2,957","1,749",341,291,153,169,0,177,865,577,"1,198","2,396","2,068","1,855","2,746"
2020년01월_남_30~39세,"18,389","1,467","2,331","2,395",295,285,142,154,0,114,618,393,"1,482","2,144","2,338","1,709","2,522"
2020년01월_남_40~49세,"21,381","2,080","3,370","1,671",420,401,185,247,0,188,638,449,"1,761","3,227","2,208","1,308","3,228"
2020년01월_남_50~59세,"22,469","2,155","3,652","1,459",708,560,371,439,0,333,947,673,"1,454","3,020","2,380","1,261","3,057"
2020년01월_남_60~69세,"16,006","1,535","1,910","1,118",731,628,446,460,0,337,799,520,"1,109","2,145","1,564",814,"1,890"
2020년01월_남_70~79세,"8,201",855,929,536,379,357,274,247,0,222,333,251,611,"1,074",841,419,873
2020년01월_남_80~89세,"2,976",349,359,202,151,135,120,109,0,65,93,102,218,385,281,128,279
2020년01월_남_90~99세,214,22,29,13,9,8,12,10,0,13,7,7,19,22,19,8,16
2020년01월_남_100세 이상,13,3,0,0,3,0,0,0,0,2,0,0,2,0,1,1,1
2020년01월_여_총인구수,"130,645","12,929","17,505","9,795","2,885","2,760","1,636","1,839",0,"1,524","5,241","3,395","10,363","19,438","15,637","7,159","18,539"
2020년01월_여_연령구간인구수,"130,645","12,929","17,505","9,795","2,885","2,760","1,636","1,839",0,"1,524","5,241","3,395","10,363","19,438","15,637","7,159","18,539"
2020년01월_여_0~9세,"10,582",860,"1,270","1,157",83,76,41,54,0,55,327,115,"1,069","1,616","1,678",508,"1,673"
2020년01월_여_10~19세,"11,160","1,366","1,832",534,158,135,61,75,0,52,295,213,940,"2,087","1,167",380,"1,865"
2020년01월_여_20~29세,"16,164","1,669","2,351","1,434",231,214,85,120,0,101,770,474,974,"2,216","1,848","1,490","2,187"
2020년01월_여_30~39세,"16,087","1,252","1,799","1,844",218,165,73,105,0,102,638,306,"1,462","2,227","2,412","1,084","2,400"
2020년01월_여_40~49세,"20,491","2,129","3,228","1,249",279,254,107,174,0,134,705,442,"1,742","3,408","2,382",959,"3,299"
2020년01월_여_50~59세,"22,123","2,051","3,093","1,383",547,547,288,326,0,282,"1,045",670,"1,596","3,269","2,747","1,133","3,146"
2020년01월_여_60~69세,"16,809","1,664","1,844","1,090",622,585,377,375,0,339,835,554,"1,295","2,406","1,867",886,"2,070"
2020년01월_여_70~79세,"10,621","1,207","1,285",657,410,448,320,306,0,256,388,396,854,"1,434","1,041",434,"1,185"
2020년01월_여_80~89세,"5,798",641,737,389,293,290,247,261,0,174,209,195,375,684,436,246,621
2020년01월_여_90~99세,753,80,58,53,41,43,35,42,0,28,27,27,50,85,57,36,91
2020년01월_여_100세 이상,57,10,8,5,3,3,2,1,0,1,2,3,6,6,2,3,2
