,경상북도 경산시,경상북도 경산시 하양읍,경상북도 경산시 진량읍,경상북도 경산시 압량읍,경상북도 경산시 와촌면,경상북도 경산시 자인면,경상북도 경산시 용성면,경상북도 경산시 남산면,경상북도 경산시 남천면,경상북도 경산시 중방동,경상북도 경산시 중앙동,경상북도 경산시 남부동,경상북도 경산시 서부1동,경상북도 경산시 서부2동,경상북도 경산시 북부동,경상북도 경산시 동부동
2020년04월_계_총인구수,"263,375","25,914","36,368","20,967","6,126","5,588","3,405","3,804","3,076","10,190","6,708","20,449","37,323","30,097","16,052","37,308"
2020년04월_계_연령구간인구수,"263,375","25,914","36,368","20,967","6,126","5,588","3,405","3,804","3,076","10,190","6,708","20,449","37,323","30,097","16,052","37,308"
2020년04월_계_0~9세,"21,309","1,774","2,563","2,436",185,156,83,113,101,618,248,"2,123","3,081","3,355","1,067","3,406"
2020년04월_계_10~19세,"23,181","2,858","3,747","1,153",312,261,115,168,122,620,428,"2,031","4,135","2,308",849,"4,074"
2020년04월_계_20~29세,"35,920","3,817","5,351","3,204",550,481,220,282,264,"1,631","1,048","2,153","4,540","3,829","3,583","4,967"
2020년04월_계_30~39세,"34,066","2,647","4,065","4,243",511,429,213,246,206,"1,244",696,"2,925","4,253","4,697","2,840","4,851"
2020년04월_계_40~49세,"41,726","4,149","6,544","2,953",681,640,282,410,309,"1,354",868,"3,531","6,602","4,586","2,253","6,564"
2020년04월_계_50~59세,"44,682","4,242","6,815","2,845","1,222","1,108",644,756,611,"1,962","1,319","3,054","6,307","5,101","2,430","6,266"
2020년04월_계_60~69세,"33,464","3,235","3,820","2,234","1,372","1,220",832,837,691,"1,696","1,108","2,471","4,648","3,499","1,738","4,063"
2020년04월_계_70~79세,"18,966","2,052","2,238","1,223",788,804,593,557,484,732,639,"1,472","2,545","1,901",864,"2,074"
2020년04월_계_80~89세,"8,982","1,020","1,122",604,445,433,372,376,243,299,317,607,"1,085",741,384,934
2020년04월_계_90~99세,"1,011",108,95,67,54,54,49,58,42,32,34,74,121,77,40,106
2020년04월_계_100세 이상,68,12,8,5,6,2,2,1,3,2,3,8,6,3,4,3
2020년04월_남_총인구수,"132,633","13,039","18,889","11,132","3,268","2,849","1,787","1,975","1,567","4,930","3,333","10,050","17,929","14,485","8,733","18,667"
2020년04월_남_연령구간인구수,"132,633","13,039","18,889","11,132","3,268","2,849","1,787","1,975","1,567","4,930","3,333","10,050","17,929","14,485","8,733","18,667"
2020년04월_남_0~9세,"10,866",945,"1,313","1,288",106,79,44,58,51,284,134,"1,069","1,499","1,682",558,"1,756"
2020년04월_남_10~19세,"12,105","1,511","1,927",603,164,134,59,88,72,338,231,"1,107","2,047","1,162",462,"2,200"
2020년04월_남_20~29세,"19,722","2,130","3,007","1,782",326,281,142,168,169,853,578,"1,178","2,349","2,009","1,988","2,762"
2020년04월_남_30~39세,"18,223","1,442","2,307","2,385",296,268,141,144,110,628,397,"1,462","2,099","2,329","1,733","2,482"
2020년04월_남_40~49세,"21,310","2,032","3,357","1,708",410,389,180,241,185,646,431,"1,771","3,208","2,207","1,303","3,242"
2020년04월_남_50~59세,"22,492","2,190","3,665","1,461",689,561,361,436,332,927,663,"1,463","3,029","2,345","1,284","3,086"
2020년04월_남_60~69세,"16,323","1,553","1,970","1,134",734,627,455,459,339,818,538,"1,137","2,193","1,590",835,"1,941"
2020년04월_남_70~79세,"8,280",847,943,549,382,359,275,257,226,336,252,617,"1,086",843,429,879
2020년04월_남_80~89세,"3,080",365,370,208,149,142,121,112,68,94,101,225,392,298,134,301
2020년04월_남_90~99세,220,22,30,14,9,9,9,12,13,6,8,19,27,19,6,17
2020년04월_남_100세 이상,12,2,0,0,3,0,0,0,2,0,0,2,0,1,1,1
2020년04월_여_총인구수,"130,742","12,875","17,479","9,835","2,858","2,739","1,618","1,829","1,509","5,260","3,375","10,399","19,394","15,612","7,319","18,641"
2020년04월_여_연령구간인구수,"130,742","12,875","17,479","9,835","2,858","2,739","1,618","1,829","1,509","5,260","3,375","10,399","19,394","15,612","7,319","18,641"
2020년04월_여_0~9세,"10,443",829,"1,250","1,148",79,77,39,55,50,334,114,"1,054","1,582","1,673",509,"1,650"
2020년04월_여_10~19세,"11,076","1,347","1,820",550,148,127,56,80,50,282,197,924,"2,088","1,146",387,"1,874"
2020년04월_여_20~29세,"16,198","1,687","2,344","1,422",224,200,78,114,95,778,470,975,"2,191","1,820","1,595","2,205"
2020년04월_여_30~39세,"15,843","1,205","1,758","1,858",215,161,72,102,96,616,299,"1,463","2,154","2,368","1,107","2,369"
2020년04월_여_40~49세,"20,416","2,117","3,187","1,245",271,251,102,169,124,708,437,"1,760","3,394","2,379",950,"3,322"
2020년04월_여_50~59세,"22,190","2,052","3,150","1,384",533,547,283,320,279,"1,035",656,"1,591","3,278","2,756","1,146","3,180"
2020년04월_여_60~69세,"17,141","1,682","1,850","1,100",638,593,377,378,352,878,570,"1,334","2,455","1,909",903,"2,122"
2020년04월_여_70~79세,"10,686","1,205","1,295",674,406,445,318,300,258,396,387,855,"1,459","1,058",435,"1,195"
2020년04월_여_80~89세,"5,902",655,752,396,296,291,251,264,175,205,216,382,693,443,250,633
2020년04월_여_90~99세,791,86,65,53,45,45,40,46,29,26,26,55,94,58,34,89
2020년04월_여_100세 이상,56,10,8,5,3,2,2,1,1,2,3,6,6,2,3,2
