,경상북도 경주시,경상북도 경주시 감포읍,경상북도 경주시 안강읍,경상북도 경주시 건천읍,경상북도 경주시 외동읍,경상북도 경주시 양북면,경상북도 경주시 양남면,경상북도 경주시 내남면,경상북도 경주시 산내면,경상북도 경주시 서면,경상북도 경주시 현곡면,경상북도 경주시 강동면,경상북도 경주시 천북면,경상북도 경주시 중부동,경상북도 경주시 황오동,경상북도 경주시 성건동,경상북도 경주시 황남동,경상북도 경주시 선도동,경상북도 경주시 월성동,경상북도 경주시 용강동,경상북도 경주시 황성동,경상북도 경주시 동천동,경상북도 경주시 불국동,경상북도 경주시 보덕동
2020년11월_계_총인구수,"253,468","5,517","25,076","9,511","20,150","4,317","6,295","4,730","3,270","3,233","22,001","6,335","5,739","5,324","6,635","14,121","4,815","14,999","5,967","22,067","28,919","22,870","9,788","1,789"
2020년11월_계_연령구간인구수,"253,468","5,517","25,076","9,511","20,150","4,317","6,295","4,730","3,270","3,233","22,001","6,335","5,739","5,324","6,635","14,121","4,815","14,999","5,967","22,067","28,919","22,870","9,788","1,789"
2020년11월_계_0~9세,"16,295",153,"1,206",350,"1,158",240,291,99,55,61,"2,461",194,280,215,182,446,97,"1,209",358,"2,708","2,517","1,295",666,54
2020년11월_계_10~19세,"20,868",211,"2,073",503,"1,112",185,330,196,89,124,"2,456",336,339,315,336,843,200,"1,713",347,"2,441","3,747","2,278",599,95
2020년11월_계_20~29세,"26,953",374,"2,387",729,"1,982",439,589,284,135,194,"2,347",508,546,550,643,"2,078",352,"1,955",505,"2,483","3,783","3,053",860,177
2020년11월_계_30~39세,"25,530",345,"1,826",669,"2,315",480,501,259,137,153,"3,101",387,605,524,569,"1,303",307,"1,519",531,"3,021","3,253","2,416","1,171",138
2020년11월_계_40~49세,"36,763",624,"3,374","1,056","2,734",387,727,401,195,310,"3,851",747,698,651,764,"1,829",507,"2,593",759,"4,000","5,327","3,708","1,310",211
2020년11월_계_50~59세,"46,846","1,015","5,070","1,728","4,073",654,"1,316",896,590,570,"3,569","1,288","1,058",900,"1,181","2,426",863,"2,776","1,045","3,787","5,451","4,497","1,764",329
2020년11월_계_60~69세,"40,906","1,262","4,406","2,049","3,597",826,"1,320","1,137",976,755,"2,375","1,318","1,068","1,047","1,458","2,688","1,070","1,761","1,152","2,201","2,964","3,377","1,716",383
2020년11월_계_70~79세,"24,522",945,"2,926","1,468","1,920",617,743,819,659,663,"1,144",911,725,750,997,"1,776",838,929,785,889,"1,183","1,528","1,046",261
