카테고리,경상북도 고령군,경상북도 고령군 대가야읍,경상북도 고령군 덕곡면,경상북도 고령군 운수면,경상북도 고령군 성산면,경상북도 고령군 다산면,경상북도 고령군 개진면,경상북도 고령군 우곡면,경상북도 고령군 쌍림면
2020년09월_계_총인구수,"31,394","10,081","1,435","1,881","2,599","8,452","1,955","1,574","3,417"
2020년09월_계_연령구간인구수,"31,394","10,081","1,435","1,881","2,599","8,452","1,955","1,574","3,417"
2020년09월_계_0~9세,"1,437",597,35,48,67,501,42,27,120
2020년09월_계_10~19세,"2,076",915,50,50,82,789,39,46,105
2020년09월_계_20~29세,"2,503",961,93,120,206,737,131,70,185
2020년09월_계_30~39세,"2,309",822,65,107,172,781,113,68,181
2020년09월_계_40~49세,"3,910","1,567",105,149,254,"1,246",154,140,295
2020년09월_계_50~59세,"5,929","1,841",261,346,563,"1,613",411,280,614
2020년09월_계_60~69세,"6,168","1,649",348,450,599,"1,477",466,360,819
2020년09월_계_70~79세,"4,096","1,076",238,349,374,829,345,313,572
2020년09월_계_80~89세,"2,644",584,216,232,250,438,221,250,453
2020년09월_계_90~99세,313,68,22,29,31,41,33,19,70
2020년09월_계_100세 이상,9,1,2,1,1,0,0,1,3
2020년09월_남_총인구수,"16,050","5,070",708,939,"1,414","4,369","1,043",807,"1,700"
2020년09월_남_연령구간인구수,"16,050","5,070",708,939,"1,414","4,369","1,043",807,"1,700"
2020년09월_남_0~9세,732,313,18,24,30,250,23,12,62
2020년09월_남_10~19세,"1,103",490,26,29,42,418,24,19,55
2020년09월_남_20~29세,"1,448",553,51,64,117,429,82,48,104
2020년09월_남_30~39세,"1,265",426,43,63,108,412,69,45,99
2020년09월_남_40~49세,"2,198",810,59,95,167,679,106,94,188
2020년09월_남_50~59세,"3,327","1,023",137,189,333,884,253,165,343
2020년09월_남_60~69세,"3,224",802,196,237,339,765,257,185,443
2020년09월_남_70~79세,"1,804",447,94,154,180,369,161,151,248
2020년09월_남_80~89세,871,194,76,76,90,153,59,83,140
2020년09월_남_90~99세,74,12,7,7,8,10,9,4,17
2020년09월_남_100세 이상,4,0,1,1,0,0,0,1,1
2020년09월_여_총인구수,"15,344","5,011",727,942,"1,185","4,083",912,767,"1,717"
2020년09월_여_연령구간인구수,"15,344","5,011",727,942,"1,185","4,083",912,767,"1,717"
2020년09월_여_0~9세,705,284,17,24,37,251,19,15,58
2020년09월_여_10~19세,973,425,24,21,40,371,15,27,50
2020년09월_여_20~29세,"1,055",408,42,56,89,308,49,22,81
2020년09월_여_30~39세,"1,044",396,22,44,64,369,44,23,82
2020년09월_여_40~49세,"1,712",757,46,54,87,567,48,46,107
2020년09월_여_50~59세,"2,602",818,124,157,230,729,158,115,271
2020년09월_여_60~69세,"2,944",847,152,213,260,712,209,175,376
2020년09월_여_70~79세,"2,292",629,144,195,194,460,184,162,324
2020년09월_여_80~89세,"1,773",390,140,156,160,285,162,167,313
2020년09월_여_90~99세,239,56,15,22,23,31,24,15,53
2020년09월_여_100세 이상,5,1,1,0,1,0,0,0,2
