,경상북도 고령군,경상북도 고령군 대가야읍,경상북도 고령군 덕곡면,경상북도 고령군 운수면,경상북도 고령군 성산면,경상북도 고령군 다산면,경상북도 고령군 개진면,경상북도 고령군 우곡면,경상북도 고령군 쌍림면
2021년11월_계_총인구수,"30,673","9,878","1,422","1,814","2,516","8,333","1,905","1,545","3,260"
2021년11월_계_연령구간인구수,"30,673","9,878","1,422","1,814","2,516","8,333","1,905","1,545","3,260"
2021년11월_계_0~9세,"1,330",579,33,40,64,455,42,26,91
2021년11월_계_10~19세,"1,906",858,39,47,65,726,33,41,97
2021년11월_계_20~29세,"2,304",891,81,100,176,735,99,71,151
2021년11월_계_30~39세,"2,065",751,62,104,159,675,102,69,143
2021년11월_계_40~49세,"3,572","1,422",90,134,227,"1,186",133,118,262
2021년11월_계_50~59세,"5,726","1,852",238,321,512,"1,579",391,278,555
2021년11월_계_60~69세,"6,576","1,746",391,459,646,"1,601",514,348,871
2021년11월_계_70~79세,"4,124","1,094",236,329,381,861,331,326,566
2021년11월_계_80~89세,"2,723",619,228,246,245,465,219,248,453
2021년11월_계_90~99세,341,64,22,34,41,50,40,20,70
2021년11월_계_100세 이상,6,2,2,0,0,0,1,0,1
2021년11월_남_총인구수,"15,762","4,982",712,918,"1,372","4,331","1,029",799,"1,619"
2021년11월_남_연령구간인구수,"15,762","4,982",712,918,"1,372","4,331","1,029",799,"1,619"
2021년11월_남_0~9세,693,309,18,21,28,234,26,13,44
2021년11월_남_10~19세,"1,019",470,20,27,32,380,20,17,53
2021년11월_남_20~29세,"1,342",526,47,56,107,414,57,48,87
2021년11월_남_30~39세,"1,122",376,33,61,96,365,66,47,78
2021년11월_남_40~49세,"2,011",742,53,86,151,647,88,79,165
2021년11월_남_50~59세,"3,255","1,018",133,185,308,881,245,170,315
2021년11월_남_60~69세,"3,486",865,222,239,367,836,295,186,476
2021년11월_남_70~79세,"1,851",464,102,154,185,392,156,151,247
2021년11월_남_80~89세,902,199,75,77,88,170,66,85,142
2021년11월_남_90~99세,79,13,8,12,10,12,9,3,12
2021년11월_남_100세 이상,2,0,1,0,0,0,1,0,0
2021년11월_여_총인구수,"14,911","4,896",710,896,"1,144","4,002",876,746,"1,641"
2021년11월_여_연령구간인구수,"14,911","4,896",710,896,"1,144","4,002",876,746,"1,641"
2021년11월_여_0~9세,637,270,15,19,36,221,16,13,47
2021년11월_여_10~19세,887,388,19,20,33,346,13,24,44
2021년11월_여_20~29세,962,365,34,44,69,321,42,23,64
2021년11월_여_30~39세,943,375,29,43,63,310,36,22,65
2021년11월_여_40~49세,"1,561",680,37,48,76,539,45,39,97
2021년11월_여_50~59세,"2,471",834,105,136,204,698,146,108,240
2021년11월_여_60~69세,"3,090",881,169,220,279,765,219,162,395
2021년11월_여_70~79세,"2,273",630,134,175,196,469,175,175,319
2021년11월_여_80~89세,"1,821",420,153,169,157,295,153,163,311
2021년11월_여_90~99세,262,51,14,22,31,38,31,17,58
2021년11월_여_100세 이상,4,2,1,0,0,0,0,0,1
