카테고리,경상북도 구미시,경상북도 구미시 선산읍,경상북도 구미시 고아읍,경상북도 구미시 무을면,경상북도 구미시 옥성면,경상북도 구미시 도개면,경상북도 구미시 해평면,경상북도 구미시 산동면,경상북도 구미시 장천면,경상북도 구미시 송정동,경상북도 구미시 원평1동,경상북도 구미시 원평2동,경상북도 구미시 도량동,경상북도 구미시 지산동,경상북도 구미시 선주원남동,경상북도 구미시 형곡1동,경상북도 구미시 형곡2동,경상북도 구미시 신평1동,경상북도 구미시 신평2동,경상북도 구미시 비산동,경상북도 구미시 공단1동,경상북도 구미시 공단2동,경상북도 구미시 광평동,경상북도 구미시 상모사곡동,경상북도 구미시 임오동,경상북도 구미시 인동동,경상북도 구미시 진미동,경상북도 구미시 양포동
2020년09월_계_총인구수,"416,626","15,074","36,570","1,884","1,740","2,202","4,140","26,525","3,171","24,558","3,842","3,286","30,204","2,283","39,692","14,850","17,340","3,326","3,258","6,330","6,928","4,484","4,474","29,763","19,358","48,803","16,074","46,467"
2020년09월_계_연령구간인구수,"416,626","15,074","36,570","1,884","1,740","2,202","4,140","26,525","3,171","24,558","3,842","3,286","30,204","2,283","39,692","14,850","17,340","3,326","3,258","6,330","6,928","4,484","4,474","29,763","19,358","48,803","16,074","46,467"
2020년09월_계_0~9세,"41,933",904,"3,321",40,17,36,67,"5,633",76,"1,839",67,88,"2,468",84,"3,988","1,098",919,137,289,713,990,645,358,"2,706","2,299","5,079",958,"7,114"
2020년09월_계_10~19세,"45,298","1,178","3,891",60,62,121,159,"2,157",208,"2,551",112,151,"3,573",134,"5,111","1,708","2,035",191,232,471,647,208,350,"3,742","2,597","6,034","1,125","6,490"
2020년09월_계_20~29세,"56,660","1,507","4,696",111,99,146,297,"2,672",255,"3,464",518,340,"4,059",238,"5,258","2,045","2,799",602,425,980,928,694,661,"4,449","2,490","7,076","4,155","5,696"
2020년09월_계_30~39세,"66,207","1,339","4,445",90,80,102,221,"8,122",181,"3,404",539,272,"3,637",164,"5,225","1,709","1,717",496,550,"1,356","1,487","1,135",737,"4,065","3,093","8,896","4,130","9,015"
2020년09월_계_40~49세,"73,389","1,996","5,788",139,145,193,451,"4,198",379,"3,991",710,362,"5,116",299,"7,577","2,510","2,841",460,456,983,"1,157",697,781,"6,003","3,952","9,512","2,702","9,991"
2020년09월_계_50~59세,"69,582","3,008","7,707",361,331,390,818,"2,045",644,"4,534",853,691,"6,060",493,"7,120","3,039","3,947",648,633,"1,139","1,077",656,797,"5,686","3,160","6,895","1,717","5,133"
2020년09월_계_60~69세,"38,459","2,615","4,000",473,422,505,897,973,624,"3,222",639,753,"3,526",509,"3,616","1,787","2,164",461,393,450,476,347,477,"1,989","1,170","3,320",836,"1,815"
2020년09월_계_70~79세,"15,977","1,439","1,628",309,294,395,680,407,462,"1,137",287,441,"1,171",236,"1,223",658,655,245,177,166,117,78,231,737,391,"1,330",300,783
2020년09월_계_80~89세,"7,930",938,935,256,250,272,479,277,308,374,93,168,529,111,504,268,232,75,90,63,44,17,70,325,180,576,125,371
2020년09월_계_90~99세,"1,137",145,151,44,38,40,67,39,32,38,20,19,64,14,69,28,28,11,10,9,5,6,12,59,25,83,24,57
2020년09월_계_100세 이상,54,5,8,1,2,2,4,2,2,4,4,1,1,1,1,0,3,0,3,0,0,1,0,2,1,2,2,2
2020년09월_남_총인구수,"213,856","7,462","18,574",932,890,"1,128","2,148","13,853","1,627","12,143","2,125","1,690","14,826","1,182","20,196","7,336","8,740","1,845","1,775","3,430","3,555","2,469","2,393","15,531","10,103","25,167","8,593","24,143"
2020년09월_남_연령구간인구수,"213,856","7,462","18,574",932,890,"1,128","2,148","13,853","1,627","12,143","2,125","1,690","14,826","1,182","20,196","7,336","8,740","1,845","1,775","3,430","3,555","2,469","2,393","15,531","10,103","25,167","8,593","24,143"
2020년09월_남_0~9세,"21,669",454,"1,725",18,10,17,34,"2,866",49,903,31,49,"1,297",39,"2,045",579,503,67,160,379,502,348,188,"1,378","1,175","2,727",488,"3,638"
2020년09월_남_10~19세,"23,632",595,"2,102",30,27,75,81,"1,123",117,"1,301",52,85,"1,775",68,"2,692",906,"1,107",93,128,235,319,102,173,"1,950","1,404","3,151",575,"3,366"
2020년09월_남_20~29세,"31,317",893,"2,721",68,66,90,175,"1,260",136,"1,903",290,204,"2,289",143,"2,925","1,147","1,606",370,240,540,492,394,380,"2,563","1,412","3,783","2,049","3,178"
2020년09월_남_30~39세,"35,266",708,"2,271",54,54,71,144,"4,360",103,"1,825",295,178,"1,838",101,"2,589",863,908,329,333,806,822,663,439,"2,167","1,596","4,699","2,457","4,593"
2020년09월_남_40~49세,"37,106","1,021","2,740",87,95,116,293,"2,337",220,"1,883",422,208,"2,358",163,"3,725","1,127","1,265",271,257,525,593,413,431,"2,946","1,956","4,897","1,511","5,246"
2020년09월_남_50~59세,"35,487","1,496","3,859",201,182,240,487,"1,115",353,"2,132",501,359,"2,825",261,"3,579","1,437","1,875",355,336,591,525,343,397,"3,054","1,715","3,538",940,"2,791"
2020년09월_남_60~69세,"19,689","1,351","2,148",248,230,247,474,515,327,"1,532",358,369,"1,760",260,"1,905",885,"1,112",226,214,245,238,167,238,"1,050",629,"1,667",398,896
2020년09월_남_70~79세,"7,003",641,691,137,140,174,274,185,213,536,141,184,499,109,563,307,288,103,71,89,55,34,116,316,158,534,133,312
2020년09월_남_80~89세,"2,469",279,290,78,77,87,171,78,103,125,33,50,172,38,164,83,72,30,32,19,8,5,27,94,54,153,37,110
2020년09월_남_90~99세,211,23,26,11,9,10,14,14,6,2,2,4,13,0,9,2,4,1,4,1,1,0,4,12,4,18,5,12
2020년09월_남_100세 이상,7,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2020년09월_여_총인구수,"202,770","7,612","17,996",952,850,"1,074","1,992","12,672","1,544","12,415","1,717","1,596","15,378","1,101","19,496","7,514","8,600","1,481","1,483","2,900","3,373","2,015","2,081","14,232","9,255","23,636","7,481","22,324"
2020년09월_여_연령구간인구수,"202,770","7,612","17,996",952,850,"1,074","1,992","12,672","1,544","12,415","1,717","1,596","15,378","1,101","19,496","7,514","8,600","1,481","1,483","2,900","3,373","2,015","2,081","14,232","9,255","23,636","7,481","22,324"
2020년09월_여_0~9세,"20,264",450,"1,596",22,7,19,33,"2,767",27,936,36,39,"1,171",45,"1,943",519,416,70,129,334,488,297,170,"1,328","1,124","2,352",470,"3,476"
2020년09월_여_10~19세,"21,666",583,"1,789",30,35,46,78,"1,034",91,"1,250",60,66,"1,798",66,"2,419",802,928,98,104,236,328,106,177,"1,792","1,193","2,883",550,"3,124"
2020년09월_여_20~29세,"25,343",614,"1,975",43,33,56,122,"1,412",119,"1,561",228,136,"1,770",95,"2,333",898,"1,193",232,185,440,436,300,281,"1,886","1,078","3,293","2,106","2,518"
