카테고리,경상북도 군위군,경상북도 군위군 군위읍,경상북도 군위군 소보면,경상북도 군위군 효령면,경상북도 군위군 부계면,경상북도 군위군 우보면,경상북도 군위군 의흥면,경상북도 군위군 산성면,경상북도 군위군 고로면
2020년12월_계_총인구수,"23,256","8,193","2,317","3,768","2,042","2,007","2,385","1,189","1,355"
2020년12월_계_연령구간인구수,"23,256","8,193","2,317","3,768","2,042","2,007","2,385","1,189","1,355"
2020년12월_계_0~9세,681,425,42,87,39,19,36,15,18
2020년12월_계_10~19세,961,583,50,129,48,40,66,23,22
2020년12월_계_20~29세,"1,522",712,110,264,141,111,93,34,57
2020년12월_계_30~39세,"1,309",634,106,181,97,81,105,47,58
2020년12월_계_40~49세,"2,159","1,104",143,300,146,138,169,75,84
2020년12월_계_50~59세,"4,312","1,505",457,705,411,360,410,208,256
2020년12월_계_60~69세,"5,336","1,474",556,976,516,503,600,316,395
2020년12월_계_70~79세,"4,018","1,057",448,676,358,416,516,260,287
2020년12월_계_80~89세,"2,612",617,360,403,247,302,347,185,151
2020년12월_계_90~99세,331,76,42,46,39,34,41,26,27
2020년12월_계_100세 이상,15,6,3,1,0,3,2,0,0
2020년12월_남_총인구수,"11,892","4,249","1,182","1,935","1,047","1,011","1,152",603,713
2020년12월_남_연령구간인구수,"11,892","4,249","1,182","1,935","1,047","1,011","1,152",603,713
2020년12월_남_0~9세,370,234,20,50,25,7,13,9,12
2020년12월_남_10~19세,523,325,29,59,33,18,34,11,14
2020년12월_남_20~29세,927,429,64,160,91,67,54,26,36
2020년12월_남_30~39세,749,350,56,97,62,53,61,32,38
2020년12월_남_40~49세,"1,273",591,91,192,87,99,111,49,53
2020년12월_남_50~59세,"2,432",830,264,398,234,202,229,131,144
2020년12월_남_60~69세,"2,811",766,302,530,261,265,288,168,231
2020년12월_남_70~79세,"1,854",494,211,313,162,192,233,113,136
2020년12월_남_80~89세,886,210,135,129,83,100,122,59,48
2020년12월_남_90~99세,66,19,10,7,9,8,7,5,1
2020년12월_남_100세 이상,1,1,0,0,0,0,0,0,0
2020년12월_여_총인구수,"11,364","3,944","1,135","1,833",995,996,"1,233",586,642
2020년12월_여_연령구간인구수,"11,364","3,944","1,135","1,833",995,996,"1,233",586,642
2020년12월_여_0~9세,311,191,22,37,14,12,23,6,6
2020년12월_여_10~19세,438,258,21,70,15,22,32,12,8
2020년12월_여_20~29세,595,283,46,104,50,44,39,8,21
2020년12월_여_30~39세,560,284,50,84,35,28,44,15,20
2020년12월_여_40~49세,886,513,52,108,59,39,58,26,31
2020년12월_여_50~59세,"1,880",675,193,307,177,158,181,77,112
2020년12월_여_60~69세,"2,525",708,254,446,255,238,312,148,164
2020년12월_여_70~79세,"2,164",563,237,363,196,224,283,147,151
2020년12월_여_80~89세,"1,726",407,225,274,164,202,225,126,103
2020년12월_여_90~99세,265,57,32,39,30,26,34,21,26
2020년12월_여_100세 이상,14,5,3,1,0,3,2,0,0
