카테고리,경상북도 군위군,경상북도 군위군 군위읍,경상북도 군위군 소보면,경상북도 군위군 효령면,경상북도 군위군 부계면,경상북도 군위군 우보면,경상북도 군위군 의흥면,경상북도 군위군 산성면,경상북도 군위군 삼국유사면
2021년10월_계_총인구수,"22,894","8,118","2,251","3,740","2,006","1,954","2,353","1,169","1,303"
2021년10월_계_연령구간인구수,"22,894","8,118","2,251","3,740","2,006","1,954","2,353","1,169","1,303"
2021년10월_계_0~9세,616,386,34,86,34,15,33,15,13
2021년10월_계_10~19세,915,569,40,123,41,34,67,23,18
2021년10월_계_20~29세,"1,393",692,91,233,118,95,88,35,41
2021년10월_계_30~39세,"1,218",598,99,176,91,71,94,43,46
2021년10월_계_40~49세,"2,018","1,052",128,283,130,120,161,64,80
2021년10월_계_50~59세,"4,132","1,491",430,686,382,341,377,190,235
2021년10월_계_60~69세,"5,563","1,557",572,"1,016",547,527,619,324,401
2021년10월_계_70~79세,"4,001","1,045",451,678,362,410,511,255,289
2021년10월_계_80~89세,"2,679",643,356,402,262,310,358,196,152
2021년10월_계_90~99세,344,79,47,57,39,29,41,24,28
2021년10월_계_100세 이상,15,6,3,0,0,2,4,0,0
2021년10월_남_총인구수,"11,723","4,195","1,165","1,929","1,037",977,"1,146",589,685
2021년10월_남_연령구간인구수,"11,723","4,195","1,165","1,929","1,037",977,"1,146",589,685
2021년10월_남_0~9세,329,213,16,46,21,4,12,9,8
2021년10월_남_10~19세,500,322,22,61,29,12,32,12,10
2021년10월_남_20~29세,839,407,55,139,77,60,48,24,29
2021년10월_남_30~39세,710,328,58,98,62,46,56,30,32
2021년10월_남_40~49세,"1,187",566,81,176,84,89,103,40,48
2021년10월_남_50~59세,"2,353",827,254,395,204,188,220,127,138
2021년10월_남_60~69세,"2,956",802,313,561,297,278,305,169,231
2021년10월_남_70~79세,"1,863",485,218,315,161,194,238,113,139
2021년10월_남_80~89세,912,225,133,128,94,101,122,59,50
2021년10월_남_90~99세,73,19,15,10,8,5,10,6,0
2021년10월_남_100세 이상,1,1,0,0,0,0,0,0,0
2021년10월_여_총인구수,"11,171","3,923","1,086","1,811",969,977,"1,207",580,618
2021년10월_여_연령구간인구수,"11,171","3,923","1,086","1,811",969,977,"1,207",580,618
2021년10월_여_0~9세,287,173,18,40,13,11,21,6,5
2021년10월_여_10~19세,415,247,18,62,12,22,35,11,8
2021년10월_여_20~29세,554,285,36,94,41,35,40,11,12
2021년10월_여_30~39세,508,270,41,78,29,25,38,13,14
2021년10월_여_40~49세,831,486,47,107,46,31,58,24,32
2021년10월_여_50~59세,"1,779",664,176,291,178,153,157,63,97
2021년10월_여_60~69세,"2,607",755,259,455,250,249,314,155,170
2021년10월_여_70~79세,"2,138",560,233,363,201,216,273,142,150
2021년10월_여_80~89세,"1,767",418,223,274,168,209,236,137,102
2021년10월_여_90~99세,271,60,32,47,31,24,31,18,28
2021년10월_여_100세 이상,14,5,3,0,0,2,4,0,0
