카테고리,경상북도 김천시,경상북도 김천시 아포읍,경상북도 김천시 농소면,경상북도 김천시 남면,경상북도 김천시 개령면,경상북도 김천시 감문면,경상북도 김천시 어모면,경상북도 김천시 봉산면,경상북도 김천시 대항면,경상북도 김천시 감천면,경상북도 김천시 조마면,경상북도 김천시 구성면,경상북도 김천시 지례면,경상북도 김천시 부항면,경상북도 김천시 대덕면,경상북도 김천시 증산면,경상북도 김천시 자산동,경상북도 김천시 평화남산동,경상북도 김천시 양금동,경상북도 김천시 대신동,경상북도 김천시 대곡동,경상북도 김천시 지좌동,경상북도 김천시 율곡동
2021년01월_계_총인구수,"140,511","7,097","3,041","3,140","2,460","3,299","4,065","3,180","3,451","1,944","2,225","2,846","1,580","1,258","2,285","1,026","6,756","7,654","3,968","25,284","20,389","11,054","22,509"
2021년01월_계_연령구간인구수,"140,511","7,097","3,041","3,140","2,460","3,299","4,065","3,180","3,451","1,944","2,225","2,846","1,580","1,258","2,285","1,026","6,756","7,654","3,968","25,284","20,389","11,054","22,509"
2021년01월_계_0~9세,"10,379",376,119,74,56,70,155,96,79,56,56,59,43,29,45,9,216,216,136,"2,085","1,399",882,"4,123"
2021년01월_계_10~19세,"12,204",417,132,142,102,98,182,140,188,79,93,86,56,36,296,32,377,431,235,"3,153","2,227","1,107","2,595"
2021년01월_계_20~29세,"14,608",546,249,242,177,172,307,249,296,144,140,172,79,66,115,44,629,816,322,"3,660","2,415","1,429","2,339"
2021년01월_계_30~39세,"15,107",566,224,199,149,178,214,187,206,120,120,142,69,49,104,26,554,718,261,"2,871","2,048","1,292","4,810"
2021년01월_계_40~49세,"19,331",827,309,312,197,243,424,287,316,180,191,190,109,111,159,84,826,849,406,"4,120","2,967","1,842","4,382"
2021년01월_계_50~59세,"23,878","1,448",556,595,483,583,748,623,730,382,429,542,274,207,371,219,"1,113","1,337",676,"4,323","3,719","1,932","2,588"
2021년01월_계_60~69세,"22,177","1,430",647,699,604,830,906,777,802,421,533,674,377,324,488,284,"1,522","1,599",863,"2,776","3,056","1,472","1,093"
2021년01월_계_70~79세,"13,409",855,443,477,404,569,649,504,461,288,344,511,303,225,374,154,"1,008","1,057",658,"1,399","1,606",732,388
2021년01월_계_80~89세,"8,159",535,319,337,245,478,403,280,312,239,278,396,234,183,293,155,454,552,368,799,828,310,161
2021년01월_계_90~99세,"1,205",95,43,59,42,77,73,35,57,34,39,72,33,26,37,18,57,75,40,90,121,53,29
2021년01월_계_100세 이상,54,2,0,4,1,1,4,2,4,1,2,2,3,2,3,1,0,4,3,8,3,3,1
2021년01월_남_총인구수,"70,504","3,581","1,586","1,616","1,249","1,649","2,078","1,637","1,764","1,006","1,105","1,406",795,623,"1,135",497,"3,442","3,733","1,918","12,563","10,130","5,629","11,362"
