,경상북도 문경시,경상북도 문경시 문경읍,경상북도 문경시 문경읍갈평출장소,경상북도 문경시 가은읍,경상북도 문경시 가은읍북부출장소,경상북도 문경시 영순면,경상북도 문경시 산양면,경상북도 문경시 호계면,경상북도 문경시 산북면,경상북도 문경시 동로면,경상북도 문경시 마성면,경상북도 문경시 농암면,경상북도 문경시 점촌1동,경상북도 문경시 점촌2동,경상북도 문경시 점촌3동,경상북도 문경시 점촌4동,경상북도 문경시 점촌5동
2021년10월_계_총인구수,"71,223","5,810","1,112","3,212",870,"2,445","3,071","2,415","2,756","1,965","3,567","2,645","5,787","7,100","9,016","3,139","16,313"
2021년10월_계_연령구간인구수,"71,223","5,810","1,112","3,212",870,"2,445","3,071","2,415","2,756","1,965","3,567","2,645","5,787","7,100","9,016","3,139","16,313"
2021년10월_계_0~9세,"3,858",201,33,108,12,54,94,43,53,82,84,72,344,430,624,118,"1,506"
2021년10월_계_10~19세,"5,449",355,59,148,42,262,130,141,95,82,122,88,381,579,844,147,"1,974"
2021년10월_계_20~29세,"6,137",356,66,169,33,140,174,344,145,88,212,121,523,596,854,208,"2,108"
2021년10월_계_30~39세,"5,507",350,49,156,50,84,165,103,121,88,203,133,537,642,776,240,"1,810"
2021년10월_계_40~49세,"8,567",603,90,250,70,177,257,170,212,173,278,181,712,865,"1,314",320,"2,895"
2021년10월_계_50~59세,"11,862",989,229,510,190,329,470,378,464,342,629,501,976,"1,106","1,512",517,"2,720"
2021년10월_계_60~69세,"14,016","1,336",278,766,229,590,744,554,680,536,790,677,"1,163","1,425","1,611",700,"1,937"
2021년10월_계_70~79세,"9,172",950,172,560,138,389,535,357,508,315,686,462,751,953,945,520,931
2021년10월_계_80~89세,"5,762",575,120,465,92,354,420,285,414,224,493,336,363,449,472,332,368
2021년10월_계_90~99세,852,83,16,77,13,66,81,40,59,35,65,69,36,53,61,36,62
2021년10월_계_100세 이상,41,12,0,3,1,0,1,0,5,0,5,5,1,2,3,1,2
2021년10월_남_총인구수,"34,983","2,814",573,"1,570",455,"1,285","1,553","1,157","1,370","1,002","1,698","1,218","2,828","3,432","4,483","1,583","7,962"
2021년10월_남_연령구간인구수,"34,983","2,814",573,"1,570",455,"1,285","1,553","1,157","1,370","1,002","1,698","1,218","2,828","3,432","4,483","1,583","7,962"
2021년10월_남_0~9세,"1,974",97,17,55,3,22,49,22,30,40,36,38,197,217,334,48,769
2021년10월_남_10~19세,"2,957",186,33,90,25,171,67,77,52,44,71,48,214,301,485,85,"1,008"
2021년10월_남_20~29세,"3,461",212,43,104,18,83,115,135,95,54,126,67,302,347,514,122,"1,124"
2021년10월_남_30~39세,"2,908",202,28,86,20,52,91,61,71,48,115,72,290,338,390,135,909
2021년10월_남_40~49세,"4,585",333,54,140,37,113,173,97,133,106,180,108,395,460,689,198,"1,369"
2021년10월_남_50~59세,"6,170",511,132,275,113,193,269,214,267,177,355,253,455,562,749,302,"1,343"
2021년10월_남_60~69세,"6,857",656,148,406,145,313,368,291,365,309,396,330,512,631,740,353,894
2021년10월_남_70~79세,"4,014",389,77,244,61,194,254,158,227,139,276,195,316,421,402,238,423
2021년10월_남_80~89세,"1,881",208,39,152,33,129,153,95,115,77,131,93,139,147,161,98,111
2021년10월_남_90~99세,167,16,2,18,0,15,14,7,13,8,11,13,8,8,19,4,11
2021년10월_남_100세 이상,9,4,0,0,0,0,0,0,2,0,1,1,0,0,0,0,1
2021년10월_여_총인구수,"36,240","2,996",539,"1,642",415,"1,160","1,518","1,258","1,386",963,"1,869","1,427","2,959","3,668","4,533","1,556","8,351"
2021년10월_여_연령구간인구수,"36,240","2,996",539,"1,642",415,"1,160","1,518","1,258","1,386",963,"1,869","1,427","2,959","3,668","4,533","1,556","8,351"
2021년10월_여_0~9세,"1,884",104,16,53,9,32,45,21,23,42,48,34,147,213,290,70,737
2021년10월_여_10~19세,"2,492",169,26,58,17,91,63,64,43,38,51,40,167,278,359,62,966
2021년10월_여_20~29세,"2,676",144,23,65,15,57,59,209,50,34,86,54,221,249,340,86,984
2021년10월_여_30~39세,"2,599",148,21,70,30,32,74,42,50,40,88,61,247,304,386,105,901
2021년10월_여_40~49세,"3,982",270,36,110,33,64,84,73,79,67,98,73,317,405,625,122,"1,526"
2021년10월_여_50~59세,"5,692",478,97,235,77,136,201,164,197,165,274,248,521,544,763,215,"1,377"
2021년10월_여_60~69세,"7,159",680,130,360,84,277,376,263,315,227,394,347,651,794,871,347,"1,043"
2021년10월_여_70~79세,"5,158",561,95,316,77,195,281,199,281,176,410,267,435,532,543,282,508
2021년10월_여_80~89세,"3,881",367,81,313,59,225,267,190,299,147,362,243,224,302,311,234,257
2021년10월_여_90~99세,685,67,14,59,13,51,67,33,46,27,54,56,28,45,42,32,51
2021년10월_여_100세 이상,32,8,0,3,1,0,1,0,3,0,4,4,1,2,3,1,1
