카테고리,경상북도 봉화군,경상북도 봉화군 봉화읍,경상북도 봉화군 물야면,경상북도 봉화군 봉성면,경상북도 봉화군 법전면,경상북도 봉화군 춘양면,경상북도 봉화군 소천면,경상북도 봉화군 재산면,경상북도 봉화군 명호면,경상북도 봉화군 상운면,경상북도 봉화군 석포면
2021년02월_계_총인구수,"31,317","9,935","3,119","2,108","2,020","4,410","2,207","1,510","2,248","1,739","2,021"
2021년02월_계_연령구간인구수,"31,317","9,935","3,119","2,108","2,020","4,410","2,207","1,510","2,248","1,739","2,021"
2021년02월_계_0~9세,"1,347",603,95,52,69,176,53,30,59,30,180
2021년02월_계_10~19세,"1,844",891,136,91,82,222,84,72,104,38,124
2021년02월_계_20~29세,"1,955",869,128,122,101,247,98,61,114,91,124
2021년02월_계_30~39세,"1,892",760,157,114,99,235,97,57,93,61,219
2021년02월_계_40~49세,"3,184","1,282",241,175,136,396,188,125,199,128,314
2021년02월_계_50~59세,"5,733","1,754",573,364,364,860,439,328,430,288,333
2021년02월_계_60~69세,"6,875","1,694",819,533,472,"1,006",582,396,562,435,376
2021년02월_계_70~79세,"4,697","1,158",542,354,352,690,370,247,395,377,212
2021년02월_계_80~89세,"3,251",781,372,266,298,481,258,170,252,251,122
2021년02월_계_90~99세,508,138,52,35,44,90,35,23,38,37,16
2021년02월_계_100세 이상,31,5,4,2,3,7,3,1,2,3,1
2021년02월_남_총인구수,"15,773","4,895","1,565","1,019","1,025","2,193","1,111",764,"1,182",894,"1,125"
2021년02월_남_연령구간인구수,"15,773","4,895","1,565","1,019","1,025","2,193","1,111",764,"1,182",894,"1,125"
2021년02월_남_0~9세,688,310,47,28,36,96,27,12,31,12,89
2021년02월_남_10~19세,992,452,86,44,43,120,48,46,61,25,67
2021년02월_남_20~29세,"1,160",488,79,74,67,141,59,36,80,60,76
2021년02월_남_30~39세,"1,034",384,88,65,55,124,50,31,57,40,140
2021년02월_남_40~49세,"1,851",673,141,111,85,232,117,69,124,85,214
2021년02월_남_50~59세,"3,106",928,298,188,209,453,235,177,245,166,207
2021년02월_남_60~69세,"3,560",852,427,267,259,515,314,212,300,215,199
2021년02월_남_70~79세,"2,113",505,250,150,148,308,171,115,187,186,93
2021년02월_남_80~89세,"1,140",281,134,85,110,175,78,58,92,94,33
2021년02월_남_90~99세,124,21,15,6,13,26,12,8,5,11,7
2021년02월_남_100세 이상,5,1,0,1,0,3,0,0,0,0,0
2021년02월_여_총인구수,"15,544","5,040","1,554","1,089",995,"2,217","1,096",746,"1,066",845,896
2021년02월_여_연령구간인구수,"15,544","5,040","1,554","1,089",995,"2,217","1,096",746,"1,066",845,896
2021년02월_여_0~9세,659,293,48,24,33,80,26,18,28,18,91
2021년02월_여_10~19세,852,439,50,47,39,102,36,26,43,13,57
2021년02월_여_20~29세,795,381,49,48,34,106,39,25,34,31,48
2021년02월_여_30~39세,858,376,69,49,44,111,47,26,36,21,79
2021년02월_여_40~49세,"1,333",609,100,64,51,164,71,56,75,43,100
2021년02월_여_50~59세,"2,627",826,275,176,155,407,204,151,185,122,126
2021년02월_여_60~69세,"3,315",842,392,266,213,491,268,184,262,220,177
2021년02월_여_70~79세,"2,584",653,292,204,204,382,199,132,208,191,119
2021년02월_여_80~89세,"2,111",500,238,181,188,306,180,112,160,157,89
2021년02월_여_90~99세,384,117,37,29,31,64,23,15,33,26,9
2021년02월_여_100세 이상,26,4,4,1,3,4,3,1,2,3,1
