,경상북도 상주시,경상북도 상주시 함창읍,경상북도 상주시 중동면,경상북도 상주시 사벌국면,경상북도 상주시 낙동면,경상북도 상주시 낙동면동부출장소,경상북도 상주시 청리면,경상북도 상주시 공성면,경상북도 상주시 외남면,경상북도 상주시 내서면,경상북도 상주시 모동면,경상북도 상주시 모서면,경상북도 상주시 모서면서부출장소,경상북도 상주시 화동면,경상북도 상주시 화서면,경상북도 상주시 화북면,경상북도 상주시 화북면서부출장소,경상북도 상주시 외서면,경상북도 상주시 은척면,경상북도 상주시 은척면북부출장소,경상북도 상주시 공검면,경상북도 상주시 이안면,경상북도 상주시 화남면,경상북도 상주시 남원동,경상북도 상주시 북문동,경상북도 상주시 계림동,경상북도 상주시 동문동,경상북도 상주시 동성동,경상북도 상주시 신흥동
2021년08월_계_총인구수,"96,019","6,443","1,389","3,819","2,955",978,"2,603","3,941","1,644","1,903","2,566","1,735",754,"1,953","2,781","1,212",334,"2,687","1,136",369,"2,117","2,023",813,"12,035","9,001","8,178","8,143","3,553","8,954"
2021년08월_계_연령구간인구수,"96,019","6,443","1,389","3,819","2,955",978,"2,603","3,941","1,644","1,903","2,566","1,735",754,"1,953","2,781","1,212",334,"2,687","1,136",369,"2,117","2,023",813,"12,035","9,001","8,178","8,143","3,553","8,954"
2021년08월_계_0~9세,"4,982",264,41,102,81,26,81,93,53,44,93,59,25,52,151,24,5,88,20,5,37,56,33,850,713,593,547,163,683
2021년08월_계_10~19세,"7,438",524,59,166,144,31,97,227,64,67,153,65,39,105,147,61,11,142,48,20,91,84,31,"1,313",826,834,736,327,"1,026"
2021년08월_계_20~29세,"7,780",379,64,185,162,51,134,181,75,89,152,95,31,94,138,64,14,117,35,9,93,91,45,"1,255",963,763,840,291,"1,370"
2021년08월_계_30~39세,"7,138",423,67,205,118,35,142,185,79,94,131,83,43,99,178,63,8,130,30,9,92,73,34,"1,206","1,006",821,719,242,823
2021년08월_계_40~49세,"11,083",689,103,320,222,72,188,299,130,128,246,145,55,156,247,113,26,277,78,21,165,184,62,"1,737","1,343","1,182","1,112",479,"1,304"
2021년08월_계_50~59세,"16,252","1,038",225,605,474,195,417,615,280,355,486,321,141,374,507,254,65,464,164,67,293,290,160,"2,036","1,525","1,401","1,494",606,"1,400"
2021년08월_계_60~69세,"19,011","1,387",318,907,677,234,649,996,386,533,663,457,203,480,643,280,103,621,313,77,539,448,189,"1,914","1,477","1,257","1,329",665,"1,266"
2021년08월_계_70~79세,"12,414",936,291,653,543,148,458,744,299,315,379,273,113,340,415,189,52,454,246,68,409,406,139,"1,115",712,762,834,476,645
2021년08월_계_80~89세,"8,545",701,196,576,449,166,376,520,234,250,230,202,93,206,316,140,44,342,171,82,335,324,95,531,380,496,461,260,369
2021년08월_계_90~99세,"1,338",96,25,97,81,20,59,79,44,28,29,35,11,47,39,23,6,50,29,11,62,65,25,76,56,66,68,44,67
2021년08월_계_100세 이상,38,6,0,3,4,0,2,2,0,0,4,0,0,0,0,1,0,2,2,0,1,2,0,2,0,3,3,0,1
2021년08월_남_총인구수,"47,126","3,111",680,"1,871","1,447",483,"1,269","1,954",816,977,"1,295",880,362,980,"1,359",610,174,"1,270",527,195,"1,008",977,390,"5,897","4,508","3,885","3,956","1,739","4,506"
2021년08월_남_연령구간인구수,"47,126","3,111",680,"1,871","1,447",483,"1,269","1,954",816,977,"1,295",880,362,980,"1,359",610,174,"1,270",527,195,"1,008",977,390,"5,897","4,508","3,885","3,956","1,739","4,506"
2021년08월_남_0~9세,"2,593",148,28,53,42,14,45,48,26,19,51,26,15,28,83,15,1,37,9,0,16,36,17,427,357,297,296,101,358
2021년08월_남_10~19세,"3,931",248,27,106,74,13,61,136,39,40,76,33,20,53,69,29,6,74,27,14,43,37,15,756,447,411,354,177,546
2021년08월_남_20~29세,"4,497",221,38,117,95,32,90,114,43,51,99,68,17,54,75,29,10,68,16,7,64,56,16,703,534,427,473,177,803
2021년08월_남_30~39세,"3,832",244,40,119,78,22,80,109,39,60,69,54,21,55,95,42,5,72,16,7,59,40,12,635,522,437,367,124,409
2021년08월_남_40~49세,"5,878",364,74,208,136,44,120,192,90,75,147,87,33,94,137,63,16,154,49,12,106,104,37,832,680,601,526,259,638
2021년08월_남_50~59세,"8,623",561,134,349,263,118,231,338,165,194,256,185,69,213,265,146,40,254,93,46,159,172,93,998,793,676,801,317,694
2021년08월_남_60~69세,"9,385",695,160,478,359,117,322,488,203,301,335,240,112,252,332,137,59,302,159,41,271,227,102,882,722,571,612,285,621
2021년08월_남_70~79세,"5,421",389,119,273,242,70,189,334,129,146,165,113,48,153,177,87,22,201,97,33,181,180,66,489,319,319,368,205,307
2021년08월_남_80~89세,"2,709",222,57,154,142,48,119,178,73,88,91,63,27,71,114,56,15,100,58,32,99,105,29,164,127,135,141,89,112
2021년08월_남_90~99세,253,18,3,14,16,5,12,17,9,3,5,11,0,7,12,6,0,8,3,3,10,20,3,11,7,11,17,5,17
2021년08월_남_100세 이상,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2021년08월_여_총인구수,"48,893","3,332",709,"1,948","1,508",495,"1,334","1,987",828,926,"1,271",855,392,973,"1,422",602,160,"1,417",609,174,"1,109","1,046",423,"6,138","4,493","4,293","4,187","1,814","4,448"
2021년08월_여_연령구간인구수,"48,893","3,332",709,"1,948","1,508",495,"1,334","1,987",828,926,"1,271",855,392,973,"1,422",602,160,"1,417",609,174,"1,109","1,046",423,"6,138","4,493","4,293","4,187","1,814","4,448"
2021년08월_여_0~9세,"2,389",116,13,49,39,12,36,45,27,25,42,33,10,24,68,9,4,51,11,5,21,20,16,423,356,296,251,62,325
2021년08월_여_10~19세,"3,507",276,32,60,70,18,36,91,25,27,77,32,19,52,78,32,5,68,21,6,48,47,16,557,379,423,382,150,480
2021년08월_여_20~29세,"3,283",158,26,68,67,19,44,67,32,38,53,27,14,40,63,35,4,49,19,2,29,35,29,552,429,336,367,114,567
2021년08월_여_30~39세,"3,306",179,27,86,40,13,62,76,40,34,62,29,22,44,83,21,3,58,14,2,33,33,22,571,484,384,352,118,414
2021년08월_여_40~49세,"5,205",325,29,112,86,28,68,107,40,53,99,58,22,62,110,50,10,123,29,9,59,80,25,905,663,581,586,220,666
2021년08월_여_50~59세,"7,629",477,91,256,211,77,186,277,115,161,230,136,72,161,242,108,25,210,71,21,134,118,67,"1,038",732,725,693,289,706
2021년08월_여_60~69세,"9,626",692,158,429,318,117,327,508,183,232,328,217,91,228,311,143,44,319,154,36,268,221,87,"1,032",755,686,717,380,645
2021년08월_여_70~79세,"6,993",547,172,380,301,78,269,410,170,169,214,160,65,187,238,102,30,253,149,35,228,226,73,626,393,443,466,271,338
2021년08월_여_80~89세,"5,836",479,139,422,307,118,257,342,161,162,139,139,66,135,202,84,29,242,113,50,236,219,66,367,253,361,320,171,257
2021년08월_여_90~99세,"1,085",78,22,83,65,15,47,62,35,25,24,24,11,40,27,17,6,42,26,8,52,45,22,65,49,55,51,39,50
2021년08월_여_100세 이상,34,5,0,3,4,0,2,2,0,0,3,0,0,0,0,1,0,2,2,0,1,2,0,2,0,3,2,0,0
