카테고리,경상북도 상주시,경상북도 상주시 함창읍,경상북도 상주시 중동면,경상북도 상주시 사벌국면,경상북도 상주시 낙동면,경상북도 상주시 낙동면동부출장소,경상북도 상주시 청리면,경상북도 상주시 공성면,경상북도 상주시 외남면,경상북도 상주시 내서면,경상북도 상주시 모동면,경상북도 상주시 모서면,경상북도 상주시 모서면서부출장소,경상북도 상주시 화동면,경상북도 상주시 화서면,경상북도 상주시 화북면,경상북도 상주시 화북면서부출장소,경상북도 상주시 외서면,경상북도 상주시 은척면,경상북도 상주시 은척면북부출장소,경상북도 상주시 공검면,경상북도 상주시 이안면,경상북도 상주시 화남면,경상북도 상주시 남원동,경상북도 상주시 북문동,경상북도 상주시 계림동,경상북도 상주시 동문동,경상북도 상주시 동성동,경상북도 상주시 신흥동
2021년10월_계_총인구수,"95,677","6,398","1,379","3,813","2,979",976,"2,603","3,928","1,642","1,892","2,549","1,738",745,"1,953","2,789","1,212",322,"2,677","1,139",370,"2,118","1,981",794,"11,974","9,008","8,210","8,080","3,543","8,865"
2021년10월_계_연령구간인구수,"95,677","6,398","1,379","3,813","2,979",976,"2,603","3,928","1,642","1,892","2,549","1,738",745,"1,953","2,789","1,212",322,"2,677","1,139",370,"2,118","1,981",794,"11,974","9,008","8,210","8,080","3,543","8,865"
2021년10월_계_0~9세,"4,914",256,38,104,79,26,77,89,50,45,92,59,24,47,147,24,3,85,21,5,36,53,31,840,717,605,534,155,672
2021년10월_계_10~19세,"7,386",527,56,168,145,32,98,229,66,66,152,60,40,111,156,62,11,139,45,19,91,80,30,"1,304",832,834,723,318,992
2021년10월_계_20~29세,"7,685",359,58,190,168,47,137,174,72,87,137,97,28,91,139,60,13,115,41,10,95,88,41,"1,242",946,757,839,297,"1,357"
2021년10월_계_30~39세,"7,047",419,66,204,118,34,137,181,80,85,129,78,39,94,173,63,7,133,31,9,94,67,33,"1,195","1,006",830,699,241,802
2021년10월_계_40~49세,"10,967",675,104,314,215,73,190,312,131,131,238,147,55,157,242,109,24,272,77,24,163,175,60,"1,720","1,344","1,180","1,091",469,"1,275"
2021년10월_계_50~59세,"16,225","1,028",222,598,480,190,422,604,277,355,488,322,141,374,510,253,64,460,160,65,289,286,154,"2,021","1,529","1,404","1,492",616,"1,421"
2021년10월_계_60~69세,"19,068","1,379",325,900,692,241,647,996,389,529,667,465,204,485,650,287,102,626,316,78,538,444,188,"1,929","1,479","1,261","1,329",661,"1,261"
2021년10월_계_70~79세,"12,381",946,285,660,541,145,458,741,299,317,381,270,106,333,412,188,49,452,241,66,414,398,135,"1,115",708,764,833,481,643
2021년10월_계_80~89세,"8,595",706,199,577,458,165,375,517,234,246,232,205,96,214,320,139,43,341,174,82,327,325,97,528,391,503,468,261,372
2021년10월_계_90~99세,"1,370",97,26,95,79,23,60,83,44,31,29,35,12,47,40,26,6,52,31,12,70,63,25,78,56,69,69,43,69
2021년10월_계_100세 이상,39,6,0,3,4,0,2,2,0,0,4,0,0,0,0,1,0,2,2,0,1,2,0,2,0,3,3,1,1
2021년10월_남_총인구수,"46,928","3,093",672,"1,867","1,456",481,"1,265","1,945",816,973,"1,280",884,359,978,"1,359",606,171,"1,270",528,193,"1,007",964,384,"5,852","4,510","3,902","3,929","1,725","4,459"
2021년10월_남_연령구간인구수,"46,928","3,093",672,"1,867","1,456",481,"1,265","1,945",816,973,"1,280",884,359,978,"1,359",606,171,"1,270",528,193,"1,007",964,384,"5,852","4,510","3,902","3,929","1,725","4,459"
2021년10월_남_0~9세,"2,561",145,25,55,41,13,41,45,25,17,52,26,14,27,77,15,1,36,9,0,16,35,17,425,360,306,288,97,353
2021년10월_남_10~19세,"3,912",254,26,105,74,15,61,141,41,39,74,32,21,54,74,29,6,73,26,13,43,37,15,750,454,413,349,169,524
2021년10월_남_20~29세,"4,436",211,34,120,98,30,90,110,39,52,89,67,17,51,76,24,9,67,19,8,63,53,16,694,524,422,472,186,795
2021년10월_남_30~39세,"3,777",240,40,116,78,21,76,105,41,57,67,53,19,51,94,42,5,79,17,7,61,41,11,621,526,437,353,121,398
2021년10월_남_40~49세,"5,797",351,75,208,133,44,121,199,89,77,141,87,32,96,133,63,15,149,49,12,104,99,36,816,676,595,520,250,627
2021년10월_남_50~59세,"8,613",564,130,340,264,115,235,335,164,193,256,188,69,212,264,146,40,251,89,44,155,173,87,994,795,688,799,323,700
2021년10월_남_60~69세,"9,417",689,165,473,369,123,324,482,202,300,335,245,112,257,337,139,59,308,160,42,272,223,103,885,722,573,613,282,623
2021년10월_남_70~79세,"5,431",395,116,280,242,66,188,337,133,147,170,112,47,151,176,85,22,196,96,32,184,178,66,491,314,320,373,208,306
2021년10월_남_80~89세,"2,719",225,58,157,141,49,117,172,73,87,91,63,27,73,117,57,14,101,59,32,98,104,30,164,132,136,144,85,113
2021년10월_남_90~99세,261,18,3,13,16,5,12,19,9,4,4,11,1,6,11,6,0,10,4,3,11,21,3,12,7,12,17,4,19
2021년10월_남_100세 이상,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
