카테고리,경상북도 성주군,경상북도 성주군 성주읍,경상북도 성주군 선남면,경상북도 성주군 용암면,경상북도 성주군 수륜면,경상북도 성주군 가천면,경상북도 성주군 금수면,경상북도 성주군 대가면,경상북도 성주군 벽진면,경상북도 성주군 초전면,경상북도 성주군 월항면
2021년08월_계_총인구수,"42,880","13,533","6,132","3,653","3,089","2,006","1,195","2,426","3,048","4,469","3,329"
2021년08월_계_연령구간인구수,"42,880","13,533","6,132","3,653","3,089","2,006","1,195","2,426","3,048","4,469","3,329"
2021년08월_계_0~9세,"1,859",903,198,115,83,60,26,68,99,183,124
2021년08월_계_10~19세,"2,203","1,257",197,103,96,38,39,88,84,195,106
2021년08월_계_20~29세,"3,253","1,411",432,201,145,107,58,179,187,298,235
2021년08월_계_30~39세,"3,178","1,323",457,239,178,116,53,125,176,293,218
2021년08월_계_40~49세,"4,549","1,995",579,326,218,159,98,219,248,427,280
2021년08월_계_50~59세,"8,141","2,387","1,295",758,573,394,233,425,555,858,663
2021년08월_계_60~69세,"9,732","2,173","1,559",999,827,547,294,592,839,"1,071",831
2021년08월_계_70~79세,"5,877","1,283",902,523,504,309,215,424,519,675,523
2021년08월_계_80~89세,"3,563",699,437,338,400,241,156,270,290,416,316
2021년08월_계_90~99세,515,102,71,51,65,33,23,36,50,52,32
2021년08월_계_100세 이상,10,0,5,0,0,2,0,0,1,1,1
2021년08월_남_총인구수,"22,197","6,869","3,345","2,001","1,534",998,624,"1,225","1,570","2,264","1,767"
2021년08월_남_연령구간인구수,"22,197","6,869","3,345","2,001","1,534",998,624,"1,225","1,570","2,264","1,767"
2021년08월_남_0~9세,931,424,107,61,49,26,18,34,48,98,66
2021년08월_남_10~19세,"1,213",699,107,65,42,18,24,47,43,109,59
2021년08월_남_20~29세,"1,954",816,284,125,92,65,37,104,113,179,139
2021년08월_남_30~39세,"1,719",675,272,154,96,72,34,66,89,150,111
2021년08월_남_40~49세,"2,695","1,061",400,210,127,105,62,136,171,251,172
2021년08월_남_50~59세,"4,494","1,276",716,450,303,205,130,248,304,480,382
2021년08월_남_60~69세,"5,150","1,098",852,565,450,278,160,297,443,544,463
2021년08월_남_70~79세,"2,754",566,447,258,234,144,104,189,256,305,251
2021년08월_남_80~89세,"1,178",233,146,104,125,78,51,95,90,140,116
2021년08월_남_90~99세,109,21,14,9,16,7,4,9,13,8,8
2021년08월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0
2021년08월_여_총인구수,"20,683","6,664","2,787","1,652","1,555","1,008",571,"1,201","1,478","2,205","1,562"
2021년08월_여_연령구간인구수,"20,683","6,664","2,787","1,652","1,555","1,008",571,"1,201","1,478","2,205","1,562"
2021년08월_여_0~9세,928,479,91,54,34,34,8,34,51,85,58
2021년08월_여_10~19세,990,558,90,38,54,20,15,41,41,86,47
2021년08월_여_20~29세,"1,299",595,148,76,53,42,21,75,74,119,96
2021년08월_여_30~39세,"1,459",648,185,85,82,44,19,59,87,143,107
2021년08월_여_40~49세,"1,854",934,179,116,91,54,36,83,77,176,108
2021년08월_여_50~59세,"3,647","1,111",579,308,270,189,103,177,251,378,281
2021년08월_여_60~69세,"4,582","1,075",707,434,377,269,134,295,396,527,368
2021년08월_여_70~79세,"3,123",717,455,265,270,165,111,235,263,370,272
2021년08월_여_80~89세,"2,385",466,291,234,275,163,105,175,200,276,200
2021년08월_여_90~99세,406,81,57,42,49,26,19,27,37,44,24
2021년08월_여_100세 이상,10,0,5,0,0,2,0,0,1,1,1
