,경상북도 안동시,경상북도 안동시 풍산읍,경상북도 안동시 와룡면,경상북도 안동시 북후면,경상북도 안동시 서후면,경상북도 안동시 풍천면,경상북도 안동시 일직면,경상북도 안동시 남후면,경상북도 안동시 남선면,경상북도 안동시 임하면,경상북도 안동시 길안면,경상북도 안동시 임동면,경상북도 안동시 예안면,경상북도 안동시 도산면,경상북도 안동시 녹전면,경상북도 안동시 중구동,경상북도 안동시 명륜동,경상북도 안동시 용상동,경상북도 안동시 서구동,경상북도 안동시 태화동,경상북도 안동시 평화동,경상북도 안동시 안기동,경상북도 안동시 옥동,경상북도 안동시 송하동,경상북도 안동시 강남동
2021년06월_계_총인구수,"157,805","6,391","4,031","2,982","3,492","6,867","2,706","1,748","2,093","2,810","2,720","1,725","1,836","1,618","1,734","5,139","4,988","22,152","9,068","13,172","6,290","6,199","21,492","16,142","10,410"
2021년06월_계_연령구간인구수,"157,805","6,391","4,031","2,982","3,492","6,867","2,706","1,748","2,093","2,810","2,720","1,725","1,836","1,618","1,734","5,139","4,988","22,152","9,068","13,172","6,290","6,199","21,492","16,142","10,410"
2021년06월_계_0~9세,"10,309",185,94,61,81,447,42,26,51,56,42,31,47,22,31,223,297,"1,863",623,889,363,331,"1,917","1,505","1,082"
2021년06월_계_10~19세,"13,522",273,188,84,120,369,127,58,82,108,77,50,49,46,59,353,407,"2,350",883,947,519,548,"2,585","1,732","1,508"
2021년06월_계_20~29세,"16,561",443,276,139,278,961,139,80,146,172,124,64,83,68,61,616,507,"3,004",847,"1,375",633,667,"2,639","1,944","1,295"
2021년06월_계_30~39세,"15,225",360,198,150,206,"1,063",110,76,126,139,111,59,79,66,68,503,420,"2,505",785,"1,503",566,557,"2,397","2,072","1,106"
2021년06월_계_40~49세,"21,845",575,317,304,337,780,231,157,167,252,170,139,108,115,125,614,695,"3,515","1,362","1,843",889,832,"3,728","2,589","2,001"
2021년06월_계_50~59세,"25,780","1,065",642,519,581,915,423,261,419,500,507,278,335,279,271,784,913,"3,441","1,425","2,191","1,029","1,145","3,508","2,722","1,627"
2021년06월_계_60~69세,"26,544","1,467",949,697,889,"1,022",627,412,511,716,721,490,508,433,488,924,877,"2,866","1,519","2,263","1,185","1,190","2,704","2,108",978
2021년06월_계_70~79세,"16,521","1,104",718,528,534,742,548,345,319,472,535,342,345,336,341,716,552,"1,617","1,000","1,420",708,648,"1,251",888,512
2021년06월_계_80~89세,"9,961",780,562,435,384,483,399,287,231,328,386,246,257,217,257,338,284,869,552,659,343,243,666,497,258
2021년06월_계_90~99세,"1,488",131,83,64,82,80,57,46,41,65,46,23,24,36,33,67,36,121,68,77,54,37,93,82,42
2021년06월_계_100세 이상,49,8,4,1,0,5,3,0,0,2,1,3,1,0,0,1,0,1,4,5,1,1,4,3,1
2021년06월_남_총인구수,"78,116","3,227","2,084","1,568","1,848","3,511","1,311",871,"1,078","1,473","1,378",896,952,845,903,"2,505","2,382","11,025","4,367","6,558","3,048","3,067","10,248","7,836","5,135"
2021년06월_남_연령구간인구수,"78,116","3,227","2,084","1,568","1,848","3,511","1,311",871,"1,078","1,473","1,378",896,952,845,903,"2,505","2,382","11,025","4,367","6,558","3,048","3,067","10,248","7,836","5,135"
2021년06월_남_0~9세,"5,397",99,53,35,40,231,24,14,26,28,15,21,27,13,20,124,158,972,337,444,180,174,996,808,558
2021년06월_남_10~19세,"7,051",153,114,52,69,190,76,35,39,56,40,23,34,24,27,188,191,"1,243",448,503,274,283,"1,312",885,792
2021년06월_남_20~29세,"9,071",255,157,92,166,498,84,46,98,104,73,38,54,40,36,340,264,"1,692",459,774,350,360,"1,396","1,034",661
2021년06월_남_30~39세,"7,932",207,116,99,130,587,62,56,73,83,67,35,45,44,47,248,209,"1,274",386,809,313,301,"1,176","1,040",525
2021년06월_남_40~49세,"11,325",349,193,200,217,442,140,101,111,169,124,92,68,80,83,341,361,"1,743",685,983,456,419,"1,778","1,256",934
