카테고리,경상북도 영덕군,경상북도 영덕군 영덕읍,경상북도 영덕군 강구면,경상북도 영덕군 남정면,경상북도 영덕군 달산면,경상북도 영덕군 지품면,경상북도 영덕군 지품면원전출장소,경상북도 영덕군 축산면,경상북도 영덕군 축산면축산출장소,경상북도 영덕군 영해면,경상북도 영덕군 병곡면,경상북도 영덕군 창수면
2021년06월_계_총인구수,"35,779","10,875","6,103","2,332","1,124","1,481",527,912,"1,706","6,289","2,757","1,673"
2021년06월_계_연령구간인구수,"35,779","10,875","6,103","2,332","1,124","1,481",527,912,"1,706","6,289","2,757","1,673"
2021년06월_계_0~9세,"1,559",747,215,43,12,36,9,25,42,337,68,25
2021년06월_계_10~19세,"2,056",924,293,60,36,36,15,31,69,418,129,45
2021년06월_계_20~29세,"2,326",931,402,123,46,68,15,44,79,464,105,49
2021년06월_계_30~39세,"2,289",972,377,107,44,55,11,32,74,435,123,59
2021년06월_계_40~49세,"3,756","1,558",633,173,62,99,27,74,158,678,196,98
2021년06월_계_50~59세,"5,975","1,815","1,100",397,186,254,82,143,299,"1,036",423,240
2021년06월_계_60~69세,"7,571","1,852","1,406",560,288,391,139,193,413,"1,253",643,433
2021년06월_계_70~79세,"5,775","1,215","1,049",476,225,290,136,200,353,907,548,376
2021년06월_계_80~89세,"3,907",734,557,339,194,223,84,154,203,652,462,305
2021년06월_계_90~99세,544,119,70,53,30,28,9,16,16,107,60,36
2021년06월_계_100세 이상,21,8,1,1,1,1,0,0,0,2,0,7
2021년06월_남_총인구수,"16,972","5,214","2,857","1,132",511,734,248,432,799,"2,926","1,294",825
2021년06월_남_연령구간인구수,"16,972","5,214","2,857","1,132",511,734,248,432,799,"2,926","1,294",825
2021년06월_남_0~9세,779,368,106,23,8,19,4,16,22,160,39,14
2021년06월_남_10~19세,"1,047",447,167,40,18,23,7,15,39,211,59,21
2021년06월_남_20~29세,"1,358",545,233,73,27,41,9,27,46,269,57,31
2021년06월_남_30~39세,"1,200",478,209,60,28,28,7,15,42,224,72,37
2021년06월_남_40~49세,"2,057",787,352,110,31,67,22,45,88,359,128,68
2021년06월_남_50~59세,"3,232",987,577,231,104,148,46,86,157,531,238,127
2021년06월_남_60~69세,"3,636",865,639,293,152,201,67,88,192,586,325,228
2021년06월_남_70~79세,"2,346",479,408,190,84,126,56,90,146,374,223,170
2021년06월_남_80~89세,"1,219",236,156,103,54,73,29,48,61,197,145,117
2021년06월_남_90~99세,95,21,10,9,5,8,1,2,6,15,8,10
2021년06월_남_100세 이상,3,1,0,0,0,0,0,0,0,0,0,2
2021년06월_여_총인구수,"18,807","5,661","3,246","1,200",613,747,279,480,907,"3,363","1,463",848
2021년06월_여_연령구간인구수,"18,807","5,661","3,246","1,200",613,747,279,480,907,"3,363","1,463",848
2021년06월_여_0~9세,780,379,109,20,4,17,5,9,20,177,29,11
2021년06월_여_10~19세,"1,009",477,126,20,18,13,8,16,30,207,70,24
2021년06월_여_20~29세,968,386,169,50,19,27,6,17,33,195,48,18
2021년06월_여_30~39세,"1,089",494,168,47,16,27,4,17,32,211,51,22
2021년06월_여_40~49세,"1,699",771,281,63,31,32,5,29,70,319,68,30
2021년06월_여_50~59세,"2,743",828,523,166,82,106,36,57,142,505,185,113
2021년06월_여_60~69세,"3,935",987,767,267,136,190,72,105,221,667,318,205
2021년06월_여_70~79세,"3,429",736,641,286,141,164,80,110,207,533,325,206
2021년06월_여_80~89세,"2,688",498,401,236,140,150,55,106,142,455,317,188
2021년06월_여_90~99세,449,98,60,44,25,20,8,14,10,92,52,26
2021년06월_여_100세 이상,18,7,1,1,1,1,0,0,0,2,0,5
