,경상북도 영덕군,경상북도 영덕군 영덕읍,경상북도 영덕군 강구면,경상북도 영덕군 남정면,경상북도 영덕군 달산면,경상북도 영덕군 지품면,경상북도 영덕군 지품면원전출장소,경상북도 영덕군 축산면,경상북도 영덕군 축산면축산출장소,경상북도 영덕군 영해면,경상북도 영덕군 병곡면,경상북도 영덕군 창수면
2021년11월_계_총인구수,"35,451","10,798","6,030","2,329","1,117","1,477",522,911,"1,659","6,218","2,740","1,650"
2021년11월_계_연령구간인구수,"35,451","10,798","6,030","2,329","1,117","1,477",522,911,"1,659","6,218","2,740","1,650"
2021년11월_계_0~9세,"1,485",725,196,36,11,34,9,25,36,323,70,20
2021년11월_계_10~19세,"2,031",918,283,61,35,39,13,34,63,416,122,47
2021년11월_계_20~29세,"2,250",904,392,123,47,63,16,40,71,443,109,42
2021년11월_계_30~39세,"2,179",942,349,109,38,51,10,31,75,406,109,59
2021년11월_계_40~49세,"3,677","1,542",602,167,62,94,26,71,144,676,193,100
2021년11월_계_50~59세,"5,988","1,828","1,122",401,193,251,81,137,287,"1,023",426,239
2021년11월_계_60~69세,"7,569","1,859","1,405",560,282,392,136,204,412,"1,245",650,424
2021년11월_계_70~79세,"5,776","1,216","1,053",478,229,298,136,191,353,910,541,371
2021년11월_계_80~89세,"3,915",743,556,336,182,226,85,160,204,663,453,307
2021년11월_계_90~99세,560,114,71,56,37,28,10,18,14,111,67,34
2021년11월_계_100세 이상,21,7,1,2,1,1,0,0,0,2,0,7
2021년11월_남_총인구수,"16,834","5,192","2,835","1,127",502,729,247,428,773,"2,902","1,289",810
2021년11월_남_연령구간인구수,"16,834","5,192","2,835","1,127",502,729,247,428,773,"2,902","1,289",810
2021년11월_남_0~9세,741,364,95,17,7,19,4,15,18,151,39,12
2021년11월_남_10~19세,"1,052",451,162,41,19,25,6,16,35,217,59,21
2021년11월_남_20~29세,"1,313",522,235,74,25,36,10,24,43,261,57,26
2021년11월_남_30~39세,"1,139",478,187,55,24,24,6,14,39,211,65,36
2021년11월_남_40~49세,"2,007",768,345,104,29,64,21,40,82,360,126,68
2021년11월_남_50~59세,"3,237",996,586,235,108,141,44,81,148,525,247,126
2021년11월_남_60~69세,"3,651",866,647,296,150,204,69,100,191,584,323,221
2021년11월_남_70~79세,"2,372",484,414,197,86,132,56,88,148,375,222,170
2021년11월_남_80~89세,"1,216",239,154,98,48,76,29,48,63,201,142,118
2021년11월_남_90~99세,103,23,10,10,6,8,2,2,6,17,9,10
2021년11월_남_100세 이상,3,1,0,0,0,0,0,0,0,0,0,2
2021년11월_여_총인구수,"18,617","5,606","3,195","1,202",615,748,275,483,886,"3,316","1,451",840
2021년11월_여_연령구간인구수,"18,617","5,606","3,195","1,202",615,748,275,483,886,"3,316","1,451",840
2021년11월_여_0~9세,744,361,101,19,4,15,5,10,18,172,31,8
2021년11월_여_10~19세,979,467,121,20,16,14,7,18,28,199,63,26
2021년11월_여_20~29세,937,382,157,49,22,27,6,16,28,182,52,16
2021년11월_여_30~39세,"1,040",464,162,54,14,27,4,17,36,195,44,23
2021년11월_여_40~49세,"1,670",774,257,63,33,30,5,31,62,316,67,32
2021년11월_여_50~59세,"2,751",832,536,166,85,110,37,56,139,498,179,113
2021년11월_여_60~69세,"3,918",993,758,264,132,188,67,104,221,661,327,203
2021년11월_여_70~79세,"3,404",732,639,281,143,166,80,103,205,535,319,201
2021년11월_여_80~89세,"2,699",504,402,238,134,150,56,112,141,462,311,189
2021년11월_여_90~99세,457,91,61,46,31,20,8,16,8,94,58,24
2021년11월_여_100세 이상,18,6,1,2,1,1,0,0,0,2,0,5
