,경상북도 영양군,경상북도 영양군 영양읍,경상북도 영양군 입암면,경상북도 영양군 청기면,경상북도 영양군 일월면,경상북도 영양군 수비면,경상북도 영양군 석보면
2021년05월_계_총인구수,"16,494","7,177","2,131","1,722","1,756","1,705","2,003"
2021년05월_계_연령구간인구수,"16,494","7,177","2,131","1,722","1,756","1,705","2,003"
2021년05월_계_0~9세,714,436,70,54,38,59,57
2021년05월_계_10~19세,914,535,75,52,79,99,74
2021년05월_계_20~29세,"1,118",632,100,77,109,92,108
2021년05월_계_30~39세,"1,005",609,112,60,69,70,85
2021년05월_계_40~49세,"1,653",903,176,125,132,160,157
2021년05월_계_50~59세,"2,893","1,221",366,283,337,311,375
2021년05월_계_60~69세,"3,556","1,312",516,439,398,395,496
2021년05월_계_70~79세,"2,619",898,407,361,299,277,377
2021년05월_계_80~89세,"1,741",527,270,238,260,205,241
2021년05월_계_90~99세,263,102,38,30,34,31,28
2021년05월_계_100세 이상,18,2,1,3,1,6,5
2021년05월_남_총인구수,"8,187","3,540","1,032",879,870,856,"1,010"
2021년05월_남_연령구간인구수,"8,187","3,540","1,032",879,870,856,"1,010"
2021년05월_남_0~9세,374,238,33,29,17,35,22
2021년05월_남_10~19세,470,266,45,25,42,48,44
2021년05월_남_20~29세,655,368,57,44,64,57,65
2021년05월_남_30~39세,550,324,61,38,42,38,47
2021년05월_남_40~49세,974,503,116,86,72,99,98
2021년05월_남_50~59세,"1,597",631,201,180,193,177,215
2021년05월_남_60~69세,"1,791",647,254,212,205,203,270
2021년05월_남_70~79세,"1,143",381,170,180,134,117,161
2021년05월_남_80~89세,566,161,86,78,90,70,81
2021년05월_남_90~99세,64,21,8,7,11,11,6
2021년05월_남_100세 이상,3,0,1,0,0,1,1
2021년05월_여_총인구수,"8,307","3,637","1,099",843,886,849,993
2021년05월_여_연령구간인구수,"8,307","3,637","1,099",843,886,849,993
2021년05월_여_0~9세,340,198,37,25,21,24,35
2021년05월_여_10~19세,444,269,30,27,37,51,30
2021년05월_여_20~29세,463,264,43,33,45,35,43
2021년05월_여_30~39세,455,285,51,22,27,32,38
2021년05월_여_40~49세,679,400,60,39,60,61,59
2021년05월_여_50~59세,"1,296",590,165,103,144,134,160
2021년05월_여_60~69세,"1,765",665,262,227,193,192,226
2021년05월_여_70~79세,"1,476",517,237,181,165,160,216
2021년05월_여_80~89세,"1,175",366,184,160,170,135,160
2021년05월_여_90~99세,199,81,30,23,23,20,22
2021년05월_여_100세 이상,15,2,0,3,1,5,4
