카테고리,경상북도 영양군,경상북도 영양군 영양읍,경상북도 영양군 입암면,경상북도 영양군 청기면,경상북도 영양군 일월면,경상북도 영양군 수비면,경상북도 영양군 석보면
2021년07월_계_총인구수,"16,396","7,148","2,119","1,703","1,753","1,684","1,989"
2021년07월_계_연령구간인구수,"16,396","7,148","2,119","1,703","1,753","1,684","1,989"
2021년07월_계_0~9세,704,436,71,47,36,57,57
2021년07월_계_10~19세,911,535,75,49,77,102,73
2021년07월_계_20~29세,"1,110",632,100,76,109,94,99
2021년07월_계_30~39세,999,603,113,56,73,69,85
2021년07월_계_40~49세,"1,616",885,175,124,123,153,156
2021년07월_계_50~59세,"2,860","1,218",356,276,335,306,369
2021년07월_계_60~69세,"3,569","1,317",515,439,408,387,503
2021년07월_계_70~79세,"2,598",885,400,362,296,278,377
2021년07월_계_80~89세,"1,752",533,275,240,262,204,238
2021년07월_계_90~99세,261,103,38,31,33,29,27
2021년07월_계_100세 이상,16,1,1,3,1,5,5
2021년07월_남_총인구수,"8,175","3,543","1,030",871,875,851,"1,005"
2021년07월_남_연령구간인구수,"8,175","3,543","1,030",871,875,851,"1,005"
2021년07월_남_0~9세,371,239,34,26,16,33,23
2021년07월_남_10~19세,471,267,45,23,42,51,43
2021년07월_남_20~29세,650,367,57,45,64,59,58
2021년07월_남_30~39세,547,319,62,35,44,37,50
2021년07월_남_40~49세,960,497,117,87,69,94,96
2021년07월_남_50~59세,"1,594",641,197,173,193,179,211
2021년07월_남_60~69세,"1,810",652,256,217,213,198,274
2021년07월_남_70~79세,"1,133",374,166,178,133,119,163
2021년07월_남_80~89세,577,168,87,80,91,71,80
2021년07월_남_90~99세,60,19,8,7,10,10,6
2021년07월_남_100세 이상,2,0,1,0,0,0,1
2021년07월_여_총인구수,"8,221","3,605","1,089",832,878,833,984
2021년07월_여_연령구간인구수,"8,221","3,605","1,089",832,878,833,984
2021년07월_여_0~9세,333,197,37,21,20,24,34
2021년07월_여_10~19세,440,268,30,26,35,51,30
2021년07월_여_20~29세,460,265,43,31,45,35,41
2021년07월_여_30~39세,452,284,51,21,29,32,35
2021년07월_여_40~49세,656,388,58,37,54,59,60
2021년07월_여_50~59세,"1,266",577,159,103,142,127,158
2021년07월_여_60~69세,"1,759",665,259,222,195,189,229
2021년07월_여_70~79세,"1,465",511,234,184,163,159,214
2021년07월_여_80~89세,"1,175",365,188,160,171,133,158
2021년07월_여_90~99세,201,84,30,24,23,19,21
2021년07월_여_100세 이상,14,1,0,3,1,5,4
