,경상북도 영주시,경상북도 영주시 풍기읍,경상북도 영주시 이산면,경상북도 영주시 평은면,경상북도 영주시 문수면,경상북도 영주시 장수면,경상북도 영주시 안정면,경상북도 영주시 봉현면,경상북도 영주시 순흥면,경상북도 영주시 단산면,경상북도 영주시 부석면,경상북도 영주시 상망동,경상북도 영주시 하망동,경상북도 영주시 영주1동,경상북도 영주시 영주2동,경상북도 영주시 휴천1동,경상북도 영주시 휴천2동,경상북도 영주시 휴천3동,경상북도 영주시 가흥1동,경상북도 영주시 가흥2동
2021년03월_계_총인구수,"102,738","10,662","2,358","1,446","1,958","2,183","3,017","2,737","2,016","1,879","3,101","7,737","6,262","4,049","3,542","6,621","8,220","7,945","19,021","7,984"
2021년03월_계_연령구간인구수,"102,738","10,662","2,358","1,446","1,958","2,183","3,017","2,737","2,016","1,879","3,101","7,737","6,262","4,049","3,542","6,621","8,220","7,945","19,021","7,984"
2021년03월_계_0~9세,"5,987",457,54,23,53,53,81,70,37,25,55,472,346,157,170,484,430,439,"2,053",528
2021년03월_계_10~19세,"8,752",703,100,54,86,101,132,132,76,60,116,926,593,291,245,854,625,683,"2,177",798
2021년03월_계_20~29세,"9,584",936,182,85,138,163,190,163,132,103,132,739,614,310,287,700,945,929,"1,968",868
2021년03월_계_30~39세,"8,378",739,112,48,105,108,152,123,81,79,140,578,469,287,244,516,692,623,"2,507",775
2021년03월_계_40~49세,"13,729","1,217",182,97,164,179,266,255,138,149,204,"1,250",867,480,415,"1,137","1,045","1,036","3,432","1,216"
2021년03월_계_50~59세,"17,731","1,851",473,251,340,363,487,501,367,340,568,"1,331","1,150",678,609,"1,203","1,535","1,588","2,694","1,402"
2021년03월_계_60~69세,"18,700","2,336",566,345,458,520,742,726,557,472,847,"1,181","1,066",883,756,847,"1,504","1,419","2,230","1,245"
2021년03월_계_70~79세,"11,828","1,449",349,290,312,364,527,452,344,331,586,772,722,581,529,556,944,784,"1,243",693
2021년03월_계_80~89세,"6,954",820,296,212,247,272,377,268,241,278,392,414,389,342,249,288,445,382,638,404
2021년03월_계_90~99세,"1,044",144,44,39,53,57,62,40,41,41,60,72,41,37,37,34,52,61,77,52
2021년03월_계_100세 이상,51,10,0,2,2,3,1,7,2,1,1,2,5,3,1,2,3,1,2,3
2021년03월_남_총인구수,"50,945","5,254","1,221",731,997,"1,103","1,529","1,383","1,016",938,"1,536","3,865","2,995","1,960","1,701","3,293","4,054","3,959","9,565","3,845"
2021년03월_남_연령구간인구수,"50,945","5,254","1,221",731,997,"1,103","1,529","1,383","1,016",938,"1,536","3,865","2,995","1,960","1,701","3,293","4,054","3,959","9,565","3,845"
2021년03월_남_0~9세,"3,094",236,25,16,27,29,40,31,20,13,30,246,176,90,100,241,202,224,"1,068",280
2021년03월_남_10~19세,"4,579",355,51,25,47,51,73,69,42,32,61,493,307,137,136,454,338,371,"1,118",419
2021년03월_남_20~29세,"5,626",583,118,60,86,101,118,95,87,75,77,457,342,185,160,428,535,553,"1,115",451
2021년03월_남_30~39세,"4,475",389,63,26,66,70,101,70,52,49,83,297,251,152,124,257,390,342,"1,285",408
2021년03월_남_40~49세,"7,106",653,106,66,102,104,170,154,77,93,131,613,428,250,205,543,536,501,"1,775",599
2021년03월_남_50~59세,"9,075",923,271,137,182,196,255,260,193,180,304,698,587,372,310,621,729,786,"1,401",670
2021년03월_남_60~69세,"8,970","1,153",295,181,249,275,383,369,289,257,415,557,474,392,328,379,687,659,"1,043",585
2021년03월_남_70~79세,"5,348",643,174,137,144,171,251,229,159,146,284,343,287,250,239,257,439,373,518,304
2021년03월_남_80~89세,"2,443",286,107,72,84,96,127,92,90,85,138,156,131,119,91,101,184,136,227,121
2021년03월_남_90~99세,220,30,11,11,10,10,11,12,6,7,13,5,11,13,8,12,14,14,14,8
2021년03월_남_100세 이상,9,3,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,1,0
2021년03월_여_총인구수,"51,793","5,408","1,137",715,961,"1,080","1,488","1,354","1,000",941,"1,565","3,872","3,267","2,089","1,841","3,328","4,166","3,986","9,456","4,139"
2021년03월_여_연령구간인구수,"51,793","5,408","1,137",715,961,"1,080","1,488","1,354","1,000",941,"1,565","3,872","3,267","2,089","1,841","3,328","4,166","3,986","9,456","4,139"
2021년03월_여_0~9세,"2,893",221,29,7,26,24,41,39,17,12,25,226,170,67,70,243,228,215,985,248
2021년03월_여_10~19세,"4,173",348,49,29,39,50,59,63,34,28,55,433,286,154,109,400,287,312,"1,059",379
2021년03월_여_20~29세,"3,958",353,64,25,52,62,72,68,45,28,55,282,272,125,127,272,410,376,853,417
2021년03월_여_30~39세,"3,903",350,49,22,39,38,51,53,29,30,57,281,218,135,120,259,302,281,"1,222",367
2021년03월_여_40~49세,"6,623",564,76,31,62,75,96,101,61,56,73,637,439,230,210,594,509,535,"1,657",617
2021년03월_여_50~59세,"8,656",928,202,114,158,167,232,241,174,160,264,633,563,306,299,582,806,802,"1,293",732
2021년03월_여_60~69세,"9,730","1,183",271,164,209,245,359,357,268,215,432,624,592,491,428,468,817,760,"1,187",660
2021년03월_여_70~79세,"6,480",806,175,153,168,193,276,223,185,185,302,429,435,331,290,299,505,411,725,389
2021년03월_여_80~89세,"4,511",534,189,140,163,176,250,176,151,193,254,258,258,223,158,187,261,246,411,283
2021년03월_여_90~99세,824,114,33,28,43,47,51,28,35,34,47,67,30,24,29,22,38,47,63,44
2021년03월_여_100세 이상,42,7,0,2,2,3,1,5,1,0,1,2,4,3,1,2,3,1,1,3
