카테고리,경상북도 영천시,경상북도 영천시 금호읍,경상북도 영천시 청통면,경상북도 영천시 신녕면,경상북도 영천시 화산면,경상북도 영천시 화북면,경상북도 영천시 화남면,경상북도 영천시 자양면,경상북도 영천시 임고면,경상북도 영천시 고경면,경상북도 영천시 북안면,경상북도 영천시 대창면,경상북도 영천시 동부동,경상북도 영천시 중앙동,경상북도 영천시 서부동,경상북도 영천시 완산동,경상북도 영천시 남부동
2020년04월_계_총인구수,"101,828","10,988","4,227","3,879","3,225","2,184","3,100","1,167","4,238","6,147","4,444","3,034","29,639","9,462","4,884","6,923","4,287"
2020년04월_계_연령구간인구수,"101,828","10,988","4,227","3,879","3,225","2,184","3,100","1,167","4,238","6,147","4,444","3,034","29,639","9,462","4,884","6,923","4,287"
2020년04월_계_0~9세,"5,841",407,105,107,76,66,68,14,141,284,74,85,"2,741",680,174,557,262
2020년04월_계_10~19세,"6,800",507,151,171,92,86,88,33,167,237,147,90,"3,014",927,287,586,217
2020년04월_계_20~29세,"10,416",982,337,248,188,107,194,71,269,"1,110",268,204,"3,583","1,233",508,699,415
2020년04월_계_30~39세,"9,579",823,304,232,188,98,160,53,246,487,256,206,"3,771","1,023",394,864,474
2020년04월_계_40~49세,"12,938","1,320",373,350,296,172,253,62,400,510,419,258,"4,907","1,464",582,"1,063",509
2020년04월_계_50~59세,"18,356","2,269",834,677,584,405,583,265,714,903,804,575,"5,219","1,662",922,"1,124",816
2020년04월_계_60~69세,"17,982","2,233",986,929,750,542,801,274,938,"1,104","1,069",799,"3,619","1,254",956,981,747
2020년04월_계_70~79세,"12,298","1,574",704,694,623,387,574,214,837,917,837,488,"1,757",786,682,701,523
2020년04월_계_80~89세,"6,828",793,379,424,387,286,333,161,469,534,507,295,932,388,342,321,277
2020년04월_계_90~99세,748,77,51,46,41,34,40,19,56,58,60,33,91,40,36,20,46
2020년04월_계_100세 이상,42,3,3,1,0,1,6,1,1,3,3,1,5,5,1,7,1
2020년04월_남_총인구수,"51,771","5,758","2,187","1,903","1,678","1,086","1,567",589,"2,153","3,460","2,296","1,594","14,600","4,732","2,410","3,449","2,309"
2020년04월_남_연령구간인구수,"51,771","5,758","2,187","1,903","1,678","1,086","1,567",589,"2,153","3,460","2,296","1,594","14,600","4,732","2,410","3,449","2,309"
2020년04월_남_0~9세,"2,968",214,55,59,42,44,32,9,75,149,34,47,"1,375",345,87,268,133
2020년04월_남_10~19세,"3,657",293,83,84,58,48,51,15,93,127,82,45,"1,605",487,142,330,114
2020년04월_남_20~29세,"6,189",564,205,157,130,60,109,41,166,907,162,121,"1,996",662,276,374,259
2020년04월_남_30~39세,"5,257",468,190,134,111,55,97,29,131,284,162,130,"1,969",536,226,454,281
2020년04월_남_40~49세,"7,086",772,238,200,184,105,164,39,247,325,255,169,"2,409",776,335,555,313
2020년04월_남_50~59세,"9,746","1,310",435,368,347,223,324,144,397,468,460,337,"2,553",826,484,577,493
2020년04월_남_60~69세,"8,968","1,136",502,460,403,277,399,156,455,589,556,413,"1,702",637,451,462,370
2020년04월_남_70~79세,"5,452",708,336,294,273,177,268,92,393,416,396,227,708,321,296,302,245
2020년04월_남_80~89세,"2,247",270,130,137,121,92,111,60,175,179,176,96,257,136,103,113,91
2020년04월_남_90~99세,188,22,12,10,9,5,11,4,21,15,12,8,25,5,10,9,10
2020년04월_남_100세 이상,13,1,1,0,0,0,1,0,0,1,1,1,1,1,0,5,0
2020년04월_여_총인구수,"50,057","5,230","2,040","1,976","1,547","1,098","1,533",578,"2,085","2,687","2,148","1,440","15,039","4,730","2,474","3,474","1,978"
2020년04월_여_연령구간인구수,"50,057","5,230","2,040","1,976","1,547","1,098","1,533",578,"2,085","2,687","2,148","1,440","15,039","4,730","2,474","3,474","1,978"
2020년04월_여_0~9세,"2,873",193,50,48,34,22,36,5,66,135,40,38,"1,366",335,87,289,129
2020년04월_여_10~19세,"3,143",214,68,87,34,38,37,18,74,110,65,45,"1,409",440,145,256,103
2020년04월_여_20~29세,"4,227",418,132,91,58,47,85,30,103,203,106,83,"1,587",571,232,325,156
2020년04월_여_30~39세,"4,322",355,114,98,77,43,63,24,115,203,94,76,"1,802",487,168,410,193
2020년04월_여_40~49세,"5,852",548,135,150,112,67,89,23,153,185,164,89,"2,498",688,247,508,196
2020년04월_여_50~59세,"8,610",959,399,309,237,182,259,121,317,435,344,238,"2,666",836,438,547,323
2020년04월_여_60~69세,"9,014","1,097",484,469,347,265,402,118,483,515,513,386,"1,917",617,505,519,377
2020년04월_여_70~79세,"6,846",866,368,400,350,210,306,122,444,501,441,261,"1,049",465,386,399,278
2020년04월_여_80~89세,"4,581",523,249,287,266,194,222,101,294,355,331,199,675,252,239,208,186
2020년04월_여_90~99세,560,55,39,36,32,29,29,15,35,43,48,25,66,35,26,11,36
2020년04월_여_100세 이상,29,2,2,1,0,1,5,1,1,2,2,0,4,4,1,2,1
