,경상북도 영천시,경상북도 영천시 금호읍,경상북도 영천시 청통면,경상북도 영천시 신녕면,경상북도 영천시 화산면,경상북도 영천시 화북면,경상북도 영천시 화남면,경상북도 영천시 자양면,경상북도 영천시 임고면,경상북도 영천시 고경면,경상북도 영천시 북안면,경상북도 영천시 대창면,경상북도 영천시 동부동,경상북도 영천시 중앙동,경상북도 영천시 서부동,경상북도 영천시 완산동,경상북도 영천시 남부동
2021년06월_계_총인구수,"102,099","10,902","4,065","3,846","3,188","2,223","3,198","1,223","4,221","5,810","4,438","3,074","28,541","9,705","4,721","8,841","4,103"
2021년06월_계_연령구간인구수,"102,099","10,902","4,065","3,846","3,188","2,223","3,198","1,223","4,221","5,810","4,438","3,074","28,541","9,705","4,721","8,841","4,103"
2021년06월_계_0~9세,"5,665",400,107,103,71,59,74,14,113,237,78,84,"2,384",725,159,823,234
2021년06월_계_10~19세,"6,677",472,131,209,93,96,130,38,140,211,129,83,"2,812",927,274,741,191
2021년06월_계_20~29세,"10,069",936,279,214,171,114,179,83,256,916,255,204,"3,409","1,247",475,956,375
2021년06월_계_30~39세,"9,266",765,272,205,170,92,164,39,212,435,224,190,"3,395","1,097",377,"1,205",424
2021년06월_계_40~49세,"12,445","1,211",352,336,259,163,232,67,358,497,391,240,"4,522","1,458",518,"1,360",481
2021년06월_계_50~59세,"18,069","2,211",714,637,566,398,587,261,705,837,767,556,"5,106","1,655",864,"1,418",787
2021년06월_계_60~69세,"19,298","2,364","1,052",962,783,584,845,315,"1,015","1,165","1,143",857,"3,927","1,339",979,"1,210",758
2021년06월_계_70~79세,"12,601","1,586",720,691,622,386,600,221,858,901,848,508,"1,890",812,687,756,515
2021년06월_계_80~89세,"7,160",868,390,431,404,287,338,163,506,554,536,312,988,398,349,341,295
2021년06월_계_90~99세,826,87,47,57,48,42,48,21,58,55,63,39,104,46,38,30,43
2021년06월_계_100세 이상,23,2,1,1,1,2,1,1,0,2,4,1,4,1,1,1,0
2021년06월_남_총인구수,"51,967","5,705","2,115","1,887","1,670","1,107","1,679",608,"2,136","3,219","2,297","1,629","14,031","4,910","2,356","4,395","2,223"
2021년06월_남_연령구간인구수,"51,967","5,705","2,115","1,887","1,670","1,107","1,679",608,"2,136","3,219","2,297","1,629","14,031","4,910","2,356","4,395","2,223"
2021년06월_남_0~9세,"2,873",202,61,58,41,36,35,7,60,126,34,41,"1,187",381,77,403,124
2021년06월_남_10~19세,"3,600",286,74,103,55,53,97,21,76,111,68,42,"1,488",472,140,409,105
2021년06월_남_20~29세,"6,010",536,167,133,125,64,114,46,155,730,155,116,"1,934",713,262,520,240
2021년06월_남_30~39세,"5,032",426,168,120,96,55,103,24,115,258,138,124,"1,756",573,214,611,251
2021년06월_남_40~49세,"6,836",705,221,187,158,98,153,42,223,308,238,162,"2,247",784,305,707,298
2021년06월_남_50~59세,"9,661","1,269",392,366,343,214,331,133,396,453,437,336,"2,541",810,471,706,463
2021년06월_남_60~69세,"9,759","1,230",547,468,432,313,440,179,507,619,614,455,"1,800",689,476,586,404
2021년06월_남_70~79세,"5,664",732,351,297,284,175,288,94,394,420,421,236,784,342,293,320,233
2021년06월_남_80~89세,"2,336",296,125,147,123,93,106,56,191,179,179,106,272,137,108,123,95
2021년06월_남_90~99세,191,22,9,7,13,5,12,6,19,15,12,10,22,9,10,10,10
2021년06월_남_100세 이상,5,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0
2021년06월_여_총인구수,"50,132","5,197","1,950","1,959","1,518","1,116","1,519",615,"2,085","2,591","2,141","1,445","14,510","4,795","2,365","4,446","1,880"
2021년06월_여_연령구간인구수,"50,132","5,197","1,950","1,959","1,518","1,116","1,519",615,"2,085","2,591","2,141","1,445","14,510","4,795","2,365","4,446","1,880"
2021년06월_여_0~9세,"2,792",198,46,45,30,23,39,7,53,111,44,43,"1,197",344,82,420,110
2021년06월_여_10~19세,"3,077",186,57,106,38,43,33,17,64,100,61,41,"1,324",455,134,332,86
2021년06월_여_20~29세,"4,059",400,112,81,46,50,65,37,101,186,100,88,"1,475",534,213,436,135
2021년06월_여_30~39세,"4,234",339,104,85,74,37,61,15,97,177,86,66,"1,639",524,163,594,173
2021년06월_여_40~49세,"5,609",506,131,149,101,65,79,25,135,189,153,78,"2,275",674,213,653,183
2021년06월_여_50~59세,"8,408",942,322,271,223,184,256,128,309,384,330,220,"2,565",845,393,712,324
2021년06월_여_60~69세,"9,539","1,134",505,494,351,271,405,136,508,546,529,402,"2,127",650,503,624,354
2021년06월_여_70~79세,"6,937",854,369,394,338,211,312,127,464,481,427,272,"1,106",470,394,436,282
2021년06월_여_80~89세,"4,824",572,265,284,281,194,232,107,315,375,357,206,716,261,241,218,200
2021년06월_여_90~99세,635,65,38,50,35,37,36,15,39,40,51,29,82,37,28,20,33
2021년06월_여_100세 이상,18,1,1,0,1,1,1,1,0,2,3,0,4,1,1,1,0
