,경상북도 예천군,경상북도 예천군 예천읍,경상북도 예천군 용문면,경상북도 예천군 감천면,경상북도 예천군 보문면,경상북도 예천군 호명면,경상북도 예천군 유천면,경상북도 예천군 용궁면,경상북도 예천군 개포면,경상북도 예천군 지보면,경상북도 예천군 풍양면,경상북도 예천군 효자면,경상북도 예천군 은풍면
2021년05월_계_총인구수,"55,800","14,633","2,301","2,643","1,690","19,755","2,540","2,394","1,497","2,684","3,129","1,176","1,358"
2021년05월_계_연령구간인구수,"55,800","14,633","2,301","2,643","1,690","19,755","2,540","2,394","1,497","2,684","3,129","1,176","1,358"
2021년05월_계_0~9세,"4,566",770,65,53,56,"3,256",152,47,17,44,49,23,34
2021년05월_계_10~19세,"4,421","1,177",111,80,53,"2,442",111,83,35,83,115,54,77
2021년05월_계_20~29세,"4,115","1,317",86,137,52,"1,772",213,108,52,90,174,46,68
2021년05월_계_30~39세,"5,413","1,114",75,115,83,"3,363",211,96,40,108,118,40,50
2021년05월_계_40~49세,"7,161","1,853",173,152,115,"3,739",237,199,91,187,228,81,106
2021년05월_계_50~59세,"7,975","2,427",337,413,258,"2,372",327,347,207,387,481,209,210
2021년05월_계_60~69세,"9,656","2,909",518,702,418,"1,505",459,584,406,710,757,368,320
2021년05월_계_70~79세,"6,725","1,820",481,503,337,737,409,496,319,557,616,182,268
2021년05월_계_80~89세,"5,065","1,090",410,422,282,494,362,381,298,462,526,146,192
2021년05월_계_90~99세,680,153,44,65,36,73,57,49,31,52,64,27,29
2021년05월_계_100세 이상,23,3,1,1,0,2,2,4,1,4,1,0,4
2021년05월_남_총인구수,"27,416","7,230","1,155","1,320",834,"9,679","1,253","1,159",721,"1,325","1,491",577,672
2021년05월_남_연령구간인구수,"27,416","7,230","1,155","1,320",834,"9,679","1,253","1,159",721,"1,325","1,491",577,672
2021년05월_남_0~9세,"2,307",384,36,26,28,"1,651",81,23,5,23,23,11,16
2021년05월_남_10~19세,"2,345",653,69,42,33,"1,254",56,46,20,46,56,34,36
2021년05월_남_20~29세,"2,313",774,49,93,27,922,134,60,31,52,106,22,43
2021년05월_남_30~39세,"2,719",582,40,72,43,"1,576",120,57,24,72,83,19,31
2021년05월_남_40~49세,"3,880",997,112,107,81,"1,852",154,132,62,134,139,49,61
2021년05월_남_50~59세,"4,184","1,205",201,223,159,"1,174",195,191,126,227,257,101,125
2021년05월_남_60~69세,"4,814","1,384",278,375,223,742,212,282,212,362,378,203,163
2021년05월_남_70~79세,"3,017",828,214,219,142,343,181,220,136,255,268,93,118
2021년05월_남_80~89세,"1,706",396,146,145,87,156,107,137,102,147,171,39,73
2021년05월_남_90~99세,129,27,10,17,11,9,13,11,3,6,10,6,6
2021년05월_남_100세 이상,2,0,0,1,0,0,0,0,0,1,0,0,0
2021년05월_여_총인구수,"28,384","7,403","1,146","1,323",856,"10,076","1,287","1,235",776,"1,359","1,638",599,686
2021년05월_여_연령구간인구수,"28,384","7,403","1,146","1,323",856,"10,076","1,287","1,235",776,"1,359","1,638",599,686
2021년05월_여_0~9세,"2,259",386,29,27,28,"1,605",71,24,12,21,26,12,18
2021년05월_여_10~19세,"2,076",524,42,38,20,"1,188",55,37,15,37,59,20,41
2021년05월_여_20~29세,"1,802",543,37,44,25,850,79,48,21,38,68,24,25
2021년05월_여_30~39세,"2,694",532,35,43,40,"1,787",91,39,16,36,35,21,19
2021년05월_여_40~49세,"3,281",856,61,45,34,"1,887",83,67,29,53,89,32,45
2021년05월_여_50~59세,"3,791","1,222",136,190,99,"1,198",132,156,81,160,224,108,85
2021년05월_여_60~69세,"4,842","1,525",240,327,195,763,247,302,194,348,379,165,157
2021년05월_여_70~79세,"3,708",992,267,284,195,394,228,276,183,302,348,89,150
2021년05월_여_80~89세,"3,359",694,264,277,195,338,255,244,196,315,355,107,119
2021년05월_여_90~99세,551,126,34,48,25,64,44,38,28,46,54,21,23
2021년05월_여_100세 이상,21,3,1,0,0,2,2,4,1,3,1,0,4
