카테고리,경상북도 울릉군,경상북도 울릉군 울릉읍,경상북도 울릉군 서면,경상북도 울릉군 서면태하출장소,경상북도 울릉군 북면
2020년07월_계_총인구수,"9,250","6,538",870,467,"1,375"
2020년07월_계_연령구간인구수,"9,250","6,538",870,467,"1,375"
2020년07월_계_0~9세,425,308,39,19,59
2020년07월_계_10~19세,476,377,38,16,45
2020년07월_계_20~29세,846,619,75,27,125
2020년07월_계_30~39세,933,690,57,40,146
2020년07월_계_40~49세,"1,325","1,012",96,34,183
2020년07월_계_50~59세,"1,886","1,343",197,94,252
2020년07월_계_60~69세,"1,745","1,202",173,102,268
2020년07월_계_70~79세,"1,031",662,112,86,171
2020년07월_계_80~89세,494,278,76,32,108
2020년07월_계_90~99세,78,36,7,17,18
2020년07월_계_100세 이상,11,11,0,0,0
2020년07월_남_총인구수,"5,039","3,566",465,248,760
2020년07월_남_연령구간인구수,"5,039","3,566",465,248,760
2020년07월_남_0~9세,220,163,19,12,26
2020년07월_남_10~19세,237,174,26,11,26
2020년07월_남_20~29세,505,360,49,12,84
2020년07월_남_30~39세,555,414,30,24,87
2020년07월_남_40~49세,822,619,59,23,121
2020년07월_남_50~59세,"1,079",768,115,52,144
2020년07월_남_60~69세,927,638,98,50,141
2020년07월_남_70~79세,470,302,42,46,80
2020년07월_남_80~89세,197,113,25,12,47
2020년07월_남_90~99세,22,10,2,6,4
2020년07월_남_100세 이상,5,5,0,0,0
2020년07월_여_총인구수,"4,211","2,972",405,219,615
2020년07월_여_연령구간인구수,"4,211","2,972",405,219,615
2020년07월_여_0~9세,205,145,20,7,33
2020년07월_여_10~19세,239,203,12,5,19
2020년07월_여_20~29세,341,259,26,15,41
2020년07월_여_30~39세,378,276,27,16,59
2020년07월_여_40~49세,503,393,37,11,62
2020년07월_여_50~59세,807,575,82,42,108
2020년07월_여_60~69세,818,564,75,52,127
2020년07월_여_70~79세,561,360,70,40,91
2020년07월_여_80~89세,297,165,51,20,61
2020년07월_여_90~99세,56,26,5,11,14
2020년07월_여_100세 이상,6,6,0,0,0
