,경상북도 울릉군,경상북도 울릉군 울릉읍,경상북도 울릉군 서면,경상북도 울릉군 서면태하출장소,경상북도 울릉군 북면
2021년04월_계_총인구수,"9,035","6,419",868,434,"1,314"
2021년04월_계_연령구간인구수,"9,035","6,419",868,434,"1,314"
2021년04월_계_0~9세,392,293,37,14,48
2021년04월_계_10~19세,445,349,38,17,41
2021년04월_계_20~29세,824,610,77,21,116
2021년04월_계_30~39세,851,652,62,32,105
2021년04월_계_40~49세,"1,256",954,97,27,178
2021년04월_계_50~59세,"1,811","1,304",183,86,238
2021년04월_계_60~69세,"1,789","1,232",175,100,282
2021년04월_계_70~79세,"1,059",685,116,87,171
2021년04월_계_80~89세,513,288,76,34,115
2021년04월_계_90~99세,81,38,7,16,20
2021년04월_계_100세 이상,14,14,0,0,0
2021년04월_남_총인구수,"4,961","3,532",474,235,720
2021년04월_남_연령구간인구수,"4,961","3,532",474,235,720
2021년04월_남_0~9세,201,152,17,8,24
2021년04월_남_10~19세,227,168,26,12,21
2021년04월_남_20~29세,506,363,62,8,73
2021년04월_남_30~39세,521,401,36,21,63
2021년04월_남_40~49세,768,572,59,20,117
2021년04월_남_50~59세,"1,068",774,104,49,141
2021년04월_남_60~69세,945,649,96,52,148
2021년04월_남_70~79세,494,318,49,47,80
2021년04월_남_80~89세,204,120,23,13,48
2021년04월_남_90~99세,22,10,2,5,5
2021년04월_남_100세 이상,5,5,0,0,0
2021년04월_여_총인구수,"4,074","2,887",394,199,594
2021년04월_여_연령구간인구수,"4,074","2,887",394,199,594
2021년04월_여_0~9세,191,141,20,6,24
2021년04월_여_10~19세,218,181,12,5,20
2021년04월_여_20~29세,318,247,15,13,43
2021년04월_여_30~39세,330,251,26,11,42
2021년04월_여_40~49세,488,382,38,7,61
2021년04월_여_50~59세,743,530,79,37,97
2021년04월_여_60~69세,844,583,79,48,134
2021년04월_여_70~79세,565,367,67,40,91
2021년04월_여_80~89세,309,168,53,21,67
2021년04월_여_90~99세,59,28,5,11,15
2021년04월_여_100세 이상,9,9,0,0,0
