카테고리,경상북도 울진군,경상북도 울진군 울진읍,경상북도 울진군 평해읍,경상북도 울진군 북면,경상북도 울진군 북면하당출장소,경상북도 울진군 근남면,경상북도 울진군 기성면,경상북도 울진군 온정면,경상북도 울진군 죽변면,경상북도 울진군 후포면,경상북도 울진군 금강송면,경상북도 울진군 매화면
2021년08월_계_총인구수,"48,125","13,907","2,773","6,670",691,"2,762","2,517","1,721","6,355","7,446","1,266","2,017"
2021년08월_계_연령구간인구수,"48,125","13,907","2,773","6,670",691,"2,762","2,517","1,721","6,355","7,446","1,266","2,017"
2021년08월_계_0~9세,"2,797","1,047",57,762,6,105,55,47,293,353,22,50
2021년08월_계_10~19세,"3,599","1,594",208,467,22,117,91,63,377,546,35,79
2021년08월_계_20~29세,"4,354","1,566",166,734,42,192,166,93,650,611,36,98
2021년08월_계_30~39세,"4,116","1,340",154,"1,056",25,171,124,57,548,526,36,79
2021년08월_계_40~49세,"6,071","2,275",213,975,61,279,150,140,804,912,104,158
2021년08월_계_50~59세,"8,350","2,393",443,"1,044",138,488,408,264,"1,212","1,331",294,335
2021년08월_계_60~69세,"8,709","1,843",571,827,154,612,600,397,"1,282","1,636",326,461
2021년08월_계_70~79세,"5,551","1,072",501,457,124,379,438,331,691,982,222,354
2021년08월_계_80~89세,"3,877",662,387,305,103,354,394,279,434,457,169,333
2021년08월_계_90~99세,686,112,71,41,16,64,90,50,61,91,21,69
2021년08월_계_100세 이상,15,3,2,2,0,1,1,0,3,1,1,1
2021년08월_남_총인구수,"24,146","7,040","1,329","3,525",357,"1,386","1,203",827,"3,260","3,645",622,952
2021년08월_남_연령구간인구수,"24,146","7,040","1,329","3,525",357,"1,386","1,203",827,"3,260","3,645",622,952
2021년08월_남_0~9세,"1,449",553,33,387,4,58,28,21,146,183,12,24
2021년08월_남_10~19세,"1,929",834,145,243,12,61,42,37,206,292,18,39
2021년08월_남_20~29세,"2,584",907,99,448,23,107,113,55,395,355,24,58
2021년08월_남_30~39세,"2,251",707,85,564,18,102,77,34,314,276,23,51
2021년08월_남_40~49세,"3,318","1,140",128,555,42,172,86,76,465,499,53,102
2021년08월_남_50~59세,"4,576","1,267",246,604,91,286,231,156,655,684,159,197
2021년08월_남_60~69세,"4,328",933,262,419,83,313,303,203,642,765,174,231
2021년08월_남_70~79세,"2,421",463,198,216,49,162,187,143,313,432,103,155
2021년08월_남_80~89세,"1,173",221,117,88,34,114,120,92,112,141,47,87
2021년08월_남_90~99세,117,15,16,1,1,11,16,10,12,18,9,8
2021년08월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0,0
2021년08월_여_총인구수,"23,979","6,867","1,444","3,145",334,"1,376","1,314",894,"3,095","3,801",644,"1,065"
2021년08월_여_연령구간인구수,"23,979","6,867","1,444","3,145",334,"1,376","1,314",894,"3,095","3,801",644,"1,065"
2021년08월_여_0~9세,"1,348",494,24,375,2,47,27,26,147,170,10,26
2021년08월_여_10~19세,"1,670",760,63,224,10,56,49,26,171,254,17,40
2021년08월_여_20~29세,"1,770",659,67,286,19,85,53,38,255,256,12,40
2021년08월_여_30~39세,"1,865",633,69,492,7,69,47,23,234,250,13,28
2021년08월_여_40~49세,"2,753","1,135",85,420,19,107,64,64,339,413,51,56
2021년08월_여_50~59세,"3,774","1,126",197,440,47,202,177,108,557,647,135,138
2021년08월_여_60~69세,"4,381",910,309,408,71,299,297,194,640,871,152,230
2021년08월_여_70~79세,"3,130",609,303,241,75,217,251,188,378,550,119,199
2021년08월_여_80~89세,"2,704",441,270,217,69,240,274,187,322,316,122,246
2021년08월_여_90~99세,569,97,55,40,15,53,74,40,49,73,12,61
2021년08월_여_100세 이상,15,3,2,2,0,1,1,0,3,1,1,1
