카테고리,경상북도 의성군,경상북도 의성군 의성읍,경상북도 의성군 단촌면,경상북도 의성군 점곡면,경상북도 의성군 옥산면,경상북도 의성군 사곡면,경상북도 의성군 춘산면,경상북도 의성군 가음면,경상북도 의성군 금성면,경상북도 의성군 봉양면,경상북도 의성군 비안면,경상북도 의성군 구천면,경상북도 의성군 단밀면,경상북도 의성군 단북면,경상북도 의성군 안계면,경상북도 의성군 다인면,경상북도 의성군 신평면,경상북도 의성군 안평면,경상북도 의성군 안사면
2020년01월_계_총인구수,"52,674","13,756","2,013","1,642","1,855","1,593","1,506","1,476","4,414","3,984","2,581","1,820","1,823","1,848","4,635","3,903",798,"2,178",849
2020년01월_계_연령구간인구수,"52,674","13,756","2,013","1,642","1,855","1,593","1,506","1,476","4,414","3,984","2,581","1,820","1,823","1,848","4,635","3,903",798,"2,178",849
2020년01월_계_0~9세,"2,016",868,28,39,43,31,36,28,140,154,88,47,42,41,240,105,19,53,14
2020년01월_계_10~19세,"2,478","1,072",67,45,55,38,60,47,160,153,63,46,68,59,297,138,12,73,25
2020년01월_계_20~29세,"3,438","1,217",97,82,105,79,67,68,255,280,136,98,122,110,364,210,27,92,29
2020년01월_계_30~39세,"3,480","1,289",104,75,75,58,82,80,257,306,126,103,97,95,342,223,29,93,46
2020년01월_계_40~49세,"4,931","1,806",164,106,167,118,82,97,364,360,201,135,134,137,504,299,50,152,55
2020년01월_계_50~59세,"9,185","2,367",334,274,350,300,301,270,730,715,447,325,322,326,796,667,148,370,143
2020년01월_계_60~69세,"11,364","2,489",506,401,452,395,405,387,"1,012",897,621,438,371,420,828,870,165,525,182
2020년01월_계_70~79세,"9,027","1,662",402,357,362,293,265,270,860,647,497,342,350,354,731,804,197,447,187
2020년01월_계_80~89세,"5,952",846,278,244,219,244,177,204,543,413,357,255,290,280,470,523,133,325,151
2020년01월_계_90~99세,762,129,31,19,26,37,28,24,87,56,42,30,25,24,62,63,18,45,16
2020년01월_계_100세 이상,41,11,2,0,1,0,3,1,6,3,3,1,2,2,1,1,0,3,1
2020년01월_남_총인구수,"25,792","6,787",992,812,898,761,756,744,"2,196","1,932","1,236",926,890,885,"2,192","1,930",375,"1,082",398
2020년01월_남_연령구간인구수,"25,792","6,787",992,812,898,761,756,744,"2,196","1,932","1,236",926,890,885,"2,192","1,930",375,"1,082",398
2020년01월_남_0~9세,"1,049",468,15,24,27,15,16,17,79,73,34,20,23,25,116,57,7,25,8
2020년01월_남_10~19세,"1,287",574,40,19,19,19,32,20,84,81,31,28,34,30,139,74,5,42,16
2020년01월_남_20~29세,"1,981",679,64,50,57,48,49,40,153,158,79,54,75,65,201,127,17,49,16
2020년01월_남_30~39세,"1,919",657,64,54,48,30,47,50,146,160,75,67,55,53,183,133,14,55,28
2020년01월_남_40~49세,"2,898",974,117,71,100,82,44,63,222,210,124,94,81,82,272,199,26,103,34
2020년01월_남_50~59세,"4,969","1,216",184,152,191,159,153,150,402,411,248,185,180,194,418,353,84,202,87
2020년01월_남_60~69세,"5,648","1,191",254,198,227,198,226,212,511,412,308,230,179,208,396,438,93,282,85
2020년01월_남_70~79세,"3,903",727,152,164,151,135,122,113,387,282,219,153,151,134,314,358,75,196,70
2020년01월_남_80~89세,"1,961",270,96,79,73,70,59,74,190,132,109,89,107,87,140,168,48,118,52
2020년01월_남_90~99세,169,29,6,1,4,5,7,4,21,13,9,6,5,7,13,22,6,9,2
2020년01월_남_100세 이상,8,2,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0
2020년01월_여_총인구수,"26,882","6,969","1,021",830,957,832,750,732,"2,218","2,052","1,345",894,933,963,"2,443","1,973",423,"1,096",451
2020년01월_여_연령구간인구수,"26,882","6,969","1,021",830,957,832,750,732,"2,218","2,052","1,345",894,933,963,"2,443","1,973",423,"1,096",451
2020년01월_여_0~9세,967,400,13,15,16,16,20,11,61,81,54,27,19,16,124,48,12,28,6
2020년01월_여_10~19세,"1,191",498,27,26,36,19,28,27,76,72,32,18,34,29,158,64,7,31,9
2020년01월_여_20~29세,"1,457",538,33,32,48,31,18,28,102,122,57,44,47,45,163,83,10,43,13
2020년01월_여_30~39세,"1,561",632,40,21,27,28,35,30,111,146,51,36,42,42,159,90,15,38,18
2020년01월_여_40~49세,"2,033",832,47,35,67,36,38,34,142,150,77,41,53,55,232,100,24,49,21
2020년01월_여_50~59세,"4,216","1,151",150,122,159,141,148,120,328,304,199,140,142,132,378,314,64,168,56
2020년01월_여_60~69세,"5,716","1,298",252,203,225,197,179,175,501,485,313,208,192,212,432,432,72,243,97
2020년01월_여_70~79세,"5,124",935,250,193,211,158,143,157,473,365,278,189,199,220,417,446,122,251,117
2020년01월_여_80~89세,"3,991",576,182,165,146,174,118,130,353,281,248,166,183,193,330,355,85,207,99
2020년01월_여_90~99세,593,100,25,18,22,32,21,20,66,43,33,24,20,17,49,41,12,36,14
2020년01월_여_100세 이상,33,9,2,0,0,0,2,0,5,3,3,1,2,2,1,0,0,2,1
