,경상북도 의성군,경상북도 의성군 의성읍,경상북도 의성군 단촌면,경상북도 의성군 점곡면,경상북도 의성군 옥산면,경상북도 의성군 사곡면,경상북도 의성군 춘산면,경상북도 의성군 가음면,경상북도 의성군 금성면,경상북도 의성군 봉양면,경상북도 의성군 비안면,경상북도 의성군 구천면,경상북도 의성군 단밀면,경상북도 의성군 단북면,경상북도 의성군 안계면,경상북도 의성군 다인면,경상북도 의성군 신평면,경상북도 의성군 안평면,경상북도 의성군 안사면
2020년12월_계_총인구수,"51,724","13,447","1,937","1,598","1,820","1,565","1,468","1,466","4,334","3,953","2,553","1,821","1,756","1,802","4,585","3,822",815,"2,143",839
2020년12월_계_연령구간인구수,"51,724","13,447","1,937","1,598","1,820","1,565","1,468","1,466","4,334","3,953","2,553","1,821","1,756","1,802","4,585","3,822",815,"2,143",839
2020년12월_계_0~9세,"1,911",806,24,38,36,24,34,35,131,154,91,41,42,35,237,94,23,50,16
2020년12월_계_10~19세,"2,296","1,023",62,38,53,36,51,42,149,140,48,47,58,56,258,130,13,68,24
2020년12월_계_20~29세,"3,154","1,146",84,67,91,61,60,57,236,258,119,85,99,105,364,194,22,78,28
2020년12월_계_30~39세,"3,243","1,192",89,74,73,52,76,72,233,281,130,94,90,81,346,199,31,86,44
2020년12월_계_40~49세,"4,700","1,755",143,98,143,106,68,97,356,360,185,132,127,120,495,278,47,140,50
2020년12월_계_50~59세,"8,714","2,235",321,256,344,291,263,245,681,712,427,320,302,316,768,618,147,335,133
2020년12월_계_60~69세,"11,789","2,551",530,419,487,420,437,419,"1,021",919,648,460,375,429,847,889,175,562,201
2020년12월_계_70~79세,"8,938","1,706",371,331,353,293,263,261,867,643,490,338,342,358,723,799,188,436,176
2020년12월_계_80~89세,"6,135",888,286,250,216,240,185,206,559,421,369,270,290,274,484,558,147,344,148
2020년12월_계_90~99세,796,134,25,27,23,42,28,28,94,61,44,33,30,26,61,60,22,40,18
2020년12월_계_100세 이상,48,11,2,0,1,0,3,4,7,4,2,1,1,2,2,3,0,4,1
2020년12월_남_총인구수,"25,265","6,590",958,786,893,745,751,733,"2,124","1,903","1,238",909,868,861,"2,177","1,880",391,"1,064",394
2020년12월_남_연령구간인구수,"25,265","6,590",958,786,893,745,751,733,"2,124","1,903","1,238",909,868,861,"2,177","1,880",391,"1,064",394
2020년12월_남_0~9세,"1,002",435,17,23,24,10,13,20,75,72,41,17,24,22,115,49,11,24,10
2020년12월_남_10~19세,"1,203",548,38,19,21,20,31,18,76,72,26,29,30,28,118,70,8,36,15
2020년12월_남_20~29세,"1,814",635,55,40,49,31,41,32,137,143,75,47,68,62,204,121,15,45,14
2020년12월_남_30~39세,"1,804",613,58,50,47,30,46,43,129,149,77,57,53,49,190,125,13,50,25
2020년12월_남_40~49세,"2,753",933,98,64,92,74,37,60,214,214,119,91,80,74,267,179,27,99,31
2020년12월_남_50~59세,"4,714","1,155",182,141,185,157,139,136,368,401,230,175,166,186,409,329,87,188,80
2020년12월_남_60~69세,"5,919","1,214",267,211,250,211,245,236,526,424,327,243,187,222,412,452,98,289,105
2020년12월_남_70~79세,"3,877",740,146,150,146,132,122,108,388,284,226,156,151,134,306,347,73,201,67
2020년12월_남_80~89세,"1,995",287,95,85,73,73,70,75,179,129,110,87,103,77,147,186,52,122,45
2020년12월_남_90~99세,175,28,2,3,5,7,6,4,31,15,7,7,6,7,9,20,7,9,2
2020년12월_남_100세 이상,9,2,0,0,1,0,1,1,1,0,0,0,0,0,0,2,0,1,0
2020년12월_여_총인구수,"26,459","6,857",979,812,927,820,717,733,"2,210","2,050","1,315",912,888,941,"2,408","1,942",424,"1,079",445
2020년12월_여_연령구간인구수,"26,459","6,857",979,812,927,820,717,733,"2,210","2,050","1,315",912,888,941,"2,408","1,942",424,"1,079",445
2020년12월_여_0~9세,909,371,7,15,12,14,21,15,56,82,50,24,18,13,122,45,12,26,6
2020년12월_여_10~19세,"1,093",475,24,19,32,16,20,24,73,68,22,18,28,28,140,60,5,32,9
2020년12월_여_20~29세,"1,340",511,29,27,42,30,19,25,99,115,44,38,31,43,160,73,7,33,14
2020년12월_여_30~39세,"1,439",579,31,24,26,22,30,29,104,132,53,37,37,32,156,74,18,36,19
2020년12월_여_40~49세,"1,947",822,45,34,51,32,31,37,142,146,66,41,47,46,228,99,20,41,19
2020년12월_여_50~59세,"4,000","1,080",139,115,159,134,124,109,313,311,197,145,136,130,359,289,60,147,53
2020년12월_여_60~69세,"5,870","1,337",263,208,237,209,192,183,495,495,321,217,188,207,435,437,77,273,96
2020년12월_여_70~79세,"5,061",966,225,181,207,161,141,153,479,359,264,182,191,224,417,452,115,235,109
2020년12월_여_80~89세,"4,140",601,191,165,143,167,115,131,380,292,259,183,187,197,337,372,95,222,103
2020년12월_여_90~99세,621,106,23,24,18,35,22,24,63,46,37,26,24,19,52,40,15,31,16
2020년12월_여_100세 이상,39,9,2,0,0,0,2,3,6,4,2,1,1,2,2,1,0,3,1
