,경상북도 청도군,경상북도 청도군 화양읍,경상북도 청도군 화양읍남성현출장소,경상북도 청도군 청도읍,경상북도 청도군 청도읍유호출장소,경상북도 청도군 각남면,경상북도 청도군 풍각면,경상북도 청도군 각북면,경상북도 청도군 이서면,경상북도 청도군 운문면,경상북도 청도군 금천면,경상북도 청도군 매전면
2021년08월_계_총인구수,"41,736","7,139","1,109","10,111","1,586","2,143","3,880","2,219","4,456","2,078","3,276","3,739"
2021년08월_계_연령구간인구수,"41,736","7,139","1,109","10,111","1,586","2,143","3,880","2,219","4,456","2,078","3,276","3,739"
2021년08월_계_0~9세,"1,431",451,39,401,44,53,121,57,122,31,58,54
2021년08월_계_10~19세,"2,199",648,26,707,44,68,146,65,253,40,96,106
2021년08월_계_20~29세,"2,662",591,57,798,67,113,205,111,252,122,166,180
2021년08월_계_30~39세,"2,604",602,89,790,78,106,249,100,233,92,117,148
2021년08월_계_40~49세,"4,258","1,001",93,"1,281",134,152,331,142,429,166,260,269
2021년08월_계_50~59세,"7,087","1,185",167,"1,746",239,329,651,428,744,420,555,623
2021년08월_계_60~69세,"9,849","1,308",271,"2,153",452,540,"1,009",607,"1,087",540,854,"1,028"
2021년08월_계_70~79세,"6,647",791,195,"1,365",321,442,628,402,770,338,661,734
2021년08월_계_80~89세,"4,358",489,149,770,181,292,476,270,475,291,441,524
2021년08월_계_90~99세,631,72,22,98,26,48,63,36,90,38,66,72
2021년08월_계_100세 이상,10,1,1,2,0,0,1,1,1,0,2,1
2021년08월_남_총인구수,"20,518","3,502",557,"4,932",766,"1,027","1,899","1,095","2,181","1,026","1,667","1,866"
2021년08월_남_연령구간인구수,"20,518","3,502",557,"4,932",766,"1,027","1,899","1,095","2,181","1,026","1,667","1,866"
2021년08월_남_0~9세,740,241,19,190,17,31,63,33,62,20,36,28
2021년08월_남_10~19세,"1,128",321,19,354,28,37,64,26,143,27,55,54
2021년08월_남_20~29세,"1,563",350,27,447,42,67,124,71,141,74,103,117
2021년08월_남_30~39세,"1,403",296,53,430,44,59,134,51,115,53,73,95
2021년08월_남_40~49세,"2,355",517,64,681,84,93,195,70,236,81,169,165
2021년08월_남_50~59세,"3,777",608,92,901,127,169,362,231,400,230,317,340
2021년08월_남_60~69세,"4,993",647,132,"1,079",217,282,503,325,535,303,441,529
2021년08월_남_70~79세,"3,038",349,92,593,142,188,287,179,385,141,326,356
2021년08월_남_80~89세,"1,393",159,54,237,60,91,152,107,146,86,134,167
2021년08월_남_90~99세,127,14,4,20,5,10,15,2,18,11,13,15
2021년08월_남_100세 이상,1,0,1,0,0,0,0,0,0,0,0,0
2021년08월_여_총인구수,"21,218","3,637",552,"5,179",820,"1,116","1,981","1,124","2,275","1,052","1,609","1,873"
2021년08월_여_연령구간인구수,"21,218","3,637",552,"5,179",820,"1,116","1,981","1,124","2,275","1,052","1,609","1,873"
2021년08월_여_0~9세,691,210,20,211,27,22,58,24,60,11,22,26
2021년08월_여_10~19세,"1,071",327,7,353,16,31,82,39,110,13,41,52
2021년08월_여_20~29세,"1,099",241,30,351,25,46,81,40,111,48,63,63
2021년08월_여_30~39세,"1,201",306,36,360,34,47,115,49,118,39,44,53
2021년08월_여_40~49세,"1,903",484,29,600,50,59,136,72,193,85,91,104
2021년08월_여_50~59세,"3,310",577,75,845,112,160,289,197,344,190,238,283
2021년08월_여_60~69세,"4,856",661,139,"1,074",235,258,506,282,552,237,413,499
2021년08월_여_70~79세,"3,609",442,103,772,179,254,341,223,385,197,335,378
2021년08월_여_80~89세,"2,965",330,95,533,121,201,324,163,329,205,307,357
2021년08월_여_90~99세,504,58,18,78,21,38,48,34,72,27,53,57
2021년08월_여_100세 이상,9,1,0,2,0,0,1,1,1,0,2,1
