카테고리,경상북도 청도군,경상북도 청도군 화양읍,경상북도 청도군 화양읍남성현출장소,경상북도 청도군 청도읍,경상북도 청도군 청도읍유호출장소,경상북도 청도군 각남면,경상북도 청도군 풍각면,경상북도 청도군 각북면,경상북도 청도군 이서면,경상북도 청도군 운문면,경상북도 청도군 금천면,경상북도 청도군 매전면
2021년09월_계_총인구수,"41,670","7,148","1,105","10,098","1,577","2,136","3,878","2,226","4,440","2,058","3,271","3,733"
2021년09월_계_연령구간인구수,"41,670","7,148","1,105","10,098","1,577","2,136","3,878","2,226","4,440","2,058","3,271","3,733"
2021년09월_계_0~9세,"1,421",448,37,400,43,53,118,57,120,30,61,54
2021년09월_계_10~19세,"2,197",648,24,703,43,70,149,63,255,41,96,105
2021년09월_계_20~29세,"2,585",572,57,782,66,110,198,110,245,114,157,174
2021년09월_계_30~39세,"2,597",613,87,785,76,104,248,102,236,90,115,141
2021년09월_계_40~49세,"4,250","1,000",94,"1,278",130,150,330,146,426,163,263,270
2021년09월_계_50~59세,"7,085","1,187",162,"1,753",242,332,650,425,739,420,552,623
2021년09월_계_60~69세,"9,864","1,319",275,"2,157",445,530,"1,013",611,"1,084",539,857,"1,034"
2021년09월_계_70~79세,"6,643",795,196,"1,357",324,445,633,401,770,333,659,730
2021년09월_계_80~89세,"4,381",492,150,783,181,293,468,275,477,292,444,526
2021년09월_계_90~99세,637,73,22,98,27,49,70,35,87,36,65,75
2021년09월_계_100세 이상,10,1,1,2,0,0,1,1,1,0,2,1
2021년09월_남_총인구수,"20,484","3,500",556,"4,935",764,"1,016","1,902","1,099","2,173","1,021","1,660","1,858"
2021년09월_남_연령구간인구수,"20,484","3,500",556,"4,935",764,"1,016","1,902","1,099","2,173","1,021","1,660","1,858"
2021년09월_남_0~9세,730,240,17,191,16,29,60,32,60,19,38,28
2021년09월_남_10~19세,"1,125",320,17,351,27,37,67,26,144,28,55,53
2021년09월_남_20~29세,"1,518",337,29,443,43,64,122,70,135,72,94,109
2021년09월_남_30~39세,"1,406",305,51,430,43,57,135,52,119,53,71,90
2021년09월_남_40~49세,"2,351",513,65,679,81,90,195,73,235,81,172,167
2021년09월_남_50~59세,"3,774",610,89,909,130,170,359,227,396,229,316,339
2021년09월_남_60~69세,"5,007",651,137,"1,077",215,277,510,328,536,303,438,535
2021년09월_남_70~79세,"3,035",348,92,595,144,191,286,177,383,141,326,352
2021년09월_남_80~89세,"1,411",162,54,241,60,91,153,112,147,85,135,171
2021년09월_남_90~99세,126,14,4,19,5,10,15,2,18,10,15,14
2021년09월_남_100세 이상,1,0,1,0,0,0,0,0,0,0,0,0
2021년09월_여_총인구수,"21,186","3,648",549,"5,163",813,"1,120","1,976","1,127","2,267","1,037","1,611","1,875"
2021년09월_여_연령구간인구수,"21,186","3,648",549,"5,163",813,"1,120","1,976","1,127","2,267","1,037","1,611","1,875"
2021년09월_여_0~9세,691,208,20,209,27,24,58,25,60,11,23,26
2021년09월_여_10~19세,"1,072",328,7,352,16,33,82,37,111,13,41,52
2021년09월_여_20~29세,"1,067",235,28,339,23,46,76,40,110,42,63,65
2021년09월_여_30~39세,"1,191",308,36,355,33,47,113,50,117,37,44,51
2021년09월_여_40~49세,"1,899",487,29,599,49,60,135,73,191,82,91,103
2021년09월_여_50~59세,"3,311",577,73,844,112,162,291,198,343,191,236,284
2021년09월_여_60~69세,"4,857",668,138,"1,080",230,253,503,283,548,236,419,499
2021년09월_여_70~79세,"3,608",447,104,762,180,254,347,224,387,192,333,378
2021년09월_여_80~89세,"2,970",330,96,542,121,202,315,163,330,207,309,355
2021년09월_여_90~99세,511,59,18,79,22,39,55,33,69,26,50,61
2021년09월_여_100세 이상,9,1,0,2,0,0,1,1,1,0,2,1
