카테고리,경상북도 청송군,경상북도 청송군 청송읍,경상북도 청송군 주왕산면,경상북도 청송군 부남면,경상북도 청송군 현동면,경상북도 청송군 현서면,경상북도 청송군 안덕면,경상북도 청송군 파천면,경상북도 청송군 진보면
2020년10월_계_총인구수,"25,110","5,204","1,864","2,503","2,095","2,536","2,620","1,789","6,499"
2020년10월_계_연령구간인구수,"25,110","5,204","1,864","2,503","2,095","2,536","2,620","1,789","6,499"
2020년10월_계_0~9세,982,288,50,66,77,61,76,48,316
2020년10월_계_10~19세,"1,233",361,59,90,96,101,96,48,382
2020년10월_계_20~29세,"1,722",467,92,135,141,125,118,99,545
2020년10월_계_30~39세,"1,716",480,126,115,107,129,113,103,543
2020년10월_계_40~49세,"2,400",617,148,157,205,196,201,132,744
2020년10월_계_50~59세,"4,733","1,000",364,502,411,478,494,285,"1,199"
2020년10월_계_60~69세,"5,486",913,472,642,436,687,629,439,"1,268"
2020년10월_계_70~79세,"4,064",629,337,481,357,455,523,340,942
2020년10월_계_80~89세,"2,450",391,197,281,235,269,318,250,509
2020년10월_계_90~99세,302,49,19,32,28,34,50,43,47
2020년10월_계_100세 이상,22,9,0,2,2,1,2,2,4
2020년10월_남_총인구수,"12,541","2,599",925,"1,225","1,050","1,255","1,251",887,"3,349"
2020년10월_남_연령구간인구수,"12,541","2,599",925,"1,225","1,050","1,255","1,251",887,"3,349"
2020년10월_남_0~9세,504,159,23,34,39,34,38,21,156
2020년10월_남_10~19세,659,180,39,52,51,56,55,20,206
2020년10월_남_20~29세,"1,041",276,52,76,86,66,72,61,352
2020년10월_남_30~39세,"1,008",264,82,68,62,78,63,72,319
2020년10월_남_40~49세,"1,391",338,97,84,123,115,114,80,440
2020년10월_남_50~59세,"2,501",528,181,265,224,242,251,157,653
2020년10월_남_60~69세,"2,739",449,245,310,218,342,318,240,617
2020년10월_남_70~79세,"1,768",264,146,215,152,208,218,152,413
2020년10월_남_80~89세,863,133,57,114,87,107,111,75,179
2020년10월_남_90~99세,61,6,3,6,8,7,11,8,12
2020년10월_남_100세 이상,6,2,0,1,0,0,0,1,2
2020년10월_여_총인구수,"12,569","2,605",939,"1,278","1,045","1,281","1,369",902,"3,150"
2020년10월_여_연령구간인구수,"12,569","2,605",939,"1,278","1,045","1,281","1,369",902,"3,150"
2020년10월_여_0~9세,478,129,27,32,38,27,38,27,160
2020년10월_여_10~19세,574,181,20,38,45,45,41,28,176
2020년10월_여_20~29세,681,191,40,59,55,59,46,38,193
2020년10월_여_30~39세,708,216,44,47,45,51,50,31,224
2020년10월_여_40~49세,"1,009",279,51,73,82,81,87,52,304
2020년10월_여_50~59세,"2,232",472,183,237,187,236,243,128,546
2020년10월_여_60~69세,"2,747",464,227,332,218,345,311,199,651
2020년10월_여_70~79세,"2,296",365,191,266,205,247,305,188,529
2020년10월_여_80~89세,"1,587",258,140,167,148,162,207,175,330
2020년10월_여_90~99세,241,43,16,26,20,27,39,35,35
2020년10월_여_100세 이상,16,7,0,1,2,1,2,1,2
