,경상북도 청송군,경상북도 청송군 청송읍,경상북도 청송군 주왕산면,경상북도 청송군 부남면,경상북도 청송군 현동면,경상북도 청송군 현서면,경상북도 청송군 안덕면,경상북도 청송군 파천면,경상북도 청송군 진보면
2021년03월_계_총인구수,"24,907","5,207","1,827","2,499","2,087","2,508","2,608","1,784","6,387"
2021년03월_계_연령구간인구수,"24,907","5,207","1,827","2,499","2,087","2,508","2,608","1,784","6,387"
2021년03월_계_0~9세,961,286,48,64,77,55,72,53,306
2021년03월_계_10~19세,"1,196",356,52,97,95,100,93,52,351
2021년03월_계_20~29세,"1,640",461,91,126,133,112,113,88,516
2021년03월_계_30~39세,"1,673",480,117,120,103,128,112,101,512
2021년03월_계_40~49세,"2,341",604,139,160,198,177,199,127,737
2021년03월_계_50~59세,"4,662","1,009",355,478,418,469,489,279,"1,165"
2021년03월_계_60~69세,"5,607",933,472,663,445,712,629,457,"1,296"
2021년03월_계_70~79세,"3,979",620,329,467,347,443,527,331,915
2021년03월_계_80~89세,"2,520",402,201,290,241,273,324,254,535
2021년03월_계_90~99세,312,51,23,33,28,38,47,42,50
2021년03월_계_100세 이상,16,5,0,1,2,1,3,0,4
2021년03월_남_총인구수,"12,444","2,591",908,"1,229","1,035","1,252","1,254",888,"3,287"
2021년03월_남_연령구간인구수,"12,444","2,591",908,"1,229","1,035","1,252","1,254",888,"3,287"
2021년03월_남_0~9세,502,159,23,32,37,31,39,25,156
2021년03월_남_10~19세,632,172,33,56,52,57,53,21,188
2021년03월_남_20~29세,"1,000",270,54,75,81,62,73,52,333
2021년03월_남_30~39세,974,269,73,68,55,79,60,67,303
2021년03월_남_40~49세,"1,349",322,89,89,117,102,115,80,435
2021년03월_남_50~59세,"2,489",530,183,254,229,248,255,155,635
2021년03월_남_60~69세,"2,804",465,245,324,217,353,316,252,632
2021년03월_남_70~79세,"1,753",265,143,208,156,200,221,149,411
2021년03월_남_80~89세,880,133,62,116,85,113,111,78,182
2021년03월_남_90~99세,58,6,3,6,6,7,11,9,10
2021년03월_남_100세 이상,3,0,0,1,0,0,0,0,2
2021년03월_여_총인구수,"12,463","2,616",919,"1,270","1,052","1,256","1,354",896,"3,100"
2021년03월_여_연령구간인구수,"12,463","2,616",919,"1,270","1,052","1,256","1,354",896,"3,100"
2021년03월_여_0~9세,459,127,25,32,40,24,33,28,150
2021년03월_여_10~19세,564,184,19,41,43,43,40,31,163
2021년03월_여_20~29세,640,191,37,51,52,50,40,36,183
2021년03월_여_30~39세,699,211,44,52,48,49,52,34,209
2021년03월_여_40~49세,992,282,50,71,81,75,84,47,302
2021년03월_여_50~59세,"2,173",479,172,224,189,221,234,124,530
2021년03월_여_60~69세,"2,803",468,227,339,228,359,313,205,664
2021년03월_여_70~79세,"2,226",355,186,259,191,243,306,182,504
2021년03월_여_80~89세,"1,640",269,139,174,156,160,213,176,353
2021년03월_여_90~99세,254,45,20,27,22,31,36,33,40
2021년03월_여_100세 이상,13,5,0,0,2,1,3,0,2
