카테고리,경상북도 칠곡군,경상북도 칠곡군 왜관읍,경상북도 칠곡군 북삼읍,경상북도 칠곡군 석적읍,경상북도 칠곡군 지천면,경상북도 칠곡군 동명면,경상북도 칠곡군 가산면,경상북도 칠곡군 약목면,경상북도 칠곡군 기산면
2020년07월_계_총인구수,"115,177","33,652","23,485","31,469","4,312","5,421","3,481","10,070","3,287"
2020년07월_계_연령구간인구수,"115,177","33,652","23,485","31,469","4,312","5,421","3,481","10,070","3,287"
2020년07월_계_0~9세,"9,855","2,425","1,864","4,660",89,144,73,364,236
2020년07월_계_10~19세,"11,598","3,449","3,107","3,693",133,169,140,731,176
2020년07월_계_20~29세,"12,253","3,967","2,797","3,121",318,436,255,"1,123",236
2020년07월_계_30~39세,"15,617","3,582","2,406","7,629",290,366,228,775,341
2020년07월_계_40~49세,"20,608","5,563","5,072","6,789",390,524,359,"1,476",435
2020년07월_계_50~59세,"19,454","6,315","4,545","2,917",861,"1,181",763,"2,294",578
2020년07월_계_60~69세,"13,219","4,260","2,078","1,516",994,"1,298",830,"1,646",597
2020년07월_계_70~79세,"7,612","2,422","1,037",747,707,765,519,"1,022",393
2020년07월_계_80~89세,"4,318","1,457",516,348,465,453,258,565,256
2020년07월_계_90~99세,603,192,62,44,61,85,53,70,36
2020년07월_계_100세 이상,40,20,1,5,4,0,3,4,3
2020년07월_남_총인구수,"60,050","16,846","12,296","16,953","2,316","2,781","1,917","5,217","1,724"
2020년07월_남_연령구간인구수,"60,050","16,846","12,296","16,953","2,316","2,781","1,917","5,217","1,724"
2020년07월_남_0~9세,"5,079","1,246",978,"2,394",46,73,33,180,129
2020년07월_남_10~19세,"6,124","1,784","1,639","1,962",71,95,71,396,106
2020년07월_남_20~29세,"6,881","2,259","1,629","1,548",192,271,174,666,142
2020년07월_남_30~39세,"8,555","1,900","1,235","4,247",178,213,148,460,174
2020년07월_남_40~49세,"11,153","2,831","2,563","3,896",263,328,224,787,261
2020년07월_남_50~59세,"10,573","3,210","2,527","1,727",522,597,449,"1,230",311
2020년07월_남_60~69세,"6,843","2,110","1,095",737,561,694,454,862,330
2020년07월_남_70~79세,"3,274",975,445,324,309,369,253,427,172
2020년07월_남_80~89세,"1,418",475,169,105,162,133,92,193,89
2020년07월_남_90~99세,143,53,16,12,12,8,18,15,9
2020년07월_남_100세 이상,7,3,0,1,0,0,1,1,1
2020년07월_여_총인구수,"55,127","16,806","11,189","14,516","1,996","2,640","1,564","4,853","1,563"
2020년07월_여_연령구간인구수,"55,127","16,806","11,189","14,516","1,996","2,640","1,564","4,853","1,563"
2020년07월_여_0~9세,"4,776","1,179",886,"2,266",43,71,40,184,107
2020년07월_여_10~19세,"5,474","1,665","1,468","1,731",62,74,69,335,70
2020년07월_여_20~29세,"5,372","1,708","1,168","1,573",126,165,81,457,94
2020년07월_여_30~39세,"7,062","1,682","1,171","3,382",112,153,80,315,167
2020년07월_여_40~49세,"9,455","2,732","2,509","2,893",127,196,135,689,174
2020년07월_여_50~59세,"8,881","3,105","2,018","1,190",339,584,314,"1,064",267
2020년07월_여_60~69세,"6,376","2,150",983,779,433,604,376,784,267
2020년07월_여_70~79세,"4,338","1,447",592,423,398,396,266,595,221
2020년07월_여_80~89세,"2,900",982,347,243,303,320,166,372,167
2020년07월_여_90~99세,460,139,46,32,49,77,35,55,27
2020년07월_여_100세 이상,33,17,1,4,4,0,2,3,2
