,경상북도 칠곡군,경상북도 칠곡군 왜관읍,경상북도 칠곡군 북삼읍,경상북도 칠곡군 석적읍,경상북도 칠곡군 지천면,경상북도 칠곡군 동명면,경상북도 칠곡군 가산면,경상북도 칠곡군 약목면,경상북도 칠곡군 기산면
2021년10월_계_총인구수,"113,843","32,840","24,358","31,111","4,098","5,353","3,386","9,560","3,137"
2021년10월_계_연령구간인구수,"113,843","32,840","24,358","31,111","4,098","5,353","3,386","9,560","3,137"
2021년10월_계_0~9세,"8,807","2,171","1,752","4,145",77,122,64,281,195
2021년10월_계_10~19세,"11,389","3,282","3,133","3,801",99,167,111,618,178
2021년10월_계_20~29세,"11,592","3,704","2,856","2,970",282,388,215,980,197
2021년10월_계_30~39세,"13,886","3,261","2,362","6,572",241,329,192,634,295
2021년10월_계_40~49세,"20,515","5,271","5,108","7,275",351,463,341,"1,299",407
2021년10월_계_50~59세,"19,891","6,272","4,949","3,381",768,"1,074",704,"2,197",546
2021년10월_계_60~69세,"14,811","4,713","2,499","1,769","1,046","1,418",902,"1,829",635
2021년10월_계_70~79세,"7,664","2,433","1,067",755,690,784,534,"1,034",367
2021년10월_계_80~89세,"4,597","1,517",556,387,473,512,265,617,270
2021년10월_계_90~99세,669,204,76,55,70,94,58,68,44
2021년10월_계_100세 이상,22,12,0,1,1,2,0,3,3
2021년10월_남_총인구수,"59,251","16,449","12,638","16,780","2,204","2,731","1,846","4,968","1,635"
2021년10월_남_연령구간인구수,"59,251","16,449","12,638","16,780","2,204","2,731","1,846","4,968","1,635"
2021년10월_남_0~9세,"4,559","1,114",918,"2,142",38,62,34,141,110
2021년10월_남_10~19세,"5,949","1,686","1,629","2,003",57,82,57,332,103
2021년10월_남_20~29세,"6,633","2,135","1,667","1,557",161,256,139,593,125
2021년10월_남_30~39세,"7,530","1,740","1,208","3,558",148,207,124,390,155
2021년10월_남_40~49세,"11,026","2,684","2,529","4,135",244,290,206,702,236
2021년10월_남_50~59세,"10,764","3,183","2,670","2,040",452,546,406,"1,172",295
2021년10월_남_60~69세,"7,733","2,348","1,345",880,597,747,502,970,344
2021년10월_남_70~79세,"3,397","1,014",470,332,324,371,265,455,166
2021년10월_남_80~89세,"1,494",493,179,119,164,158,94,198,89
2021년10월_남_90~99세,164,51,23,14,19,12,19,15,11
2021년10월_남_100세 이상,2,1,0,0,0,0,0,0,1
2021년10월_여_총인구수,"54,592","16,391","11,720","14,331","1,894","2,622","1,540","4,592","1,502"
2021년10월_여_연령구간인구수,"54,592","16,391","11,720","14,331","1,894","2,622","1,540","4,592","1,502"
2021년10월_여_0~9세,"4,248","1,057",834,"2,003",39,60,30,140,85
2021년10월_여_10~19세,"5,440","1,596","1,504","1,798",42,85,54,286,75
2021년10월_여_20~29세,"4,959","1,569","1,189","1,413",121,132,76,387,72
2021년10월_여_30~39세,"6,356","1,521","1,154","3,014",93,122,68,244,140
2021년10월_여_40~49세,"9,489","2,587","2,579","3,140",107,173,135,597,171
2021년10월_여_50~59세,"9,127","3,089","2,279","1,341",316,528,298,"1,025",251
2021년10월_여_60~69세,"7,078","2,365","1,154",889,449,671,400,859,291
2021년10월_여_70~79세,"4,267","1,419",597,423,366,413,269,579,201
2021년10월_여_80~89세,"3,103","1,024",377,268,309,354,171,419,181
2021년10월_여_90~99세,505,153,53,41,51,82,39,53,33
2021년10월_여_100세 이상,20,11,0,1,1,2,0,3,2
