카테고리,경상북도 포항시,경상북도 포항시 남구,경상북도 포항시 남구 구룡포읍,경상북도 포항시 남구 연일읍,경상북도 포항시 남구 오천읍,경상북도 포항시 남구 대송면,경상북도 포항시 남구 동해면,경상북도 포항시 남구 장기면,경상북도 포항시 남구 호미곶면,경상북도 포항시 남구 상대동,경상북도 포항시 남구 해도동,경상북도 포항시 남구 송도동,경상북도 포항시 남구 청림동,경상북도 포항시 남구 제철동,경상북도 포항시 남구 효곡동,경상북도 포항시 남구 대이동,경상북도 포항시 북구,경상북도 포항시 북구 흥해읍,경상북도 포항시 북구 신광면,경상북도 포항시 북구 청하면,경상북도 포항시 북구 송라면,경상북도 포항시 북구 기계면,경상북도 포항시 북구 죽장면,경상북도 포항시 북구 죽장면상옥출장소,경상북도 포항시 북구 기북면,경상북도 포항시 북구 중앙동,경상북도 포항시 북구 양학동,경상북도 포항시 북구 죽도동,경상북도 포항시 북구 용흥동,경상북도 포항시 북구 우창동,경상북도 포항시 북구 두호동,경상북도 포항시 북구 장량동,경상북도 포항시 북구 환여동
2020년08월_계_총인구수,"503,883","231,180","7,667","30,730","54,686","3,536","9,961","4,113","1,911","25,005","17,438","12,656","4,753","2,878","30,456","25,390","272,703","40,759","2,892","4,846","2,538","4,974","2,131",597,"1,296","15,781","17,278","19,819","22,385","32,107","23,039","72,713","9,548"
2020년08월_계_연령구간인구수,"503,883","231,180","7,667","30,730","54,686","3,536","9,961","4,113","1,911","25,005","17,438","12,656","4,753","2,878","30,456","25,390","272,703","40,759","2,892","4,846","2,538","4,974","2,131",597,"1,296","15,781","17,278","19,819","22,385","32,107","23,039","72,713","9,548"
2020년08월_계_0~9세,"40,509","17,863",158,"2,466","5,840",66,585,72,32,"1,229",642,449,213,170,"3,663","2,278","22,646","4,014",65,117,34,98,34,6,22,574,"1,256",811,"1,508","3,036","1,653","8,487",931
2020년08월_계_10~19세,"47,036","21,346",246,"3,712","5,843",154,784,128,75,"1,549",810,734,274,195,"3,772","3,070","25,690","3,644",85,215,91,193,59,15,39,802,"1,880",984,"2,090","3,100","2,458","8,887","1,148"
2020년08월_계_20~29세,"56,701","26,404",502,"3,655","6,289",287,"1,009",202,105,"3,232","1,735","1,066",584,652,"3,544","3,542","30,297","4,132",183,314,166,310,72,36,53,"1,649","2,173","2,331","2,399","3,940","2,978","8,657",904
2020년08월_계_30~39세,"60,622","27,484",470,"3,203","8,314",275,978,186,83,"3,006","1,679","1,065",531,345,"3,920","3,429","33,138","5,248",131,280,106,240,72,14,58,"1,747","1,888","2,389","2,310","4,401","2,450","10,595","1,209"
2020년08월_계_40~49세,"77,512","35,789",781,"5,212","10,072",321,"1,282",306,178,"3,406","2,241","1,492",535,347,"5,191","4,425","41,723","6,292",218,483,198,380,127,42,102,"1,985","2,736","2,565","3,316","4,904","3,349","13,352","1,674"
2020년08월_계_50~59세,"90,758","41,764","1,473","6,024","8,459",723,"1,843",713,344,"4,573","3,425","2,405",861,496,"5,523","4,902","48,994","7,122",497,897,485,908,404,118,211,"2,818","3,485","3,507","4,198","6,051","4,714","12,096","1,483"
2020년08월_계_60~69세,"76,887","35,968","1,921","4,077","6,123",903,"1,798",974,462,"5,044","4,113","3,127",955,399,"3,626","2,446","40,919","5,674",754,"1,113",623,"1,227",576,191,352,"3,298","2,510","4,097","3,987","4,259","3,506","7,348","1,404"
2020년08월_계_70~79세,"36,570","17,045","1,345","1,647","2,506",539,"1,122",833,383,"2,321","2,123","1,683",588,195,886,874,"19,525","2,941",507,851,477,900,429,109,252,"2,033",963,"2,294","1,820","1,666","1,363","2,337",583
2020년08월_계_80~89세,"15,094","6,612",678,656,"1,106",230,485,605,222,567,607,546,189,72,275,374,"8,482","1,459",390,503,305,619,313,52,177,763,329,737,664,656,504,823,188
2020년08월_계_90~99세,"2,088",850,87,73,119,37,73,90,26,75,56,84,21,7,54,48,"1,238",224,60,70,52,97,45,14,28,104,54,99,88,91,62,128,22
2020년08월_계_100세 이상,106,55,6,5,15,1,2,4,1,3,7,5,2,0,2,2,51,9,2,3,1,2,0,0,2,8,4,5,5,3,2,3,2
2020년08월_남_총인구수,"254,726","119,132","3,863","15,655","28,966","1,839","5,030","2,022",927,"12,907","8,977","6,363","2,561","1,701","15,486","12,835","135,594","20,375","1,446","2,391","1,244","2,408","1,065",299,629,"7,725","8,558","9,791","10,962","15,713","11,467","36,824","4,697"
2020년08월_남_연령구간인구수,"254,726","119,132","3,863","15,655","28,966","1,839","5,030","2,022",927,"12,907","8,977","6,363","2,561","1,701","15,486","12,835","135,594","20,375","1,446","2,391","1,244","2,408","1,065",299,629,"7,725","8,558","9,791","10,962","15,713","11,467","36,824","4,697"
2020년08월_남_0~9세,"21,004","9,263",79,"1,289","2,993",30,304,40,17,643,340,251,105,95,"1,882","1,195","11,741","2,102",34,63,10,45,15,3,9,284,632,413,762,"1,606",878,"4,415",470
2020년08월_남_10~19세,"24,703","11,240",138,"1,936","3,105",77,397,59,45,817,435,387,147,102,"1,979","1,616","13,463","1,899",53,117,48,84,33,8,25,403,"1,008",506,"1,120","1,633","1,281","4,658",587
2020년08월_남_20~29세,"32,470","15,532",305,"2,111","3,728",171,570,124,62,"1,863","1,030",600,378,509,"2,100","1,981","16,938","2,331",112,191,92,189,55,17,27,888,"1,237","1,276","1,353","2,184","1,705","4,789",492
2020년08월_남_30~39세,"31,972","14,782",261,"1,606","4,502",170,533,110,49,"1,742",995,621,315,215,"1,875","1,788","17,190","2,695",78,160,73,163,46,14,35,996,990,"1,359","1,170","2,236","1,283","5,293",599
2020년08월_남_40~49세,"38,919","18,466",496,"2,505","5,474",199,679,209,123,"1,856","1,271",818,326,185,"2,351","1,974","20,453","3,176",141,281,126,227,85,25,55,"1,060","1,238","1,378","1,573","2,254","1,544","6,460",830
2020년08월_남_50~59세,"45,558","21,658",844,"3,104","4,516",388,958,394,191,"2,221","1,739","1,226",468,261,"2,806","2,542","23,900","3,582",262,503,275,483,228,61,118,"1,392","1,639","1,643","2,013","2,803","2,182","6,001",715
2020년08월_남_60~69세,"37,756","17,817",942,"2,071","3,133",477,920,491,226,"2,346","1,871","1,478",466,211,"1,930","1,255","19,939","2,815",401,544,298,615,287,93,190,"1,523","1,246","1,807","1,843","2,103","1,740","3,777",657
2020년08월_남_70~79세,"17,046","8,103",564,817,"1,142",260,501,380,151,"1,196","1,048",781,281,95,483,404,"8,943","1,302",230,357,221,392,189,57,100,877,452,"1,090",857,723,658,"1,171",267
2020년08월_남_80~89세,"4,892","2,117",216,208,349,62,153,196,61,207,238,184,71,26,71,75,"2,775",427,129,167,91,185,113,16,63,281,104,294,248,159,183,239,76
2020년08월_남_90~99세,377,137,14,7,21,5,14,19,2,16,8,15,2,2,8,4,240,43,6,8,9,24,14,5,7,17,12,23,23,12,12,21,4
2020년08월_남_100세 이상,29,17,4,1,3,0,1,0,0,0,2,2,2,0,1,1,12,3,0,0,1,1,0,0,0,4,0,2,0,0,1,0,0
2020년08월_여_총인구수,"249,157","112,048","3,804","15,075","25,720","1,697","4,931","2,091",984,"12,098","8,461","6,293","2,192","1,177","14,970","12,555","137,109","20,384","1,446","2,455","1,294","2,566","1,066",298,667,"8,056","8,720","10,028","11,423","16,394","11,572","35,889","4,851"
2020년08월_여_연령구간인구수,"249,157","112,048","3,804","15,075","25,720","1,697","4,931","2,091",984,"12,098","8,461","6,293","2,192","1,177","14,970","12,555","137,109","20,384","1,446","2,455","1,294","2,566","1,066",298,667,"8,056","8,720","10,028","11,423","16,394","11,572","35,889","4,851"
2020년08월_여_0~9세,"19,505","8,600",79,"1,177","2,847",36,281,32,15,586,302,198,108,75,"1,781","1,083","10,905","1,912",31,54,24,53,19,3,13,290,624,398,746,"1,430",775,"4,072",461
2020년08월_여_10~19세,"22,333","10,106",108,"1,776","2,738",77,387,69,30,732,375,347,127,93,"1,793","1,454","12,227","1,745",32,98,43,109,26,7,14,399,872,478,970,"1,467","1,177","4,229",561
2020년08월_여_20~29세,"24,231","10,872",197,"1,544","2,561",116,439,78,43,"1,369",705,466,206,143,"1,444","1,561","13,359","1,801",71,123,74,121,17,19,26,761,936,"1,055","1,046","1,756","1,273","3,868",412
2020년08월_여_30~39세,"28,650","12,702",209,"1,597","3,812",105,445,76,34,"1,264",684,444,216,130,"2,045","1,641","15,948","2,553",53,120,33,77,26,0,23,751,898,"1,030","1,140","2,165","1,167","5,302",610
