,광주광역시,광주광역시 동구,광주광역시 서구,광주광역시 남구,광주광역시 북구,광주광역시 광산구
2020년07월_계_총인구수,"1,454,709","99,228","298,898","215,987","433,463","407,133"
2020년07월_계_연령구간인구수,"1,454,709","99,228","298,898","215,987","433,463","407,133"
2020년07월_계_0~9세,"122,863","6,633","22,578","17,714","34,488","41,450"
2020년07월_계_10~19세,"159,816","7,209","32,419","23,088","43,828","53,272"
2020년07월_계_20~29세,"208,961","14,209","45,292","28,218","62,986","58,256"
2020년07월_계_30~39세,"189,053","12,494","37,769","26,229","56,713","55,848"
2020년07월_계_40~49세,"243,442","13,607","49,664","34,268","68,441","77,462"
2020년07월_계_50~59세,"233,747","15,390","49,570","33,359","72,358","63,070"
2020년07월_계_60~69세,"159,502","14,290","33,568","27,581","52,015","32,048"
2020년07월_계_70~79세,"92,265","10,148","18,925","17,235","29,025","16,932"
2020년07월_계_80~89세,"38,960","4,545","7,871","7,110","11,819","7,615"
2020년07월_계_90~99세,"5,678",634,"1,168","1,088","1,672","1,116"
2020년07월_계_100세 이상,422,69,74,97,118,64
2020년07월_남_총인구수,"719,860","49,043","146,518","104,009","215,251","205,039"
2020년07월_남_연령구간인구수,"719,860","49,043","146,518","104,009","215,251","205,039"
2020년07월_남_0~9세,"63,125","3,448","11,714","9,056","17,603","21,304"
2020년07월_남_10~19세,"83,009","3,753","16,995","11,624","23,188","27,449"
2020년07월_남_20~29세,"109,019","7,289","23,267","14,510","33,129","30,824"
2020년07월_남_30~39세,"96,360","6,515","19,070","13,013","29,454","28,308"
2020년07월_남_40~49세,"120,824","7,117","23,921","16,847","34,295","38,644"
2020년07월_남_50~59세,"115,865","7,607","24,290","15,773","35,370","32,825"
2020년07월_남_60~69세,"75,917","6,749","15,791","12,632","24,763","15,982"
2020년07월_남_70~79세,"40,837","4,477","8,403","7,723","12,968","7,266"
2020년07월_남_80~89세,"13,637","1,902","2,801","2,575","4,133","2,226"
2020년07월_남_90~99세,"1,215",172,257,244,336,206
2020년07월_남_100세 이상,52,14,9,12,12,5
2020년07월_여_총인구수,"734,849","50,185","152,380","111,978","218,212","202,094"
2020년07월_여_연령구간인구수,"734,849","50,185","152,380","111,978","218,212","202,094"
2020년07월_여_0~9세,"59,738","3,185","10,864","8,658","16,885","20,146"
2020년07월_여_10~19세,"76,807","3,456","15,424","11,464","20,640","25,823"
2020년07월_여_20~29세,"99,942","6,920","22,025","13,708","29,857","27,432"
2020년07월_여_30~39세,"92,693","5,979","18,699","13,216","27,259","27,540"
2020년07월_여_40~49세,"122,618","6,490","25,743","17,421","34,146","38,818"
2020년07월_여_50~59세,"117,882","7,783","25,280","17,586","36,988","30,245"
2020년07월_여_60~69세,"83,585","7,541","17,777","14,949","27,252","16,066"
2020년07월_여_70~79세,"51,428","5,671","10,522","9,512","16,057","9,666"
2020년07월_여_80~89세,"25,323","2,643","5,070","4,535","7,686","5,389"
2020년07월_여_90~99세,"4,463",462,911,844,"1,336",910
2020년07월_여_100세 이상,370,55,65,85,106,59
