카테고리,광주광역시 광산구,광주광역시 광산구 송정1동,광주광역시 광산구 송정2동,광주광역시 광산구 도산동,광주광역시 광산구 신흥동,광주광역시 광산구 어룡동,광주광역시 광산구 우산동,광주광역시 광산구 월곡1동,광주광역시 광산구 월곡2동,광주광역시 광산구 비아동,광주광역시 광산구 첨단1동,광주광역시 광산구 첨단2동,광주광역시 광산구 신가동,광주광역시 광산구 운남동,광주광역시 광산구 수완동,광주광역시 광산구 하남동,광주광역시 광산구 임곡동,광주광역시 광산구 동곡동,광주광역시 광산구 평동,광주광역시 광산구 삼도동,광주광역시 광산구 본량동,광주광역시 광산구 신창동
2021년01월_계_총인구수,"405,154","11,140","6,615","15,709","4,702","32,923","27,847","11,304","16,198","7,305","27,699","43,810","18,980","31,570","78,130","23,448","2,143","1,928","4,120","2,273","2,054","35,256"
2021년01월_계_연령구간인구수,"405,154","11,140","6,615","15,709","4,702","32,923","27,847","11,304","16,198","7,305","27,699","43,810","18,980","31,570","78,130","23,448","2,143","1,928","4,120","2,273","2,054","35,256"
2021년01월_계_0~9세,"39,558",681,326,"1,470",323,"3,945","2,232",707,"1,123",663,"2,006","3,792","2,085","2,925","10,209","3,034",59,42,134,51,33,"3,718"
2021년01월_계_10~19세,"52,343","1,174",396,"1,630",429,"3,677","2,102","1,159","2,045",776,"3,504","5,680","2,909","3,970","13,635","3,169",115,82,156,118,89,"5,528"
2021년01월_계_20~29세,"58,667","1,728",976,"2,210",613,"4,016","4,242","1,920","2,481",905,"5,205","7,930","2,661","4,775","9,570","3,009",165,177,433,170,152,"5,329"
2021년01월_계_30~39세,"54,463","1,202",893,"2,181",533,"5,494","4,336","1,272","1,766",911,"3,433","5,910","2,402","4,025","10,513","3,542",123,137,465,155,123,"5,047"
2021년01월_계_40~49세,"76,416","1,894",841,"2,736",737,"6,088","4,128","1,684","2,880","1,357","4,409","8,077","3,972","5,842","18,092","4,765",178,183,504,212,231,"7,606"
2021년01월_계_50~59세,"64,037","1,852","1,113","2,467",784,"4,580","4,888","2,274","3,064","1,369","5,523","7,684","2,885","5,553","9,795","3,221",389,317,673,386,325,"4,895"
2021년01월_계_60~69세,"33,531","1,339",933,"1,508",636,"3,064","3,370","1,411","1,730",686,"2,311","2,863","1,156","2,484","3,926","1,802",459,410,790,467,374,"1,812"
2021년01월_계_70~79세,"17,204",897,783,"1,045",456,"1,381","1,614",578,774,404,827,"1,178",639,"1,353","1,711",598,352,366,588,376,379,905
2021년01월_계_80~89세,"7,696",327,307,393,155,587,801,260,293,207,405,609,235,568,575,266,256,187,307,291,306,361
2021년01월_계_90~99세,"1,173",42,41,63,31,86,131,39,40,27,75,82,33,71,102,38,47,24,66,44,40,51
2021년01월_계_100세 이상,66,4,6,6,5,5,3,0,2,0,1,5,3,4,2,4,0,3,4,3,2,4
2021년01월_남_총인구수,"204,154","5,621","3,334","7,926","2,378","16,823","14,163","5,722","8,227","3,844","13,732","22,099","9,675","15,473","38,574","12,007","1,099",986,"2,276","1,171","1,019","18,005"
2021년01월_남_연령구간인구수,"204,154","5,621","3,334","7,926","2,378","16,823","14,163","5,722","8,227","3,844","13,732","22,099","9,675","15,473","38,574","12,007","1,099",986,"2,276","1,171","1,019","18,005"
2021년01월_남_0~9세,"20,301",349,176,773,171,"2,035","1,145",355,586,338,"1,019","1,957","1,077","1,482","5,238","1,562",24,23,63,22,15,"1,891"
2021년01월_남_10~19세,"26,920",606,202,878,225,"1,871","1,096",611,"1,061",414,"1,762","2,930","1,493","2,067","6,824","1,648",66,46,79,62,47,"2,932"
2021년01월_남_20~29세,"31,187",957,521,"1,193",336,"2,215","2,230","1,045","1,327",503,"2,740","4,235","1,449","2,455","4,942","1,606",91,105,261,109,82,"2,785"
2021년01월_남_30~39세,"27,664",638,513,"1,125",288,"2,810","2,389",686,902,478,"1,758","3,079","1,153","2,011","4,879","1,746",73,87,293,102,65,"2,589"
2021년01월_남_40~49세,"38,063",979,459,"1,411",387,"3,286","2,158",830,"1,427",732,"1,998","3,791","1,986","2,807","8,736","2,512",111,113,347,128,149,"3,716"
2021년01월_남_50~59세,"33,287",973,573,"1,245",404,"2,295","2,490","1,122","1,577",776,"2,685","3,945","1,607","2,776","5,225","1,640",234,189,437,242,187,"2,665"
2021년01월_남_60~69세,"16,824",628,423,712,298,"1,517","1,760",723,876,362,"1,250","1,500",552,"1,174","1,862",939,254,201,419,250,216,908
2021년01월_남_70~79세,"7,407",370,351,446,208,611,690,264,361,180,360,472,280,507,701,277,158,170,274,173,153,401
2021년01월_남_80~89세,"2,278",112,105,127,54,171,190,78,102,55,149,178,70,173,153,67,83,48,88,75,94,106
2021년01월_남_90~99세,218,8,11,16,7,11,15,8,8,6,11,12,7,21,14,10,5,3,15,7,11,12
2021년01월_남_100세 이상,5,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
2021년01월_여_총인구수,"201,000","5,519","3,281","7,783","2,324","16,100","13,684","5,582","7,971","3,461","13,967","21,711","9,305","16,097","39,556","11,441","1,044",942,"1,844","1,102","1,035","17,251"
2021년01월_여_연령구간인구수,"201,000","5,519","3,281","7,783","2,324","16,100","13,684","5,582","7,971","3,461","13,967","21,711","9,305","16,097","39,556","11,441","1,044",942,"1,844","1,102","1,035","17,251"
2021년01월_여_0~9세,"19,257",332,150,697,152,"1,910","1,087",352,537,325,987,"1,835","1,008","1,443","4,971","1,472",35,19,71,29,18,"1,827"
2021년01월_여_10~19세,"25,423",568,194,752,204,"1,806","1,006",548,984,362,"1,742","2,750","1,416","1,903","6,811","1,521",49,36,77,56,42,"2,596"
2021년01월_여_20~29세,"27,480",771,455,"1,017",277,"1,801","2,012",875,"1,154",402,"2,465","3,695","1,212","2,320","4,628","1,403",74,72,172,61,70,"2,544"
2021년01월_여_30~39세,"26,799",564,380,"1,056",245,"2,684","1,947",586,864,433,"1,675","2,831","1,249","2,014","5,634","1,796",50,50,172,53,58,"2,458"
2021년01월_여_40~49세,"38,353",915,382,"1,325",350,"2,802","1,970",854,"1,453",625,"2,411","4,286","1,986","3,035","9,356","2,253",67,70,157,84,82,"3,890"
2021년01월_여_50~59세,"30,750",879,540,"1,222",380,"2,285","2,398","1,152","1,487",593,"2,838","3,739","1,278","2,777","4,570","1,581",155,128,236,144,138,"2,230"
2021년01월_여_60~69세,"16,707",711,510,796,338,"1,547","1,610",688,854,324,"1,061","1,363",604,"1,310","2,064",863,205,209,371,217,158,904
2021년01월_여_70~79세,"9,797",527,432,599,248,770,924,314,413,224,467,706,359,846,"1,010",321,194,196,314,203,226,504
2021년01월_여_80~89세,"5,418",215,202,266,101,416,611,182,191,152,256,431,165,395,422,199,173,139,219,216,212,255
2021년01월_여_90~99세,955,34,30,47,24,75,116,31,32,21,64,70,26,50,88,28,42,21,51,37,29,39
