,광주광역시 남구,광주광역시 남구 양림동,광주광역시 남구 방림1동,광주광역시 남구 방림2동,광주광역시 남구 봉선1동,광주광역시 남구 봉선2동,광주광역시 남구 사직동,광주광역시 남구 월산동,광주광역시 남구 월산4동,광주광역시 남구 월산5동,광주광역시 남구 백운1동,광주광역시 남구 백운2동,광주광역시 남구 주월1동,광주광역시 남구 주월2동,광주광역시 남구 효덕동,광주광역시 남구 송암동,광주광역시 남구 대촌동
2021년05월_계_총인구수,"213,717","7,128","6,855","9,025","13,657","28,891","5,255","7,194","8,684","6,457","12,366","6,436","20,982","8,188","45,642","20,644","6,313"
2021년05월_계_연령구간인구수,"213,717","7,128","6,855","9,025","13,657","28,891","5,255","7,194","8,684","6,457","12,366","6,436","20,982","8,188","45,642","20,644","6,313"
2021년05월_계_0~9세,"17,095",468,526,459,834,"2,881",262,352,333,245,958,464,"1,555",482,"3,781","3,101",394
2021년05월_계_10~19세,"22,572",738,670,771,"1,297","4,870",279,395,574,344,"1,133",428,"2,163",576,"5,819","2,126",389
2021년05월_계_20~29세,"27,644",808,845,"1,219","1,977","3,300",661,833,"1,159",924,"1,503",986,"3,043","1,082","6,344","2,423",537
2021년05월_계_30~39세,"25,088",668,837,857,"1,538","2,760",620,767,"1,041",734,"1,436",918,"2,470",892,"5,210","3,758",582
2021년05월_계_40~49세,"33,962","1,037","1,092","1,230","2,077","5,582",725,957,"1,172",822,"1,883",876,"3,271","1,103","7,708","3,624",803
2021년05월_계_50~59세,"32,860","1,114","1,003","1,473","2,140","4,280",872,"1,193","1,476","1,168","1,897",949,"3,468","1,409","6,851","2,582",985
2021년05월_계_60~69세,"28,413","1,015",926,"1,435","1,945","2,944",843,"1,163","1,543","1,228","1,865",902,"2,785","1,403","5,355","1,870","1,191"
2021년05월_계_70~79세,"17,388",855,657,"1,057","1,140","1,439",671,"1,041",965,690,"1,134",633,"1,562",887,"3,086",754,817
2021년05월_계_80~89세,"7,508",365,265,454,601,710,289,429,369,267,471,248,580,312,"1,282",331,535
2021년05월_계_90~99세,"1,148",59,28,68,105,123,32,64,50,35,84,31,81,41,199,73,75
2021년05월_계_100세 이상,39,1,6,2,3,2,1,0,2,0,2,1,4,1,7,2,5
2021년05월_남_총인구수,"102,803","3,269","3,272","4,271","6,432","13,544","2,712","3,685","4,460","3,224","5,856","3,167","10,162","4,057","21,549","10,011","3,132"
2021년05월_남_연령구간인구수,"102,803","3,269","3,272","4,271","6,432","13,544","2,712","3,685","4,460","3,224","5,856","3,167","10,162","4,057","21,549","10,011","3,132"
2021년05월_남_0~9세,"8,707",233,268,236,440,"1,425",133,180,166,125,495,248,796,236,"1,884","1,620",222
2021년05월_남_10~19세,"11,268",369,327,395,648,"2,452",154,206,315,175,551,209,"1,098",289,"2,823","1,073",184
2021년05월_남_20~29세,"14,218",399,438,621,990,"1,722",352,471,631,495,771,449,"1,533",597,"3,213","1,225",311
2021년05월_남_30~39세,"12,481",324,410,454,788,"1,231",335,423,597,413,706,479,"1,263",478,"2,456","1,801",323
2021년05월_남_40~49세,"16,741",507,539,608,"1,009","2,515",414,581,667,477,926,482,"1,614",566,"3,595","1,793",448
2021년05월_남_50~59세,"15,565",490,490,679,967,"1,976",483,644,748,551,888,478,"1,613",658,"3,190","1,202",508
2021년05월_남_60~69세,"13,021",431,399,636,877,"1,310",408,560,736,583,822,414,"1,308",664,"2,424",839,610
2021년05월_남_70~79세,"7,769",361,292,466,482,630,306,453,448,304,480,297,706,425,"1,418",347,354
2021년05월_남_80~89세,"2,780",137,98,160,206,258,118,154,138,95,195,106,221,131,498,103,162
2021년05월_남_90~99세,248,17,9,16,25,25,9,13,14,6,22,5,9,13,48,8,9
2021년05월_남_100세 이상,5,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2021년05월_여_총인구수,"110,914","3,859","3,583","4,754","7,225","15,347","2,543","3,509","4,224","3,233","6,510","3,269","10,820","4,131","24,093","10,633","3,181"
2021년05월_여_연령구간인구수,"110,914","3,859","3,583","4,754","7,225","15,347","2,543","3,509","4,224","3,233","6,510","3,269","10,820","4,131","24,093","10,633","3,181"
2021년05월_여_0~9세,"8,388",235,258,223,394,"1,456",129,172,167,120,463,216,759,246,"1,897","1,481",172
2021년05월_여_10~19세,"11,304",369,343,376,649,"2,418",125,189,259,169,582,219,"1,065",287,"2,996","1,053",205
2021년05월_여_20~29세,"13,426",409,407,598,987,"1,578",309,362,528,429,732,537,"1,510",485,"3,131","1,198",226
2021년05월_여_30~39세,"12,607",344,427,403,750,"1,529",285,344,444,321,730,439,"1,207",414,"2,754","1,957",259
2021년05월_여_40~49세,"17,221",530,553,622,"1,068","3,067",311,376,505,345,957,394,"1,657",537,"4,113","1,831",355
2021년05월_여_50~59세,"17,295",624,513,794,"1,173","2,304",389,549,728,617,"1,009",471,"1,855",751,"3,661","1,380",477
2021년05월_여_60~69세,"15,392",584,527,799,"1,068","1,634",435,603,807,645,"1,043",488,"1,477",739,"2,931","1,031",581
2021년05월_여_70~79세,"9,619",494,365,591,658,809,365,588,517,386,654,336,856,462,"1,668",407,463
2021년05월_여_80~89세,"4,728",228,167,294,395,452,171,275,231,172,276,142,359,181,784,228,373
2021년05월_여_90~99세,900,42,19,52,80,98,23,51,36,29,62,26,72,28,151,65,66
2021년05월_여_100세 이상,34,0,4,2,3,2,1,0,2,0,2,1,3,1,7,2,4
