카테고리,광주광역시 동구,광주광역시 동구 충장동,광주광역시 동구 동명동,광주광역시 동구 계림1동,광주광역시 동구 계림2동,광주광역시 동구 산수1동,광주광역시 동구 산수2동,광주광역시 동구 지산1동,광주광역시 동구 지산2동,광주광역시 동구 서남동,광주광역시 동구 학동,광주광역시 동구 학운동,광주광역시 동구 지원1동,광주광역시 동구 지원2동
2020년02월_계_총인구수,"98,641","4,470","3,779","6,042","8,230","8,824","10,692","4,435","4,833","3,159","8,527","12,246","8,205","15,199"
2020년02월_계_연령구간인구수,"98,641","4,470","3,779","6,042","8,230","8,824","10,692","4,435","4,833","3,159","8,527","12,246","8,205","15,199"
2020년02월_계_0~9세,"6,627",78,126,188,767,556,636,235,239,90,794,678,556,"1,684"
2020년02월_계_10~19세,"7,363",157,219,285,766,681,895,349,422,141,608,"1,025",691,"1,124"
2020년02월_계_20~29세,"13,876",924,631,762,990,"1,171","1,456",782,876,737,"1,188","1,481",997,"1,881"
2020년02월_계_30~39세,"12,476",589,384,674,991,"1,153","1,140",477,433,384,"1,260","1,183","1,081","2,727"
2020년02월_계_40~49세,"13,655",530,520,823,"1,246","1,303","1,408",640,677,358,"1,169","1,612","1,122","2,247"
2020년02월_계_50~59세,"15,401",705,521,"1,129","1,175","1,456","1,828",643,762,453,"1,311","1,884","1,365","2,169"
2020년02월_계_60~69세,"14,050",785,589,"1,107","1,022","1,158","1,608",605,626,468,"1,049","2,011","1,234","1,788"
2020년02월_계_70~79세,"10,087",488,504,709,867,904,"1,156",457,515,349,793,"1,514",801,"1,030"
2020년02월_계_80~89세,"4,428",179,242,321,359,385,511,211,247,155,310,745,308,455
2020년02월_계_90~99세,618,31,40,40,44,52,51,29,33,22,34,109,48,85
2020년02월_계_100세 이상,60,4,3,4,3,5,3,7,3,2,11,4,2,9
2020년02월_남_총인구수,"48,775","2,326","1,886","3,252","4,051","4,399","5,211","2,233","2,466","1,597","4,088","5,817","3,983","7,466"
2020년02월_남_연령구간인구수,"48,775","2,326","1,886","3,252","4,051","4,399","5,211","2,233","2,466","1,597","4,088","5,817","3,983","7,466"
2020년02월_남_0~9세,"3,430",37,65,93,412,287,319,144,133,45,419,334,296,846
2020년02월_남_10~19세,"3,831",70,114,156,412,363,456,180,236,66,288,539,350,601
2020년02월_남_20~29세,"7,144",378,327,419,542,610,747,418,500,364,576,787,518,958
2020년02월_남_30~39세,"6,503",345,218,394,489,606,590,258,224,216,623,606,558,"1,376"
2020년02월_남_40~49세,"7,154",323,272,496,618,713,723,328,365,213,608,767,580,"1,148"
2020년02월_남_50~59세,"7,587",402,266,657,582,734,863,332,375,240,637,866,627,"1,006"
2020년02월_남_60~69세,"6,631",420,283,565,459,548,754,275,287,226,473,900,567,874
2020년02월_남_70~79세,"4,474",261,209,328,365,375,519,199,228,149,339,658,370,474
2020년02월_남_80~89세,"1,839",81,122,133,155,150,222,91,106,71,116,322,106,164
2020년02월_남_90~99세,172,9,10,11,16,12,18,5,12,6,7,37,11,18
2020년02월_남_100세 이상,10,0,0,0,1,1,0,3,0,1,2,1,0,1
2020년02월_여_총인구수,"49,866","2,144","1,893","2,790","4,179","4,425","5,481","2,202","2,367","1,562","4,439","6,429","4,222","7,733"
2020년02월_여_연령구간인구수,"49,866","2,144","1,893","2,790","4,179","4,425","5,481","2,202","2,367","1,562","4,439","6,429","4,222","7,733"
2020년02월_여_0~9세,"3,197",41,61,95,355,269,317,91,106,45,375,344,260,838
2020년02월_여_10~19세,"3,532",87,105,129,354,318,439,169,186,75,320,486,341,523
2020년02월_여_20~29세,"6,732",546,304,343,448,561,709,364,376,373,612,694,479,923
2020년02월_여_30~39세,"5,973",244,166,280,502,547,550,219,209,168,637,577,523,"1,351"
2020년02월_여_40~49세,"6,501",207,248,327,628,590,685,312,312,145,561,845,542,"1,099"
2020년02월_여_50~59세,"7,814",303,255,472,593,722,965,311,387,213,674,"1,018",738,"1,163"
2020년02월_여_60~69세,"7,419",365,306,542,563,610,854,330,339,242,576,"1,111",667,914
2020년02월_여_70~79세,"5,613",227,295,381,502,529,637,258,287,200,454,856,431,556
2020년02월_여_80~89세,"2,589",98,120,188,204,235,289,120,141,84,194,423,202,291
2020년02월_여_90~99세,446,22,30,29,28,40,33,24,21,16,27,72,37,67
2020년02월_여_100세 이상,50,4,3,4,2,4,3,4,3,1,9,3,2,8
