,광주광역시 동구,광주광역시 동구 충장동,광주광역시 동구 동명동,광주광역시 동구 계림1동,광주광역시 동구 계림2동,광주광역시 동구 산수1동,광주광역시 동구 산수2동,광주광역시 동구 지산1동,광주광역시 동구 지산2동,광주광역시 동구 서남동,광주광역시 동구 학동,광주광역시 동구 학운동,광주광역시 동구 지원1동,광주광역시 동구 지원2동
2020년06월_계_총인구수,"99,273","4,581","3,757","5,992","8,058","8,961","10,508","4,399","4,806","3,186","8,364","12,071","8,156","16,434"
2020년06월_계_연령구간인구수,"99,273","4,581","3,757","5,992","8,058","8,961","10,508","4,399","4,806","3,186","8,364","12,071","8,156","16,434"
2020년06월_계_0~9세,"6,660",72,119,179,752,568,611,223,226,86,796,671,554,"1,803"
2020년06월_계_10~19세,"7,267",156,218,262,756,683,861,340,406,139,572,984,676,"1,214"
2020년06월_계_20~29세,"14,165","1,039",644,789,953,"1,205","1,366",803,906,786,"1,168","1,439",981,"2,086"
2020년06월_계_30~39세,"12,517",611,367,651,944,"1,173","1,139",480,432,382,"1,220","1,140","1,071","2,907"
2020년06월_계_40~49세,"13,639",530,509,808,"1,226","1,305","1,373",611,652,346,"1,145","1,565","1,108","2,461"
2020년06월_계_50~59세,"15,436",700,522,"1,099","1,148","1,453","1,812",630,762,452,"1,257","1,878","1,342","2,381"
2020년06월_계_60~69세,"14,241",765,590,"1,118","1,013","1,202","1,611",610,628,466,"1,058","2,002","1,251","1,927"
2020년06월_계_70~79세,"10,129",489,504,721,856,912,"1,170",455,498,340,788,"1,511",813,"1,072"
2020년06월_계_80~89세,"4,524",183,244,321,364,402,509,208,256,167,314,765,307,484
2020년06월_계_90~99세,627,31,37,40,43,53,53,32,37,20,35,109,49,88
2020년06월_계_100세 이상,68,5,3,4,3,5,3,7,3,2,11,7,4,11
2020년06월_남_총인구수,"49,091","2,350","1,881","3,244","3,955","4,462","5,138","2,227","2,448","1,618","4,009","5,740","3,969","8,050"
2020년06월_남_연령구간인구수,"49,091","2,350","1,881","3,244","3,955","4,462","5,138","2,227","2,448","1,618","4,009","5,740","3,969","8,050"
2020년06월_남_0~9세,"3,468",37,60,89,410,293,308,140,125,43,423,338,298,904
2020년06월_남_10~19세,"3,779",70,116,143,407,359,440,180,227,63,272,520,343,639
2020년06월_남_20~29세,"7,284",409,331,445,527,624,706,422,517,391,559,766,507,"1,080"
2020년06월_남_30~39세,"6,534",357,211,376,469,626,592,267,225,216,602,579,551,"1,463"
2020년06월_남_40~49세,"7,141",330,268,493,592,702,719,319,347,209,603,744,575,"1,240"
2020년06월_남_50~59세,"7,619",395,271,639,569,738,851,324,378,240,612,872,627,"1,103"
2020년06월_남_60~69세,"6,704",393,286,579,458,569,750,280,288,227,474,896,583,921
2020년06월_남_70~79세,"4,488",267,205,333,355,382,525,196,219,145,336,655,365,505
2020년06월_남_80~89세,"1,888",83,123,136,153,155,228,90,110,77,119,331,107,176
2020년06월_남_90~99세,172,9,10,11,14,13,19,6,12,6,7,35,13,17
2020년06월_남_100세 이상,14,0,0,0,1,1,0,3,0,1,2,4,0,2
2020년06월_여_총인구수,"50,182","2,231","1,876","2,748","4,103","4,499","5,370","2,172","2,358","1,568","4,355","6,331","4,187","8,384"
2020년06월_여_연령구간인구수,"50,182","2,231","1,876","2,748","4,103","4,499","5,370","2,172","2,358","1,568","4,355","6,331","4,187","8,384"
2020년06월_여_0~9세,"3,192",35,59,90,342,275,303,83,101,43,373,333,256,899
2020년06월_여_10~19세,"3,488",86,102,119,349,324,421,160,179,76,300,464,333,575
2020년06월_여_20~29세,"6,881",630,313,344,426,581,660,381,389,395,609,673,474,"1,006"
2020년06월_여_30~39세,"5,983",254,156,275,475,547,547,213,207,166,618,561,520,"1,444"
2020년06월_여_40~49세,"6,498",200,241,315,634,603,654,292,305,137,542,821,533,"1,221"
2020년06월_여_50~59세,"7,817",305,251,460,579,715,961,306,384,212,645,"1,006",715,"1,278"
2020년06월_여_60~69세,"7,537",372,304,539,555,633,861,330,340,239,584,"1,106",668,"1,006"
2020년06월_여_70~79세,"5,641",222,299,388,501,530,645,259,279,195,452,856,448,567
2020년06월_여_80~89세,"2,636",100,121,185,211,247,281,118,146,90,195,434,200,308
2020년06월_여_90~99세,455,22,27,29,29,40,34,26,25,14,28,74,36,71
2020년06월_여_100세 이상,54,5,3,4,2,4,3,4,3,1,9,3,4,9
