카테고리,광주광역시 북구,광주광역시 북구 중흥1동,광주광역시 북구 중흥2동,광주광역시 북구 중흥3동,광주광역시 북구 중앙동,광주광역시 북구 임동,광주광역시 북구 신안동,광주광역시 북구 용봉동,광주광역시 북구 운암1동,광주광역시 북구 운암2동,광주광역시 북구 운암3동,광주광역시 북구 동림동,광주광역시 북구 우산동,광주광역시 북구 풍향동,광주광역시 북구 문화동,광주광역시 북구 문흥1동,광주광역시 북구 문흥2동,광주광역시 북구 두암1동,광주광역시 북구 두암2동,광주광역시 북구 두암3동,광주광역시 북구 삼각동,광주광역시 북구 일곡동,광주광역시 북구 매곡동,광주광역시 북구 오치1동,광주광역시 북구 오치2동,광주광역시 북구 석곡동,광주광역시 북구 건국동,광주광역시 북구 양산동
2020년01월_계_총인구수,"433,147","5,031","7,002","4,971","3,351","8,263","10,909","38,595","20,078","12,807","14,826","22,829","11,159","6,163","19,246","16,946","16,642","8,144","16,938","14,335","14,711","31,198","14,484","11,912","13,033","2,729","50,901","35,944"
2020년01월_계_연령구간인구수,"433,147","5,031","7,002","4,971","3,351","8,263","10,909","38,595","20,078","12,807","14,826","22,829","11,159","6,163","19,246","16,946","16,642","8,144","16,938","14,335","14,711","31,198","14,484","11,912","13,033","2,729","50,901","35,944"
2020년01월_계_0~9세,"34,954",222,316,271,99,614,376,"2,775","1,907",635,"1,012","2,253",462,572,"1,505","1,230","1,288",365,"1,032",545,"1,147","2,578","1,310",730,567,83,"7,397","3,663"
2020년01월_계_10~19세,"44,950",211,508,320,128,592,675,"4,016","2,357","1,045","1,612","2,354",751,538,"1,562","2,072","1,647",709,"1,516",959,"1,818","5,071","1,844","1,164",911,140,"6,243","4,187"
2020년01월_계_20~29세,"62,838","1,023","1,324",858,495,970,"2,027","7,005","2,701","1,864","2,292","3,016","1,457",758,"2,481","2,536","2,587","1,148","2,456","1,770","2,383","4,797","2,045","1,968","2,036",273,"5,639","4,929"
2020년01월_계_30~39세,"57,274",935,815,724,431,"1,228","1,509","4,859","2,535","1,490","1,772","3,544","1,069",899,"2,757","1,827","2,156",861,"1,976","1,416","1,839","3,135","1,833","1,369","1,504",237,"9,069","5,485"
2020년01월_계_40~49세,"68,580",617,943,689,428,"1,182","1,487","5,738","3,147","1,793","2,130","3,679","1,393",969,"2,733","2,626","2,566","1,119","2,346","1,808","2,519","6,169","2,403","1,815","1,704",268,"9,957","6,352"
2020년01월_계_50~59세,"72,762",733,"1,005",767,604,"1,317","1,814","6,776","3,251","2,275","2,751","3,732","1,981",947,"3,247","3,179","2,728","1,426","3,103","2,782","2,687","5,479","2,479","2,314","2,623",567,"6,634","5,561"
2020년01월_계_60~69세,"50,222",660,999,666,587,"1,175","1,526","4,237","2,547","1,988","1,931","2,474","2,040",737,"2,648","2,004","1,946","1,275","2,512","2,630","1,351","2,104","1,436","1,460","2,007",542,"3,432","3,308"
2020년01월_계_70~79세,"28,443",431,736,485,379,872,"1,028","2,268","1,177","1,215",873,"1,264","1,382",520,"1,569","1,012","1,182",879,"1,416","1,598",671,"1,169",723,771,"1,102",384,"1,670","1,667"
