카테고리,광주광역시 북구,광주광역시 북구 중흥1동,광주광역시 북구 중흥2동,광주광역시 북구 중흥3동,광주광역시 북구 중앙동,광주광역시 북구 임동,광주광역시 북구 신안동,광주광역시 북구 용봉동,광주광역시 북구 운암1동,광주광역시 북구 운암2동,광주광역시 북구 운암3동,광주광역시 북구 동림동,광주광역시 북구 우산동,광주광역시 북구 풍향동,광주광역시 북구 문화동,광주광역시 북구 문흥1동,광주광역시 북구 문흥2동,광주광역시 북구 두암1동,광주광역시 북구 두암2동,광주광역시 북구 두암3동,광주광역시 북구 삼각동,광주광역시 북구 일곡동,광주광역시 북구 매곡동,광주광역시 북구 오치1동,광주광역시 북구 오치2동,광주광역시 북구 석곡동,광주광역시 북구 건국동,광주광역시 북구 양산동,광주광역시 북구 신용동
2021년07월_계_총인구수,"428,040","4,892","6,793","4,826","3,120","8,656","11,937","38,516","19,382","12,078","12,823","23,532","10,456","5,820","21,008","16,084","15,818","7,786","16,162","13,521","14,173","30,005","14,003","11,052","12,589","2,543","22,498","37,926","30,041"
2021년07월_계_연령구간인구수,"428,040","4,892","6,793","4,826","3,120","8,656","11,937","38,516","19,382","12,078","12,823","23,532","10,456","5,820","21,008","16,084","15,818","7,786","16,162","13,521","14,173","30,005","14,003","11,052","12,589","2,543","22,498","37,926","30,041"
2021년07월_계_0~9세,"32,600",237,263,253,79,635,445,"2,594","1,703",529,903,"2,151",388,521,"1,672","1,083","1,028",263,862,430,964,"2,330","1,138",610,496,65,"2,662","3,897","4,399"
2021년07월_계_10~19세,"41,953",179,455,289,108,587,688,"3,750","2,259",871,"1,387","2,275",650,516,"1,640","1,860","1,431",616,"1,331",788,"1,643","4,498","1,733","1,008",778,123,"2,540","4,093","3,857"
2021년07월_계_20~29세,"61,723",917,"1,349",923,471,"1,124","2,241","7,190","2,511","1,709","1,831","3,039","1,326",713,"2,589","2,333","2,530","1,139","2,295","1,543","2,262","4,675","1,965","1,756","1,891",233,"2,743","5,124","3,301"
2021년07월_계_30~39세,"54,840",949,777,695,401,"1,291","1,789","4,756","2,227","1,296","1,434","3,505",957,778,"3,009","1,582","1,954",737,"1,741","1,281","1,674","2,901","1,666","1,231","1,455",207,"3,460","5,829","5,258"
2021년07월_계_40~49세,"66,381",620,847,708,376,"1,245","1,570","5,531","3,086","1,621","1,828","3,882","1,234",905,"2,998","2,417","2,331",984,"2,188","1,529","2,363","5,530","2,251","1,596","1,537",216,"4,050","6,552","6,386"
2021년07월_계_50~59세,"71,252",655,977,659,544,"1,278","1,873","6,666","3,069","2,093","2,240","3,843","1,798",896,"3,440","2,976","2,553","1,373","2,887","2,561","2,652","5,667","2,441","2,134","2,411",516,"3,360","5,903","3,787"
2021년07월_계_60~69세,"55,122",675,981,631,564,"1,257","1,729","4,635","2,749","2,103","1,907","2,864","2,067",751,"3,079","2,240","2,158","1,334","2,682","2,814","1,550","2,486","1,630","1,587","2,217",576,"2,077","3,837","1,942"
2021년07월_계_70~79세,"29,753",452,767,459,366,875,"1,087","2,369","1,292","1,282",853,"1,389","1,373",498,"1,716","1,082","1,200",930,"1,531","1,638",730,"1,183",762,790,"1,150",358,"1,009","1,833",779
2021년07월_계_80~89세,"12,588",186,336,189,166,313,467,907,426,515,376,507,579,212,754,456,545,358,559,827,290,646,358,289,575,218,516,731,287
2021년07월_계_90~99세,"1,764",20,40,18,40,49,44,116,59,56,64,73,83,28,104,53,85,51,85,105,45,85,58,49,79,29,79,123,44
2021년07월_계_100세 이상,64,2,1,2,5,2,4,2,1,3,0,4,1,2,7,2,3,1,1,5,0,4,1,2,0,2,2,4,1
2021년07월_남_총인구수,"212,537","2,525","3,456","2,542","1,661","4,286","6,278","19,194","9,368","6,093","6,153","11,609","5,088","2,908","10,336","7,817","7,535","3,887","8,007","6,497","7,307","14,716","6,871","5,609","6,157","1,325","11,371","19,066","14,875"
2021년07월_남_연령구간인구수,"212,537","2,525","3,456","2,542","1,661","4,286","6,278","19,194","9,368","6,093","6,153","11,609","5,088","2,908","10,336","7,817","7,535","3,887","8,007","6,497","7,307","14,716","6,871","5,609","6,157","1,325","11,371","19,066","14,875"
2021년07월_남_0~9세,"16,665",112,135,137,44,336,220,"1,286",875,243,459,"1,106",202,261,825,507,528,146,434,217,519,"1,213",589,311,225,31,"1,370","2,060","2,274"
2021년07월_남_10~19세,"22,132",100,226,157,47,310,361,"1,995","1,155",441,743,"1,220",346,258,895,970,743,327,701,414,913,"2,443",941,529,439,74,"1,309","2,076","1,999"
2021년07월_남_20~29세,"32,479",397,686,474,228,568,"1,154","3,798","1,296",908,"1,003","1,596",689,389,"1,355","1,254","1,279",603,"1,209",795,"1,284","2,548","1,070",922,971,137,"1,471","2,693","1,702"
2021년07월_남_30~39세,"28,587",507,462,411,239,658,"1,039","2,557","1,064",744,708,"1,776",527,395,"1,574",807,"1,044",398,953,699,867,"1,390",822,672,809,125,"1,740","3,062","2,538"
2021년07월_남_40~49세,"33,299",376,449,403,235,659,932,"2,766","1,417",850,845,"1,973",666,484,"1,573","1,116","1,152",529,"1,112",798,"1,136","2,401","1,044",836,804,123,"2,055","3,322","3,243"
