,광주광역시 서구,광주광역시 서구 양동,광주광역시 서구 양3동,광주광역시 서구 농성1동,광주광역시 서구 농성2동,광주광역시 서구 광천동,광주광역시 서구 유덕동,광주광역시 서구 치평동,광주광역시 서구 상무1동,광주광역시 서구 상무2동,광주광역시 서구 화정1동,광주광역시 서구 화정2동,광주광역시 서구 화정3동,광주광역시 서구 화정4동,광주광역시 서구 서창동,광주광역시 서구 금호1동,광주광역시 서구 금호2동,광주광역시 서구 풍암동,광주광역시 서구 동천동
2021년06월_계_총인구수,"293,088","3,836","4,651","10,972","4,993","8,311","10,797","30,417","24,843","23,830","15,718","20,688","10,205","15,618","5,828","20,185","28,866","37,101","16,229"
2021년06월_계_연령구간인구수,"293,088","3,836","4,651","10,972","4,993","8,311","10,797","30,417","24,843","23,830","15,718","20,688","10,205","15,618","5,828","20,185","28,866","37,101","16,229"
2021년06월_계_0~9세,"20,836",98,369,563,165,545,855,"2,125","1,609","1,154",848,"2,314",542,"1,061",390,"1,218","2,565","2,885","1,530"
2021년06월_계_10~19세,"30,515",142,352,623,241,592,"1,228","3,002","2,419","1,644","1,068","2,430","1,002","1,536",396,"2,083","4,273","5,071","2,413"
2021년06월_계_20~29세,"45,003",414,471,"1,609",854,"1,069","1,703","5,509","4,706","4,423","3,109","2,375","1,565","2,158",714,"2,894","4,066","5,447","1,917"
2021년06월_계_30~39세,"35,642",338,568,"1,540",596,976,"1,413","4,282","3,530","2,923","2,339","2,887","1,059","1,679",684,"2,006","3,103","4,055","1,664"
2021년06월_계_40~49세,"47,621",427,724,"1,513",650,"1,268","1,896","4,835","3,914","3,169","2,195","3,677","1,377","2,181",727,"2,918","5,535","7,267","3,348"
2021년06월_계_50~59세,"49,302",598,676,"1,736",849,"1,556","1,834","5,386","3,947","3,997","2,336","2,887","1,724","2,616","1,202","3,870","5,172","6,371","2,545"
2021년06월_계_60~69세,"35,232",766,769,"1,579",820,"1,246",969,"2,906","2,686","3,439","1,897","2,425","1,625","2,661",939,"3,024","2,417","3,342","1,722"
2021년06월_계_70~79세,"19,332",712,513,"1,227",530,710,561,"1,505","1,442","2,064","1,219","1,234",866,"1,165",473,"1,424","1,150","1,758",779
2021년06월_계_80~89세,"8,357",306,181,513,258,302,293,777,508,886,618,387,369,488,257,666,497,793,258
2021년06월_계_90~99세,"1,201",34,28,65,29,44,45,87,78,122,88,71,73,70,44,80,81,110,52
2021년06월_계_100세 이상,47,1,0,4,1,3,0,3,4,9,1,1,3,3,2,2,7,2,1
2021년06월_남_총인구수,"143,635","1,913","2,276","5,435","2,597","4,262","5,499","14,534","12,407","11,612","7,473","10,372","5,036","7,541","3,008","9,568","14,160","18,239","7,703"
2021년06월_남_연령구간인구수,"143,635","1,913","2,276","5,435","2,597","4,262","5,499","14,534","12,407","11,612","7,473","10,372","5,036","7,541","3,008","9,568","14,160","18,239","7,703"
2021년06월_남_0~9세,"10,802",56,200,281,87,309,472,"1,057",785,616,443,"1,226",293,563,206,639,"1,345","1,467",757
2021년06월_남_10~19세,"16,082",74,194,357,145,300,622,"1,565","1,201",850,551,"1,436",552,853,204,"1,123","2,167","2,676","1,212"
2021년06월_남_20~29세,"23,038",233,258,782,442,554,897,"2,632","2,382","2,155","1,382","1,275",874,"1,160",389,"1,528","2,225","2,842","1,028"
