카테고리,대구광역시,대구광역시 중구,대구광역시 동구,대구광역시 서구,대구광역시 남구,대구광역시 북구,대구광역시 수성구,대구광역시 달서구,대구광역시 달성군
2020년03월_계_총인구수,"2,433,568","77,136","343,933","174,042","148,083","436,847","428,777","567,978","256,772"
2020년03월_계_연령구간인구수,"2,433,568","77,136","343,933","174,042","148,083","436,847","428,777","567,978","256,772"
2020년03월_계_0~9세,"185,945","5,382","26,347","8,147","7,188","34,989","31,162","42,717","30,013"
2020년03월_계_10~19세,"233,311","5,170","27,387","11,641","9,829","44,726","53,247","57,766","23,545"
2020년03월_계_20~29세,"322,594","11,719","42,031","22,328","20,284","60,368","55,981","80,679","29,204"
2020년03월_계_30~39세,"302,617","10,991","45,111","18,355","17,656","54,449","44,204","69,310","42,541"
2020년03월_계_40~49세,"390,628","10,962","51,917","23,793","20,919","73,506","74,741","92,201","42,589"
2020년03월_계_50~59세,"428,955","11,479","57,728","35,321","25,500","77,328","75,337","105,617","40,645"
2020년03월_계_60~69세,"313,213","10,168","49,755","30,071","23,587","50,888","50,414","70,321","28,009"
2020년03월_계_70~79세,"171,945","7,395","29,667","16,935","15,086","27,630","28,302","33,495","13,435"
2020년03월_계_80~89세,"74,745","3,286","12,422","6,608","7,063","11,603","13,555","14,180","6,028"
2020년03월_계_90~99세,"8,915",489,"1,442",744,883,"1,278","1,737","1,607",735
2020년03월_계_100세 이상,700,95,126,99,88,82,97,85,28
2020년03월_남_총인구수,"1,202,273","37,161","169,683","87,337","71,248","217,669","208,075","280,655","130,445"
2020년03월_남_연령구간인구수,"1,202,273","37,161","169,683","87,337","71,248","217,669","208,075","280,655","130,445"
2020년03월_남_0~9세,"95,296","2,771","13,501","4,179","3,736","17,919","16,022","21,906","15,262"
2020년03월_남_10~19세,"122,210","2,637","14,368","6,097","5,182","23,300","28,284","30,027","12,315"
2020년03월_남_20~29세,"173,167","5,665","22,541","12,289","10,261","32,864","30,271","43,179","16,097"
2020년03월_남_30~39세,"156,595","5,662","23,689","10,376","9,226","28,268","21,358","35,882","22,134"
2020년03월_남_40~49세,"192,730","5,634","26,767","12,736","10,530","36,045","34,171","44,599","22,248"
2020년03월_남_50~59세,"210,058","5,634","27,977","17,700","12,313","38,442","36,633","51,083","20,276"
2020년03월_남_60~69세,"149,247","4,701","23,135","14,150","10,789","24,752","23,708","34,075","13,937"
2020년03월_남_70~79세,"74,791","3,128","12,939","7,375","6,426","11,772","12,304","14,789","6,058"
2020년03월_남_80~89세,"26,053","1,192","4,413","2,271","2,542","4,030","4,897","4,749","1,959"
2020년03월_남_90~99세,"1,962",118,320,141,223,260,400,349,151
2020년03월_남_100세 이상,164,19,33,23,20,17,27,17,8
2020년03월_여_총인구수,"1,231,295","39,975","174,250","86,705","76,835","219,178","220,702","287,323","126,327"
2020년03월_여_연령구간인구수,"1,231,295","39,975","174,250","86,705","76,835","219,178","220,702","287,323","126,327"
2020년03월_여_0~9세,"90,649","2,611","12,846","3,968","3,452","17,070","15,140","20,811","14,751"
2020년03월_여_10~19세,"111,101","2,533","13,019","5,544","4,647","21,426","24,963","27,739","11,230"
2020년03월_여_20~29세,"149,427","6,054","19,490","10,039","10,023","27,504","25,710","37,500","13,107"
2020년03월_여_30~39세,"146,022","5,329","21,422","7,979","8,430","26,181","22,846","33,428","20,407"
2020년03월_여_40~49세,"197,898","5,328","25,150","11,057","10,389","37,461","40,570","47,602","20,341"
2020년03월_여_50~59세,"218,897","5,845","29,751","17,621","13,187","38,886","38,704","54,534","20,369"
2020년03월_여_60~69세,"163,966","5,467","26,620","15,921","12,798","26,136","26,706","36,246","14,072"
2020년03월_여_70~79세,"97,154","4,267","16,728","9,560","8,660","15,858","15,998","18,706","7,377"
2020년03월_여_80~89세,"48,692","2,094","8,009","4,337","4,521","7,573","8,658","9,431","4,069"
2020년03월_여_90~99세,"6,953",371,"1,122",603,660,"1,018","1,337","1,258",584
2020년03월_여_100세 이상,536,76,93,76,68,65,70,68,20
