,대구광역시,대구광역시 중구,대구광역시 동구,대구광역시 서구,대구광역시 남구,대구광역시 북구,대구광역시 수성구,대구광역시 달서구,대구광역시 달성군
2020년05월_계_총인구수,"2,429,059","76,880","342,897","173,278","147,746","437,566","427,436","566,213","257,043"
2020년05월_계_연령구간인구수,"2,429,059","76,880","342,897","173,278","147,746","437,566","427,436","566,213","257,043"
2020년05월_계_0~9세,"184,227","5,318","26,045","8,004","7,110","34,816","30,834","42,200","29,900"
2020년05월_계_10~19세,"231,161","5,110","27,149","11,442","9,727","44,419","52,621","57,145","23,548"
2020년05월_계_20~29세,"322,350","11,841","41,772","22,118","20,370","60,761","55,844","80,465","29,179"
2020년05월_계_30~39세,"301,074","10,964","44,818","18,110","17,557","54,496","43,913","68,875","42,341"
2020년05월_계_40~49세,"388,419","10,825","51,628","23,611","20,749","73,231","74,206","91,472","42,697"
2020년05월_계_50~59세,"428,389","11,447","57,549","35,132","25,414","77,441","75,455","105,320","40,631"
2020년05월_계_60~69세,"315,443","10,125","49,979","30,263","23,602","51,501","50,657","71,021","28,295"
2020년05월_계_70~79세,"172,853","7,365","29,862","17,081","15,098","27,743","28,426","33,686","13,592"
2020년05월_계_80~89세,"75,447","3,316","12,526","6,665","7,140","11,762","13,631","14,313","6,094"
2020년05월_계_90~99세,"8,993",470,"1,446",753,895,"1,308","1,752","1,631",738
2020년05월_계_100세 이상,703,99,123,99,84,88,97,85,28
2020년05월_남_총인구수,"1,199,504","37,013","169,113","86,892","71,070","217,981","207,205","279,670","130,560"
2020년05월_남_연령구간인구수,"1,199,504","37,013","169,113","86,892","71,070","217,981","207,205","279,670","130,560"
2020년05월_남_0~9세,"94,357","2,740","13,313","4,109","3,694","17,821","15,836","21,625","15,219"
2020년05월_남_10~19세,"120,961","2,610","14,244","6,009","5,115","23,107","27,873","29,682","12,321"
2020년05월_남_20~29세,"172,821","5,697","22,369","12,159","10,283","33,080","30,146","43,044","16,043"
2020년05월_남_30~39세,"155,992","5,640","23,568","10,237","9,194","28,322","21,260","35,682","22,089"
2020년05월_남_40~49세,"191,555","5,550","26,630","12,648","10,445","35,903","33,855","44,259","22,265"
2020년05월_남_50~59세,"209,832","5,632","27,945","17,606","12,300","38,486","36,651","50,950","20,262"
2020년05월_남_60~69세,"150,182","4,688","23,187","14,219","10,803","25,065","23,838","34,330","14,052"
2020년05월_남_70~79세,"75,346","3,109","13,048","7,449","6,424","11,834","12,385","14,930","6,167"
2020년05월_남_80~89세,"26,312","1,213","4,453","2,288","2,568","4,081","4,927","4,798","1,984"
2020년05월_남_90~99세,"1,982",113,322,145,226,265,408,353,150
2020년05월_남_100세 이상,164,21,34,23,18,17,26,17,8
2020년05월_여_총인구수,"1,229,555","39,867","173,784","86,386","76,676","219,585","220,231","286,543","126,483"
2020년05월_여_연령구간인구수,"1,229,555","39,867","173,784","86,386","76,676","219,585","220,231","286,543","126,483"
2020년05월_여_0~9세,"89,870","2,578","12,732","3,895","3,416","16,995","14,998","20,575","14,681"
2020년05월_여_10~19세,"110,200","2,500","12,905","5,433","4,612","21,312","24,748","27,463","11,227"
2020년05월_여_20~29세,"149,529","6,144","19,403","9,959","10,087","27,681","25,698","37,421","13,136"
2020년05월_여_30~39세,"145,082","5,324","21,250","7,873","8,363","26,174","22,653","33,193","20,252"
2020년05월_여_40~49세,"196,864","5,275","24,998","10,963","10,304","37,328","40,351","47,213","20,432"
2020년05월_여_50~59세,"218,557","5,815","29,604","17,526","13,114","38,955","38,804","54,370","20,369"
2020년05월_여_60~69세,"165,261","5,437","26,792","16,044","12,799","26,436","26,819","36,691","14,243"
2020년05월_여_70~79세,"97,507","4,256","16,814","9,632","8,674","15,909","16,041","18,756","7,425"
2020년05월_여_80~89세,"49,135","2,103","8,073","4,377","4,572","7,681","8,704","9,515","4,110"
2020년05월_여_90~99세,"7,011",357,"1,124",608,669,"1,043","1,344","1,278",588
2020년05월_여_100세 이상,539,78,89,76,66,71,71,68,20
