,대구광역시 남구,대구광역시 남구 이천동,대구광역시 남구 봉덕1동,대구광역시 남구 봉덕2동,대구광역시 남구 봉덕3동,대구광역시 남구 대명1동,대구광역시 남구 대명2동,대구광역시 남구 대명3동,대구광역시 남구 대명4동,대구광역시 남구 대명5동,대구광역시 남구 대명6동,대구광역시 남구 대명9동,대구광역시 남구 대명10동,대구광역시 남구 대명11동
2020년04월_계_총인구수,"147,905","12,678","9,304","10,945","17,299","11,707","11,549","11,213","11,333","8,251","9,725","16,000","9,413","8,488"
2020년04월_계_연령구간인구수,"147,905","12,678","9,304","10,945","17,299","11,707","11,549","11,213","11,333","8,251","9,725","16,000","9,413","8,488"
2020년04월_계_0~9세,"7,164",856,406,693,897,584,420,404,498,298,586,842,355,325
2020년04월_계_10~19세,"9,793","1,072",544,896,"1,415",807,702,660,670,468,650,933,527,449
2020년04월_계_20~29세,"20,305","1,285","1,133","1,130","2,072","1,740","2,059","1,497","1,650","1,588","1,388","2,390","1,382",991
2020년04월_계_30~39세,"17,616","1,391","1,170","1,164","1,946","1,459","1,405","1,203","1,243",963,"1,373","2,206","1,151",942
2020년04월_계_40~49세,"20,868","2,056","1,399","1,493","2,631","1,659","1,531","1,559","1,444","1,037","1,435","2,327","1,219","1,078"
2020년04월_계_50~59세,"25,400","1,999","1,651","1,857","2,965","2,040","1,883","2,064","2,062","1,353","1,568","2,743","1,646","1,569"
2020년04월_계_60~69세,"23,623","1,759","1,481","1,849","2,736","1,817","1,716","1,949","2,028","1,237","1,422","2,344","1,622","1,663"
2020년04월_계_70~79세,"15,065","1,389",917,"1,143","1,662","1,098","1,221","1,276","1,194",855,841,"1,486",991,992
2020년04월_계_80~89세,"7,099",744,541,620,867,428,546,528,490,399,405,634,467,430
2020년04월_계_90~99세,887,120,55,93,97,72,60,63,46,47,53,84,51,46
2020년04월_계_100세 이상,85,7,7,7,11,3,6,10,8,6,4,11,2,3
2020년04월_남_총인구수,"71,130","6,014","4,474","5,250","8,190","5,699","5,498","5,601","5,519","3,930","4,657","7,796","4,454","4,048"
2020년04월_남_연령구간인구수,"71,130","6,014","4,474","5,250","8,190","5,699","5,498","5,601","5,519","3,930","4,657","7,796","4,454","4,048"
2020년04월_남_0~9세,"3,724",469,203,360,490,296,212,219,245,168,288,438,180,156
2020년04월_남_10~19세,"5,163",581,297,460,715,445,333,355,379,246,340,490,281,241
2020년04월_남_20~29세,"10,253",666,547,598,"1,040",873,988,799,865,713,702,"1,230",688,544
2020년04월_남_30~39세,"9,217",693,624,602,983,756,747,676,685,506,676,"1,141",597,531
2020년04월_남_40~49세,"10,498","1,000",717,700,"1,230",855,801,857,750,563,710,"1,171",607,537
2020년04월_남_50~59세,"12,273",982,813,880,"1,460",963,916,"1,071",997,656,757,"1,300",767,711
2020년04월_남_60~69세,"10,803",777,688,869,"1,220",839,797,886,916,563,670,"1,099",730,749
2020년04월_남_70~79세,"6,408",542,375,512,695,499,503,540,517,354,368,656,434,413
2020년04월_남_80~89세,"2,546",273,196,236,329,156,180,184,153,147,136,246,156,154
2020년04월_남_90~99세,226,31,12,31,26,17,18,13,9,13,10,23,13,10
2020년04월_남_100세 이상,19,0,2,2,2,0,3,1,3,1,0,2,1,2
2020년04월_여_총인구수,"76,775","6,664","4,830","5,695","9,109","6,008","6,051","5,612","5,814","4,321","5,068","8,204","4,959","4,440"
2020년04월_여_연령구간인구수,"76,775","6,664","4,830","5,695","9,109","6,008","6,051","5,612","5,814","4,321","5,068","8,204","4,959","4,440"
2020년04월_여_0~9세,"3,440",387,203,333,407,288,208,185,253,130,298,404,175,169
2020년04월_여_10~19세,"4,630",491,247,436,700,362,369,305,291,222,310,443,246,208
2020년04월_여_20~29세,"10,052",619,586,532,"1,032",867,"1,071",698,785,875,686,"1,160",694,447
2020년04월_여_30~39세,"8,399",698,546,562,963,703,658,527,558,457,697,"1,065",554,411
2020년04월_여_40~49세,"10,370","1,056",682,793,"1,401",804,730,702,694,474,725,"1,156",612,541
2020년04월_여_50~59세,"13,127","1,017",838,977,"1,505","1,077",967,993,"1,065",697,811,"1,443",879,858
2020년04월_여_60~69세,"12,820",982,793,980,"1,516",978,919,"1,063","1,112",674,752,"1,245",892,914
2020년04월_여_70~79세,"8,657",847,542,631,967,599,718,736,677,501,473,830,557,579
2020년04월_여_80~89세,"4,553",471,345,384,538,272,366,344,337,252,269,388,311,276
2020년04월_여_90~99세,661,89,43,62,71,55,42,50,37,34,43,61,38,36
2020년04월_여_100세 이상,66,7,5,5,9,3,3,9,5,5,4,9,1,1
