,대구광역시 달서구,대구광역시 달서구 성당동,대구광역시 달서구 두류1.2동,대구광역시 달서구 두류3동,대구광역시 달서구 감삼동,대구광역시 달서구 죽전동,대구광역시 달서구 장기동,대구광역시 달서구 용산1동,대구광역시 달서구 용산2동,대구광역시 달서구 이곡1동,대구광역시 달서구 이곡2동,대구광역시 달서구 신당동,대구광역시 달서구 본리동,대구광역시 달서구 월성1동,대구광역시 달서구 월성2동,대구광역시 달서구 진천동,대구광역시 달서구 상인1동,대구광역시 달서구 상인2동,대구광역시 달서구 상인3동,대구광역시 달서구 도원동,대구광역시 달서구 송현1동,대구광역시 달서구 송현2동,대구광역시 달서구 본동
2021년03월_계_총인구수,"554,177","23,806","14,572","8,441","27,210","13,812","17,546","31,477","29,287","23,498","16,734","32,010","21,937","43,643","16,342","76,501","38,773","20,102","11,323","36,150","19,648","18,380","12,985"
2021년03월_계_연령구간인구수,"554,177","23,806","14,572","8,441","27,210","13,812","17,546","31,477","29,287","23,498","16,734","32,010","21,937","43,643","16,342","76,501","38,773","20,102","11,323","36,150","19,648","18,380","12,985"
2021년03월_계_0~9세,"39,195","1,597",578,374,"2,029",626,"1,328","1,979","1,780","1,306",867,"1,374","2,179","4,997",594,"8,772","2,926","1,111",342,"2,253",822,735,626
2021년03월_계_10~19세,"54,333","2,027",706,560,"2,275",940,"1,650","3,509","2,904","2,439","1,368","2,384","2,173","8,304","1,133","8,321","4,719","1,442",570,"3,483","1,271","1,210",945
2021년03월_계_20~29세,"78,032","2,844","2,360","1,268","4,128","2,296","2,476","4,942","4,665","4,089","2,528","6,866","2,598","4,254","1,770","9,060","5,197","3,456","1,211","4,973","2,887","2,491","1,673"
2021년03월_계_30~39세,"65,349","2,764","1,860",943,"3,680","1,708","2,242","3,300","3,289","2,528","2,134","3,688","3,079","4,455","1,265","11,140","3,987","2,854","1,017","3,813","2,227","1,915","1,461"
2021년03월_계_40~49세,"88,230","3,572","1,793","1,114","4,041","1,943","2,765","5,202","4,523","3,676","2,336","4,504","4,032","10,657","2,226","13,646","6,293","2,601","1,221","5,131","2,687","2,354","1,913"
2021년03월_계_50~59세,"102,675","4,153","2,554","1,481","5,090","2,741","3,367","6,663","6,489","5,216","3,490","6,391","3,752","6,070","3,043","11,951","7,209","3,795","2,198","7,261","3,791","3,423","2,547"
2021년03월_계_60~69세,"74,955","3,854","2,508","1,386","3,737","2,191","2,264","3,647","3,553","2,612","2,699","3,906","2,621","2,971","3,172","8,292","5,149","3,002","2,667","5,776","3,333","3,426","2,189"
2021년03월_계_70~79세,"34,538","2,080","1,515",873,"1,589",937,"1,034","1,543","1,390","1,081",919,"1,881","1,059","1,310","2,061","3,642","2,127","1,219","1,370","2,240","1,772","1,825","1,071"
2021년03월_계_80~89세,"15,010",830,630,405,573,389,373,625,629,500,350,906,392,539,972,"1,491","1,018",542,632,"1,083",768,881,482
2021년03월_계_90~99세,"1,808",81,62,37,67,40,46,63,63,49,42,109,50,78,104,182,143,78,94,136,89,117,78
2021년03월_계_100세 이상,52,4,6,0,1,1,1,4,2,2,1,1,2,8,2,4,5,2,1,1,1,3,0
2021년03월_남_총인구수,"273,311","11,582","7,049","4,106","13,281","6,831","8,663","15,804","14,724","11,783","8,474","16,457","10,873","21,411","7,842","37,607","18,954","9,956","5,437","17,547","9,722","8,784","6,424"
2021년03월_남_연령구간인구수,"273,311","11,582","7,049","4,106","13,281","6,831","8,663","15,804","14,724","11,783","8,474","16,457","10,873","21,411","7,842","37,607","18,954","9,956","5,437","17,547","9,722","8,784","6,424"
2021년03월_남_0~9세,"20,056",773,295,200,993,301,693,"1,036",926,684,452,726,"1,080","2,548",334,"4,495","1,475",584,174,"1,170",434,368,315
2021년03월_남_10~19세,"28,154",948,356,289,"1,162",505,852,"1,880","1,534","1,249",716,"1,203","1,045","4,223",585,"4,359","2,595",777,316,"1,793",667,602,498
2021년03월_남_20~29세,"41,568","1,452","1,095",648,"2,067","1,188","1,317","2,625","2,544","2,221","1,373","3,711","1,391","2,348",989,"4,811","2,858","1,811",686,"2,689","1,491","1,311",942
2021년03월_남_30~39세,"34,048","1,422",956,489,"1,888",965,"1,156","1,737","1,775","1,338","1,205","2,198","1,572","1,953",696,"5,443","1,988","1,596",577,"1,991","1,235","1,047",821
2021년03월_남_40~49세,"42,811","1,863",999,581,"1,978",971,"1,341","2,411","2,124","1,688","1,149","2,330","2,015","4,878","1,154","6,646","2,811","1,279",641,"2,377","1,397","1,186",992
2021년03월_남_50~59세,"49,648","2,058","1,286",706,"2,420","1,294","1,613","3,311","3,129","2,574","1,633","3,244","1,843","3,295","1,521","5,671","3,375","1,735","1,009","3,304","1,812","1,601","1,214"
2021년03월_남_60~69세,"36,089","1,820","1,176",648,"1,793","1,048","1,083","1,830","1,835","1,381","1,378","1,947","1,253","1,385","1,455","3,959","2,499","1,446","1,219","2,810","1,549","1,548","1,027"
2021년03월_남_70~79세,"15,412",938,647,373,751,414,475,736,620,469,428,803,511,576,793,"1,655",964,539,622,"1,023",835,780,460
2021년03월_남_80~89세,"5,127",298,229,162,215,133,122,226,221,171,129,273,153,184,290,524,357,173,173,357,286,316,135
2021년03월_남_90~99세,389,10,9,10,13,12,11,10,16,8,11,22,8,20,25,43,32,16,20,33,16,24,20
2021년03월_남_100세 이상,9,0,1,0,1,0,0,2,0,0,0,0,2,1,0,1,0,0,0,0,0,1,0
