,대구광역시 달성군,대구광역시 달성군 화원읍,대구광역시 달성군 논공읍,대구광역시 달성군 논공읍공단출장소,대구광역시 달성군 다사읍,대구광역시 달성군 다사읍서재출장소,대구광역시 달성군 유가읍,대구광역시 달성군 옥포읍,대구광역시 달성군 현풍읍,대구광역시 달성군 가창면,대구광역시 달성군 하빈면,대구광역시 달성군 구지면
2021년06월_계_총인구수,"260,546","47,660","4,764","13,535","50,426","38,638","29,682","25,385","23,186","7,859","3,683","15,728"
2021년06월_계_연령구간인구수,"260,546","47,660","4,764","13,535","50,426","38,638","29,682","25,385","23,186","7,859","3,683","15,728"
2021년06월_계_0~9세,"29,029","3,175",286,781,"5,750","6,185","5,175","2,571","2,391",398,107,"2,210"
2021년06월_계_10~19세,"24,102","4,415",163,"1,358","5,974","3,534","3,519","1,771","1,697",480,124,"1,067"
2021년06월_계_20~29세,"28,712","6,247",498,"1,831","5,522","3,871","2,419","2,600","3,178",658,275,"1,613"
2021년06월_계_30~39세,"40,928","5,141",603,"1,337","6,940","8,240","6,063","3,931","4,329",610,282,"3,452"
2021년06월_계_40~49세,"44,040","6,941",561,"2,475","9,595","7,207","6,083","3,728","3,601",921,310,"2,618"
2021년06월_계_50~59세,"40,653","9,578",920,"3,011","7,820","4,923","2,974","4,269","3,180","1,342",802,"1,834"
2021년06월_계_60~69세,"31,523","7,346",935,"1,694","5,462","3,158","2,179","3,903","2,714","1,677",874,"1,581"
2021년06월_계_70~79세,"14,213","3,273",482,662,"2,378","1,111",843,"1,773","1,361","1,024",499,807
2021년06월_계_80~89세,"6,494","1,376",278,344,874,361,369,753,661,637,358,483
2021년06월_계_90~99세,831,164,37,39,110,46,56,86,71,110,50,62
2021년06월_계_100세 이상,21,4,1,3,1,2,2,0,3,2,2,1
2021년06월_남_총인구수,"132,243","23,688","2,576","7,173","24,914","19,674","15,101","12,797","12,173","3,910","1,975","8,262"
2021년06월_남_연령구간인구수,"132,243","23,688","2,576","7,173","24,914","19,674","15,101","12,797","12,173","3,910","1,975","8,262"
2021년06월_남_0~9세,"14,796","1,633",150,386,"2,900","3,150","2,651","1,334","1,215",210,48,"1,119"
2021년06월_남_10~19세,"12,565","2,274",78,715,"3,113","1,834","1,833",941,886,258,62,571
2021년06월_남_20~29세,"15,799","3,434",295,"1,106","2,930","2,021","1,332","1,380","1,836",384,168,913
2021년06월_남_30~39세,"21,375","2,747",351,723,"3,421","4,180","3,014","2,042","2,494",306,168,"1,929"
2021년06월_남_40~49세,"22,986","3,344",354,"1,333","4,741","3,884","3,149","2,000","2,014",491,198,"1,478"
2021년06월_남_50~59세,"20,246","4,614",501,"1,631","3,718","2,421","1,524","2,081","1,609",711,472,964
2021년06월_남_60~69세,"15,613","3,625",532,898,"2,606","1,562","1,062","1,916","1,334",812,505,761
2021년06월_남_70~79세,"6,583","1,484",220,275,"1,155",516,408,827,582,505,240,371
2021년06월_남_80~89세,"2,116",499,88,99,312,99,110,257,189,210,105,148
2021년06월_남_90~99세,161,34,7,7,18,7,18,19,13,22,8,8
2021년06월_남_100세 이상,3,0,0,0,0,0,0,0,1,1,1,0
2021년06월_여_총인구수,"128,303","23,972","2,188","6,362","25,512","18,964","14,581","12,588","11,013","3,949","1,708","7,466"
2021년06월_여_연령구간인구수,"128,303","23,972","2,188","6,362","25,512","18,964","14,581","12,588","11,013","3,949","1,708","7,466"
2021년06월_여_0~9세,"14,233","1,542",136,395,"2,850","3,035","2,524","1,237","1,176",188,59,"1,091"
2021년06월_여_10~19세,"11,537","2,141",85,643,"2,861","1,700","1,686",830,811,222,62,496
2021년06월_여_20~29세,"12,913","2,813",203,725,"2,592","1,850","1,087","1,220","1,342",274,107,700
2021년06월_여_30~39세,"19,553","2,394",252,614,"3,519","4,060","3,049","1,889","1,835",304,114,"1,523"
2021년06월_여_40~49세,"21,054","3,597",207,"1,142","4,854","3,323","2,934","1,728","1,587",430,112,"1,140"
2021년06월_여_50~59세,"20,407","4,964",419,"1,380","4,102","2,502","1,450","2,188","1,571",631,330,870
2021년06월_여_60~69세,"15,910","3,721",403,796,"2,856","1,596","1,117","1,987","1,380",865,369,820
2021년06월_여_70~79세,"7,630","1,789",262,387,"1,223",595,435,946,779,519,259,436
2021년06월_여_80~89세,"4,378",877,190,245,562,262,259,496,472,427,253,335
2021년06월_여_90~99세,670,130,30,32,92,39,38,67,58,88,42,54
2021년06월_여_100세 이상,18,4,1,3,1,2,2,0,2,1,1,1
